logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,uniprot_id,gene,protein,description
0.44492402306027756,21.353978593683202,6.0431936342514625,9.326931020053467e-8,1.9810401486593563e-4,7.667886389030668,112,5.941222890307203,1.3669562112446437e-7,1.5926427686636002e-4,Q14204,DYNC1H1,DYHC1_HUMAN,Cytoplasmic dynein 1 heavy chain 1
0.49489887823030543,24.14097291286292,5.857762797123716,1.9187361455815942e-7,2.037697786607653e-4,6.995430560502122,30,5.917431364227135,1.4996636239770248e-7,1.5926427686636002e-4,P26038,MSN,MOES_HUMAN,Moesin
0.6823911191440217,16.839368509588507,5.649785704288619,4.281132019674669e-7,2.440020382817051e-4,6.247500600032518,8,5.668192998704783,3.9368449378643797e-7,2.627858249851955e-4,Q9Y6G9,DYNC1LI1,DC1L1_HUMAN,Cytoplasmic dynein 1 light intermediate chain 1
-0.5461182641020574,14.683211734774973,-5.6313482720200145,4.595141963873919e-7,2.440020382817051e-4,6.181552839549189,2,-5.5669348659773545,5.808714657393035e-7,2.627858249851955e-4,Q9NP77,SSU72,SSU72_HUMAN,RNA polymerase II subunit A C-terminal domain phosphatase SSU72
0.516446085754211,21.90491334544869,5.498245509318625,7.645209603103598e-7,3.247685039398409e-4,5.707350056383836,18,5.550500714563921,6.186106991176919e-7,2.627858249851955e-4,P26640,VARS1,SYVC_HUMAN,Valine--tRNA ligase
0.557352485492185,18.917943866032836,5.367261164205535,1.257339201408237e-6,3.774427110546818e-4,5.244147350893492,8,5.385991733869235,1.1581400543374734e-6,3.473237217675244e-4,O76003,GLRX3,GLRX3_HUMAN,Glutaredoxin-3
1.2397964438862985,22.29679393411318,5.355232992098851,1.315873043098503e-6,3.774427110546818e-4,5.201794505774055,21,5.375253658564638,1.206290444685728e-6,3.473237217675244e-4,P30837,ALDH1B1,AL1B1_HUMAN,"Aldehyde dehydrogenase X, mitochondrial"
0.7405391580113729,17.49132516684488,5.334779276871375,1.4216297968161272e-6,3.774427110546818e-4,5.129847248708289,9,5.353856966693887,1.308187275960544e-6,3.473237217675244e-4,Q16658,FSCN1,FSCN1_HUMAN,Fascin
0.682116256153126,20.040321759633112,5.292778322392351,1.6657111625242308e-6,3.931078343557185e-4,4.982399376919847,7,5.305940689021217,1.5681144538330648e-6,3.700750111046033e-4,Q9UL46,PSME2,PSME2_HUMAN,Proteasome activator complex subunit 2
0.4038375104035197,24.85171782162576,5.195530135084287,2.400233596466731e-6,4.6346328717230336e-4,4.642566790988846,18,5.261665544306617,1.8531188709005158e-6,3.936024481792696e-4,P40227,CCT6A,TCPZ_HUMAN,T-complex protein 1 subunit zeta
