"contrast","type","sig.PVal","sig.FDR","pval_thresh","lfc_thresh","p_adj_method"
"Training_Young","down","332","147",0.05,0,"BH"
"Training_Young","nonsig","1528","1847",0.05,0,"BH"
"Training_Young","up","264","130",0.05,0,"BH"
"Training_Old","down","103","1",0.05,0,"BH"
"Training_Old","nonsig","1903","2120",0.05,0,"BH"
"Training_Old","up","118","3",0.05,0,"BH"
"Aging","down","378","240",0.05,0,"BH"
"Aging","nonsig","1406","1685",0.05,0,"BH"
"Aging","up","340","199",0.05,0,"BH"
"Interaction","down","54","0",0.05,0,"BH"
"Interaction","nonsig","1923","2124",0.05,0,"BH"
"Interaction","up","147","0",0.05,0,"BH"
