contrast,type,sig.PVal,sig.FDR,pval_thresh,lfc_thresh,p_adj_method,sig.Pi,sig.Nominal.01
Training_Young,down,340,152,0.1,0,BH,62,129
Training_Young,nonsig,1443,1805,0.1,0,BH,2018,1854
Training_Young,up,330,156,0.1,0,BH,44,141
Training_Old,down,150,0,0.1,0,BH,9,31
Training_Old,nonsig,1791,2124,0.1,0,BH,2107,2068
Training_Old,up,183,0,0.1,0,BH,8,25
Aging,down,380,204,0.1,0,BH,116,167
Aging,nonsig,1365,1710,0.1,0,BH,1926,1807
Aging,up,370,201,0.1,0,BH,82,150
Interaction,down,125,0,0.1,0,BH,6,15
Interaction,nonsig,1791,2112,0.1,0,BH,2082,2086
Interaction,up,197,1,0.1,0,BH,36,23
Reversal,down,266,74,0.1,0,BH,71,88
Reversal,nonsig,1545,1969,0.1,0,BH,1944,1937
Reversal,up,304,72,0.1,0,BH,109,99
