method,norm,imputation,mean_spearman,rho_Training_Y,rho_Training_O,rho_Aging,rho_Interaction,n_DEP_Training_Y,n_DEP_Training_O,n_DEP_Aging,n_DEP_Interaction,n_Aging_nominal_p05,n_Aging_FDR_10,n_Aging_pi_score
vsn_none,vsn,none,0.9061,0.9026,0.9411,0.892,0.8887,183,1,465,0,714,620,274
vsn_bpca,vsn,bpca,0.904,0.9027,0.9421,0.8775,0.8936,279,2,666,0,876,810,362
cycloess_none,cycloess,none,0.9019,0.9035,0.942,0.8712,0.8908,156,2,406,0,685,590,253
cycloess_bpca,cycloess,bpca,0.8948,0.8979,0.9429,0.8462,0.8923,252,12,619,0,834,757,338
quantile_bpca,quantile,bpca,0.8939,0.8973,0.9384,0.8565,0.8833,409,5,1672,0,1700,1748,1285
vsn_mix_bpca_QRILC,vsn,mix_bpca_QRILC,0.8881,0.8851,0.9411,0.8488,0.8772,233,4,733,2,921,865,442
vsn_mix_RF_QRILC,vsn,mix_RF_QRILC,0.8876,0.8842,0.9408,0.8485,0.877,228,4,707,1,899,850,430
cycloess_mix_RF_QRILC,cycloess,mix_RF_QRILC,0.887,0.8894,0.9391,0.8424,0.8771,196,6,640,2,852,794,374
cycloess_mix_bpca_QRILC,cycloess,mix_bpca_QRILC,0.8861,0.8857,0.9401,0.8427,0.876,202,6,643,2,859,806,387
quantile_mix_bpca_QRILC,quantile,mix_bpca_QRILC,0.8786,0.8861,0.9202,0.8428,0.8652,363,10,1664,1,1704,1757,1324
quantile_mix_RF_QRILC,quantile,mix_RF_QRILC,0.8761,0.879,0.9246,0.8375,0.8634,333,4,1666,1,1701,1761,1326
quantile_none,quantile,none,0.8602,0.8765,0.9285,0.7714,0.8646,257,4,1446,0,1517,1570,1072
