contrast,method_a,method_b,spearman_rho
Training_Young,quantile_none,cycloess_none,0.9243591067238158
Training_Young,vsn_none,cycloess_none,0.960684400005902
Training_Young,cycloess_bpca,cycloess_none,0.9480209748604497
Training_Young,quantile_bpca,cycloess_none,0.9048848554113532
Training_Young,vsn_bpca,cycloess_none,0.9138994317717413
Training_Young,cycloess_mix_bpca_QRILC,cycloess_none,0.9064514177703042
Training_Young,quantile_mix_bpca_QRILC,cycloess_none,0.8668142209971256
Training_Young,vsn_mix_bpca_QRILC,cycloess_none,0.8667118680513366
Training_Young,cycloess_mix_RF_QRILC,cycloess_none,0.9113784893292307
Training_Young,quantile_mix_RF_QRILC,cycloess_none,0.8656729713730196
Training_Young,vsn_mix_RF_QRILC,cycloess_none,0.8699076488288926
Training_Young,vsn_none,quantile_none,0.9110645942423806
Training_Young,cycloess_bpca,quantile_none,0.8995322541333771
Training_Young,quantile_bpca,quantile_none,0.9499971535164048
Training_Young,vsn_bpca,quantile_none,0.8746463232285903
Training_Young,cycloess_mix_bpca_QRILC,quantile_none,0.818611491686996
Training_Young,quantile_mix_bpca_QRILC,quantile_none,0.9140947873899476
Training_Young,vsn_mix_bpca_QRILC,quantile_none,0.8071902873959284
Training_Young,cycloess_mix_RF_QRILC,quantile_none,0.8189191565836934
Training_Young,quantile_mix_RF_QRILC,quantile_none,0.917403826440131
Training_Young,vsn_mix_RF_QRILC,quantile_none,0.8057382128867648
Training_Young,cycloess_bpca,vsn_none,0.905343336800658
Training_Young,quantile_bpca,vsn_none,0.90075390388753
Training_Young,vsn_bpca,vsn_none,0.9502047388133197
Training_Young,cycloess_mix_bpca_QRILC,vsn_none,0.8746965238960815
Training_Young,quantile_mix_bpca_QRILC,vsn_none,0.8571003905905235
Training_Young,vsn_mix_bpca_QRILC,vsn_none,0.91383413199649
Training_Young,cycloess_mix_RF_QRILC,vsn_none,0.8824953751687329
Training_Young,quantile_mix_RF_QRILC,vsn_none,0.8539407738470806
Training_Young,vsn_mix_RF_QRILC,vsn_none,0.9180179042097242
Training_Young,quantile_bpca,cycloess_bpca,0.9383671560748389
Training_Young,vsn_bpca,cycloess_bpca,0.9546148515950328
Training_Young,cycloess_mix_bpca_QRILC,cycloess_bpca,0.8890932873162551
Training_Young,quantile_mix_bpca_QRILC,cycloess_bpca,0.8805350311029093
Training_Young,vsn_mix_bpca_QRILC,cycloess_bpca,0.8536165853026786
Training_Young,cycloess_mix_RF_QRILC,cycloess_bpca,0.8907607965289912
Training_Young,quantile_mix_RF_QRILC,cycloess_bpca,0.8710804913890684
Training_Young,vsn_mix_RF_QRILC,cycloess_bpca,0.845913741158481
Training_Young,vsn_bpca,quantile_bpca,0.9372779568643815
Training_Young,cycloess_mix_bpca_QRILC,quantile_bpca,0.8470576132449872
Training_Young,quantile_mix_bpca_QRILC,quantile_bpca,0.928824287114907
Training_Young,vsn_mix_bpca_QRILC,quantile_bpca,0.8498777948070566
Training_Young,cycloess_mix_RF_QRILC,quantile_bpca,0.8512643255151184
Training_Young,quantile_mix_RF_QRILC,quantile_bpca,0.9203599138784693
Training_Young,vsn_mix_RF_QRILC,quantile_bpca,0.8415451541501009
Training_Young,cycloess_mix_bpca_QRILC,vsn_bpca,0.8715398707569236
Training_Young,quantile_mix_bpca_QRILC,vsn_bpca,0.8676581162036446
Training_Young,vsn_mix_bpca_QRILC,vsn_bpca,0.9168033810376484
Training_Young,cycloess_mix_RF_QRILC,vsn_bpca,0.8787249335657973
Training_Young,quantile_mix_RF_QRILC,vsn_bpca,0.8544166995015295
Training_Young,vsn_mix_RF_QRILC,vsn_bpca,0.9093741885991448
Training_Young,quantile_mix_bpca_QRILC,cycloess_mix_bpca_QRILC,0.8708903998181465
Training_Young,vsn_mix_bpca_QRILC,cycloess_mix_bpca_QRILC,0.924358119963249
Training_Young,cycloess_mix_RF_QRILC,cycloess_mix_bpca_QRILC,0.9655925305338653
Training_Young,quantile_mix_RF_QRILC,cycloess_mix_bpca_QRILC,0.8544172876591818
Training_Young,vsn_mix_RF_QRILC,cycloess_mix_bpca_QRILC,0.9198868656776585
Training_Young,vsn_mix_bpca_QRILC,quantile_mix_bpca_QRILC,0.8671914824821151
Training_Young,cycloess_mix_RF_QRILC,quantile_mix_bpca_QRILC,0.8694274429961056
Training_Young,quantile_mix_RF_QRILC,quantile_mix_bpca_QRILC,0.9611495593868212
Training_Young,vsn_mix_RF_QRILC,quantile_mix_bpca_QRILC,0.863937200052375
Training_Young,cycloess_mix_RF_QRILC,vsn_mix_bpca_QRILC,0.9219405759041673
Training_Young,quantile_mix_RF_QRILC,vsn_mix_bpca_QRILC,0.8528220935962911
Training_Young,vsn_mix_RF_QRILC,vsn_mix_bpca_QRILC,0.9612151137933813
Training_Young,quantile_mix_RF_QRILC,cycloess_mix_RF_QRILC,0.8599212939831314
Training_Young,vsn_mix_RF_QRILC,cycloess_mix_RF_QRILC,0.9330163212293474
Training_Young,vsn_mix_RF_QRILC,quantile_mix_RF_QRILC,0.8581954429693672
Training_Old,quantile_none,cycloess_none,0.9676232294233422
Training_Old,vsn_none,cycloess_none,0.9917560477942358
Training_Old,cycloess_bpca,cycloess_none,0.9828542118437056
Training_Old,quantile_bpca,cycloess_none,0.9583952428176238
Training_Old,vsn_bpca,cycloess_none,0.974518845430394
Training_Old,cycloess_mix_bpca_QRILC,cycloess_none,0.9340443873474257
Training_Old,quantile_mix_bpca_QRILC,cycloess_none,0.8827085998218234
Training_Old,vsn_mix_bpca_QRILC,cycloess_none,0.9223994771654259
Training_Old,cycloess_mix_RF_QRILC,cycloess_none,0.9312301370774879
Training_Old,quantile_mix_RF_QRILC,cycloess_none,0.8919294866530559
Training_Old,vsn_mix_RF_QRILC,cycloess_none,0.92458753076862
Training_Old,vsn_none,quantile_none,0.9664068686135013
Training_Old,cycloess_bpca,quantile_none,0.9439534334079049
Training_Old,quantile_bpca,quantile_none,0.9818931096907485
Training_Old,vsn_bpca,quantile_none,0.9420112159517428
Training_Old,cycloess_mix_bpca_QRILC,quantile_none,0.8977749606786355
Training_Old,quantile_mix_bpca_QRILC,quantile_none,0.9072054457882
Training_Old,vsn_mix_bpca_QRILC,quantile_none,0.8958603479916468
Training_Old,cycloess_mix_RF_QRILC,quantile_none,0.8959959986880934
Training_Old,quantile_mix_RF_QRILC,quantile_none,0.9155208027400967
Training_Old,vsn_mix_RF_QRILC,quantile_none,0.899052929922983
Training_Old,cycloess_bpca,vsn_none,0.9764953813323305
Training_Old,quantile_bpca,vsn_none,0.9585117976537023
Training_Old,vsn_bpca,vsn_none,0.9831189225211078
Training_Old,cycloess_mix_bpca_QRILC,vsn_none,0.9245803326252461
Training_Old,quantile_mix_bpca_QRILC,vsn_none,0.8800306322684371
Training_Old,vsn_mix_bpca_QRILC,vsn_none,0.9290653809157875
Training_Old,cycloess_mix_RF_QRILC,vsn_none,0.9214988755673751
Training_Old,quantile_mix_RF_QRILC,vsn_none,0.8890518708343512
Training_Old,vsn_mix_RF_QRILC,vsn_none,0.9315958184998993
Training_Old,quantile_bpca,cycloess_bpca,0.9666854170876003
Training_Old,vsn_bpca,cycloess_bpca,0.9925065534867816
Training_Old,cycloess_mix_bpca_QRILC,cycloess_bpca,0.9389747180181433
Training_Old,quantile_mix_bpca_QRILC,cycloess_bpca,0.8852092083737573
Training_Old,vsn_mix_bpca_QRILC,cycloess_bpca,0.9321916050957951
Training_Old,cycloess_mix_RF_QRILC,cycloess_bpca,0.9338736831823199
Training_Old,quantile_mix_RF_QRILC,cycloess_bpca,0.8910340332090351
Training_Old,vsn_mix_RF_QRILC,cycloess_bpca,0.9281578602909087
Training_Old,vsn_bpca,quantile_bpca,0.9663735560085762
Training_Old,cycloess_mix_bpca_QRILC,quantile_bpca,0.9119568428775063
Training_Old,quantile_mix_bpca_QRILC,quantile_bpca,0.9188985950570718
Training_Old,vsn_mix_bpca_QRILC,quantile_bpca,0.9160464687987961
Training_Old,cycloess_mix_RF_QRILC,quantile_bpca,0.9077776229869898
Training_Old,quantile_mix_RF_QRILC,quantile_bpca,0.9241323619720201
Training_Old,vsn_mix_RF_QRILC,quantile_bpca,0.9121848761424923
Training_Old,cycloess_mix_bpca_QRILC,vsn_bpca,0.931000739335657
Training_Old,quantile_mix_bpca_QRILC,vsn_bpca,0.8838036061319668
Training_Old,vsn_mix_bpca_QRILC,vsn_bpca,0.9395992186562571
Training_Old,cycloess_mix_RF_QRILC,vsn_bpca,0.9256006588726204
Training_Old,quantile_mix_RF_QRILC,vsn_bpca,0.8895570968987442
Training_Old,vsn_mix_RF_QRILC,vsn_bpca,0.935458657545544
Training_Old,quantile_mix_bpca_QRILC,cycloess_mix_bpca_QRILC,0.9453791679221832
Training_Old,vsn_mix_bpca_QRILC,cycloess_mix_bpca_QRILC,0.9728603357050761
Training_Old,cycloess_mix_RF_QRILC,cycloess_mix_bpca_QRILC,0.9765896714743457
Training_Old,quantile_mix_RF_QRILC,cycloess_mix_bpca_QRILC,0.9422305684589939
Training_Old,vsn_mix_RF_QRILC,cycloess_mix_bpca_QRILC,0.9656982982245873
Training_Old,vsn_mix_bpca_QRILC,quantile_mix_bpca_QRILC,0.9487261496462076
Training_Old,cycloess_mix_RF_QRILC,quantile_mix_bpca_QRILC,0.9463010528570227
Training_Old,quantile_mix_RF_QRILC,quantile_mix_bpca_QRILC,0.978063450888344
Training_Old,vsn_mix_RF_QRILC,quantile_mix_bpca_QRILC,0.9453558773703059
Training_Old,cycloess_mix_RF_QRILC,vsn_mix_bpca_QRILC,0.969816565827293
Training_Old,quantile_mix_RF_QRILC,vsn_mix_bpca_QRILC,0.9459136534259877
Training_Old,vsn_mix_RF_QRILC,vsn_mix_bpca_QRILC,0.979617135018887
Training_Old,quantile_mix_RF_QRILC,cycloess_mix_RF_QRILC,0.9486242890904537
Training_Old,vsn_mix_RF_QRILC,cycloess_mix_RF_QRILC,0.9724918616892713
Training_Old,vsn_mix_RF_QRILC,quantile_mix_RF_QRILC,0.9542153795835434
Aging,quantile_none,cycloess_none,0.8215716464503267
Aging,vsn_none,cycloess_none,0.9568856072724621
Aging,cycloess_bpca,cycloess_none,0.9556732788943091
Aging,quantile_bpca,cycloess_none,0.8465922367558449
Aging,vsn_bpca,cycloess_none,0.9159013168734887
Aging,cycloess_mix_bpca_QRILC,cycloess_none,0.885411625520085
Aging,quantile_mix_bpca_QRILC,cycloess_none,0.8229396109739178
Aging,vsn_mix_bpca_QRILC,cycloess_none,0.8369425728338333
Aging,cycloess_mix_RF_QRILC,cycloess_none,0.8843676699953142
Aging,quantile_mix_RF_QRILC,cycloess_none,0.8185255546553633
Aging,vsn_mix_RF_QRILC,cycloess_none,0.8378538352232519
Aging,vsn_none,quantile_none,0.8273506350394567
Aging,cycloess_bpca,quantile_none,0.8105617599008217
Aging,quantile_bpca,quantile_none,0.8916981746603939
Aging,vsn_bpca,quantile_none,0.7902728615775926
Aging,cycloess_mix_bpca_QRILC,quantile_none,0.6268625474054467
Aging,quantile_mix_bpca_QRILC,quantile_none,0.9038503812791057
Aging,vsn_mix_bpca_QRILC,quantile_none,0.6376991571950499
Aging,cycloess_mix_RF_QRILC,quantile_none,0.6259359606194739
Aging,quantile_mix_RF_QRILC,quantile_none,0.9090447216001463
Aging,vsn_mix_RF_QRILC,quantile_none,0.6401788066928018
Aging,cycloess_bpca,vsn_none,0.9116557629172747
Aging,quantile_bpca,vsn_none,0.8863356756738636
Aging,vsn_bpca,vsn_none,0.9614771855051403
Aging,cycloess_mix_bpca_QRILC,vsn_none,0.8759875425432571
Aging,quantile_mix_bpca_QRILC,vsn_none,0.8529288137124365
Aging,vsn_mix_bpca_QRILC,vsn_none,0.9062110892513827
Aging,cycloess_mix_RF_QRILC,vsn_none,0.8780615513042294
Aging,quantile_mix_RF_QRILC,vsn_none,0.8474897425542723
Aging,vsn_mix_RF_QRILC,vsn_none,0.9077597474132989
Aging,quantile_bpca,cycloess_bpca,0.8564537129268769
Aging,vsn_bpca,cycloess_bpca,0.9460248311848019
Aging,cycloess_mix_bpca_QRILC,cycloess_bpca,0.8292764114537504
Aging,quantile_mix_bpca_QRILC,cycloess_bpca,0.8101076819105819
Aging,vsn_mix_bpca_QRILC,cycloess_bpca,0.7841924464264615
Aging,cycloess_mix_RF_QRILC,cycloess_bpca,0.8200325414613434
Aging,quantile_mix_RF_QRILC,cycloess_bpca,0.8059664786152088
