method,contrast,criterion,n_up,n_down,n_total
cycloess_none,Training_Young,nominal_p05,223,205,428
cycloess_none,Training_Young,FDR_05,58,35,93
cycloess_none,Training_Young,FDR_10,113,105,218
cycloess_none,Training_Young,pi_score_05,37,56,93
cycloess_none,Training_Old,nominal_p05,100,76,176
cycloess_none,Training_Old,FDR_05,0,0,0
cycloess_none,Training_Old,FDR_10,0,0,0
cycloess_none,Training_Old,pi_score_05,11,8,19
cycloess_none,Aging,nominal_p05,345,352,697
cycloess_none,Aging,FDR_05,210,214,424
cycloess_none,Aging,FDR_10,289,300,589
cycloess_none,Aging,pi_score_05,107,139,246
cycloess_none,Interaction,nominal_p05,93,52,145
cycloess_none,Interaction,FDR_05,0,0,0
cycloess_none,Interaction,FDR_10,0,0,0
cycloess_none,Interaction,pi_score_05,30,5,35
rlr_none,Training_Young,nominal_p05,233,198,431
rlr_none,Training_Young,FDR_05,61,27,88
rlr_none,Training_Young,FDR_10,110,94,204
rlr_none,Training_Young,pi_score_05,36,52,88
rlr_none,Training_Old,nominal_p05,92,84,176
rlr_none,Training_Old,FDR_05,0,0,0
rlr_none,Training_Old,FDR_10,0,0,0
rlr_none,Training_Old,pi_score_05,11,8,19
rlr_none,Aging,nominal_p05,373,323,696
rlr_none,Aging,FDR_05,234,202,436
rlr_none,Aging,FDR_10,315,283,598
rlr_none,Aging,pi_score_05,114,133,247
rlr_none,Interaction,nominal_p05,81,59,140
rlr_none,Interaction,FDR_05,0,0,0
rlr_none,Interaction,FDR_10,0,0,0
rlr_none,Interaction,pi_score_05,28,6,34
vsn_none,Training_Young,nominal_p05,225,218,443
vsn_none,Training_Young,FDR_05,57,44,101
vsn_none,Training_Young,FDR_10,115,121,236
vsn_none,Training_Young,pi_score_05,41,58,99
vsn_none,Training_Old,nominal_p05,88,81,169
vsn_none,Training_Old,FDR_05,0,0,0
vsn_none,Training_Old,FDR_10,0,0,0
vsn_none,Training_Old,pi_score_05,10,6,16
vsn_none,Aging,nominal_p05,392,330,722
vsn_none,Aging,FDR_05,252,223,475
vsn_none,Aging,FDR_10,335,288,623
vsn_none,Aging,pi_score_05,129,144,273
vsn_none,Interaction,nominal_p05,95,67,162
vsn_none,Interaction,FDR_05,0,0,0
vsn_none,Interaction,FDR_10,0,0,0
vsn_none,Interaction,pi_score_05,29,12,41
cycloess_bpca,Training_Young,nominal_p05,256,270,526
cycloess_bpca,Training_Young,FDR_05,91,75,166
cycloess_bpca,Training_Young,FDR_10,146,150,296
cycloess_bpca,Training_Young,pi_score_05,35,60,95
cycloess_bpca,Training_Old,nominal_p05,100,80,180
cycloess_bpca,Training_Old,FDR_05,1,1,2
cycloess_bpca,Training_Old,FDR_10,3,3,6
cycloess_bpca,Training_Old,pi_score_05,10,7,17
cycloess_bpca,Aging,nominal_p05,401,436,837
cycloess_bpca,Aging,FDR_05,299,310,609
cycloess_bpca,Aging,FDR_10,370,402,772
cycloess_bpca,Aging,pi_score_05,138,196,334
cycloess_bpca,Interaction,nominal_p05,100,51,151
cycloess_bpca,Interaction,FDR_05,0,0,0
cycloess_bpca,Interaction,FDR_10,0,0,0
cycloess_bpca,Interaction,pi_score_05,29,4,33
rlr_bpca,Training_Young,nominal_p05,260,262,522
rlr_bpca,Training_Young,FDR_05,91,67,158
rlr_bpca,Training_Young,FDR_10,155,144,299
rlr_bpca,Training_Young,pi_score_05,36,58,94
rlr_bpca,Training_Old,nominal_p05,92,84,176
rlr_bpca,Training_Old,FDR_05,1,1,2
rlr_bpca,Training_Old,FDR_10,3,3,6
rlr_bpca,Training_Old,pi_score_05,10,8,18
rlr_bpca,Aging,nominal_p05,437,408,845
rlr_bpca,Aging,FDR_05,323,287,610
rlr_bpca,Aging,FDR_10,408,372,780
rlr_bpca,Aging,pi_score_05,157,185,342
rlr_bpca,Interaction,nominal_p05,92,57,149
rlr_bpca,Interaction,FDR_05,0,0,0
rlr_bpca,Interaction,FDR_10,0,0,0
rlr_bpca,Interaction,pi_score_05,28,4,32
vsn_bpca,Training_Young,nominal_p05,266,247,513
vsn_bpca,Training_Young,FDR_05,103,91,194
vsn_bpca,Training_Young,FDR_10,156,153,309
vsn_bpca,Training_Young,pi_score_05,47,58,105
vsn_bpca,Training_Old,nominal_p05,91,82,173
vsn_bpca,Training_Old,FDR_05,1,1,2
vsn_bpca,Training_Old,FDR_10,1,2,3
vsn_bpca,Training_Old,pi_score_05,10,6,16
vsn_bpca,Aging,nominal_p05,492,377,869
vsn_bpca,Aging,FDR_05,382,292,674
vsn_bpca,Aging,FDR_10,469,354,823
vsn_bpca,Aging,pi_score_05,201,167,368
vsn_bpca,Interaction,nominal_p05,94,70,164
vsn_bpca,Interaction,FDR_05,0,0,0
vsn_bpca,Interaction,FDR_10,0,0,0
vsn_bpca,Interaction,pi_score_05,28,4,32
cycloess_mix_bpca_MinDet,Training_Young,nominal_p05,288,184,472
cycloess_mix_bpca_MinDet,Training_Young,FDR_05,95,41,136
cycloess_mix_bpca_MinDet,Training_Young,FDR_10,155,103,258
cycloess_mix_bpca_MinDet,Training_Young,pi_score_05,49,49,98
cycloess_mix_bpca_MinDet,Training_Old,nominal_p05,93,69,162
cycloess_mix_bpca_MinDet,Training_Old,FDR_05,2,2,4
cycloess_mix_bpca_MinDet,Training_Old,FDR_10,2,4,6
cycloess_mix_bpca_MinDet,Training_Old,pi_score_05,13,9,22
cycloess_mix_bpca_MinDet,Aging,nominal_p05,610,275,885
cycloess_mix_bpca_MinDet,Aging,FDR_05,486,195,681
cycloess_mix_bpca_MinDet,Aging,FDR_10,586,259,845
cycloess_mix_bpca_MinDet,Aging,pi_score_05,288,116,404
cycloess_mix_bpca_MinDet,Interaction,nominal_p05,82,79,161
cycloess_mix_bpca_MinDet,Interaction,FDR_05,0,1,1
cycloess_mix_bpca_MinDet,Interaction,FDR_10,0,2,2
cycloess_mix_bpca_MinDet,Interaction,pi_score_05,30,13,43
rlr_mix_bpca_MinDet,Training_Young,nominal_p05,295,175,470
rlr_mix_bpca_MinDet,Training_Young,FDR_05,94,35,129
rlr_mix_bpca_MinDet,Training_Young,FDR_10,162,94,256
rlr_mix_bpca_MinDet,Training_Young,pi_score_05,49,44,93
rlr_mix_bpca_MinDet,Training_Old,nominal_p05,82,78,160
rlr_mix_bpca_MinDet,Training_Old,FDR_05,2,2,4
rlr_mix_bpca_MinDet,Training_Old,FDR_10,2,4,6
rlr_mix_bpca_MinDet,Training_Old,pi_score_05,13,9,22
rlr_mix_bpca_MinDet,Aging,nominal_p05,648,253,901
rlr_mix_bpca_MinDet,Aging,FDR_05,519,181,700
rlr_mix_bpca_MinDet,Aging,FDR_10,612,233,845
rlr_mix_bpca_MinDet,Aging,pi_score_05,304,108,412
rlr_mix_bpca_MinDet,Interaction,nominal_p05,69,85,154
rlr_mix_bpca_MinDet,Interaction,FDR_05,0,2,2
rlr_mix_bpca_MinDet,Interaction,FDR_10,0,2,2
rlr_mix_bpca_MinDet,Interaction,pi_score_05,28,13,41
vsn_mix_bpca_MinDet,Training_Young,nominal_p05,272,206,478
vsn_mix_bpca_MinDet,Training_Young,FDR_05,99,54,153
vsn_mix_bpca_MinDet,Training_Young,FDR_10,161,120,281
vsn_mix_bpca_MinDet,Training_Young,pi_score_05,54,52,106
vsn_mix_bpca_MinDet,Training_Old,nominal_p05,84,71,155
vsn_mix_bpca_MinDet,Training_Old,FDR_05,2,2,4
vsn_mix_bpca_MinDet,Training_Old,FDR_10,3,4,7
vsn_mix_bpca_MinDet,Training_Old,pi_score_05,15,9,24
vsn_mix_bpca_MinDet,Aging,nominal_p05,676,278,954
vsn_mix_bpca_MinDet,Aging,FDR_05,552,224,776
vsn_mix_bpca_MinDet,Aging,FDR_10,658,268,926
vsn_mix_bpca_MinDet,Aging,pi_score_05,341,125,466
vsn_mix_bpca_MinDet,Interaction,nominal_p05,85,87,172
vsn_mix_bpca_MinDet,Interaction,FDR_05,0,2,2
vsn_mix_bpca_MinDet,Interaction,FDR_10,0,2,2
vsn_mix_bpca_MinDet,Interaction,pi_score_05,33,13,46
cycloess_mix_bpca_MinProb,Training_Young,nominal_p05,207,173,380
cycloess_mix_bpca_MinProb,Training_Young,FDR_05,32,9,41
cycloess_mix_bpca_MinProb,Training_Young,FDR_10,60,38,98
cycloess_mix_bpca_MinProb,Training_Young,pi_score_05,71,84,155
cycloess_mix_bpca_MinProb,Training_Old,nominal_p05,87,73,160
cycloess_mix_bpca_MinProb,Training_Old,FDR_05,0,0,0
cycloess_mix_bpca_MinProb,Training_Old,FDR_10,0,0,0
cycloess_mix_bpca_MinProb,Training_Old,pi_score_05,20,16,36
cycloess_mix_bpca_MinProb,Aging,nominal_p05,312,252,564
cycloess_mix_bpca_MinProb,Aging,FDR_05,154,131,285
cycloess_mix_bpca_MinProb,Aging,FDR_10,217,186,403
cycloess_mix_bpca_MinProb,Aging,pi_score_05,166,113,279
cycloess_mix_bpca_MinProb,Interaction,nominal_p05,106,60,166
cycloess_mix_bpca_MinProb,Interaction,FDR_05,0,0,0
cycloess_mix_bpca_MinProb,Interaction,FDR_10,0,0,0
cycloess_mix_bpca_MinProb,Interaction,pi_score_05,78,49,127
rlr_mix_bpca_MinProb,Training_Young,nominal_p05,206,167,373
rlr_mix_bpca_MinProb,Training_Young,FDR_05,38,15,53
rlr_mix_bpca_MinProb,Training_Young,FDR_10,61,36,97
rlr_mix_bpca_MinProb,Training_Young,pi_score_05,64,86,150
rlr_mix_bpca_MinProb,Training_Old,nominal_p05,89,73,162
rlr_mix_bpca_MinProb,Training_Old,FDR_05,0,0,0
rlr_mix_bpca_MinProb,Training_Old,FDR_10,0,0,0
rlr_mix_bpca_MinProb,Training_Old,pi_score_05,24,16,40
