pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast
GOSLIM_CYTOPLASMIC_TRANSLATION,1.2902059034997731e-18,3.4835559394493876e-17,1.114664477517292,-0.6339278437283309,-2.876701889417898,115,RPS7;RPL24;RPS10;EIF3C;RPS27A;RPL23A;RPS23;RPL22;RPL38;RPS3A;YBX3;RPL27A;RPL34;RPL17;EIF3G;RPS19;RPS27;RPL23;RPS24;RPL10;RPL35;RPL31;EIF2B1;RPS5;RPS25;EIF3M;EIF2S3;RPL35A;RPL37A;RPL19;RPL30;RPS15;RPS20;RPL28;EIF5;EIF3D;RPS3;EIF4A1;RPS14;RPS2;RPL32;RPS21;RPS17;RPLP1;RPL5;RPL6;RPL36;RPL26;RPL7A;EIF3A;RPS13;RPLP0;RPL29;RPS12;RPS18;EIF3K;EIF3I;EIF3J;DRG2;RPLP2;RACK1;RPL11;RPL18A;RPS26;RPS16;RPL14;RPL13A;EEF1D;AKT2;EIF3L;RPL13;EIF3B;YBX1;RPL3;RPS8;RPL12;CSDE1;RPL10A;RPSA;RPL4;DENR;RPS4X,GO Slim,Aging
GOSLIM_RIBOSOME_BIOGENESIS,2.096726473954011e-7,2.830580739837915e-6,0.6901324587967956,-0.5821433096011792,-2.3200495901853913,56,RPS7;RPL24;RPS27A;RPS23;RPL38;RPS3A;RPS19;RPS27;RPS24;RPL35;RPS5;RPS25;RPL35A;RPS15;EIF5;RPS14;RPS21;RPS17;UTP15;RPL5;EIF2A;RPL26;DDX3X;TRMT112;RPL7A;RPS13;RPLP0;RPS12,GO Slim,Aging
GOSLIM_MUSCLE_SYSTEM_PROCESS,3.652836149872581e-7,3.287552534885323e-6,0.674962860011025,-0.4417194824235867,-2.057033291661072,135,TTN;MYOF;DES;LMOD2;MYOM2;MYBPH;SNTA1;SYNM;PDLIM5;TNNI2;TPM1;HMOX1;FLNA;TNNT3;HRC;ACTN3;MYOZ1;MAP2K4;CAMK2D;SMTN;TPM2;MYH2;TMEM38A;TMOD4;MYL1;FXYD1;MYH3;TNNC2;MYH1;GLRX3;TCAP;LMNA;TRDN;MYH13;TPM3;CACNA1S;ACTA1;CALM1;UTRN;CAMK2G;STAC3;STUB1;MYH4;TMOD1;CSRP3;LMOD3;SMPX;KLHL41;SSPN;TNNT1;MYH7;MYOT,GO Slim,Aging
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,1.293809242087651e-6,8.733212384091644e-6,0.6435518361507222,0.4652107636180694,2.062175692846555,99,HMGCL;ECHS1;ALDH5A1;ACAT1;ALDH6A1;ETFB;MPST;ALDH4A1;ETFA;MCCC1;PCCB;FAH;PCBD2;IVD;PCCA;ACAD8;FH;GARS1;GPT2;HIBADH;ACADSB;RIDA;ADSS1;GCDH;DBT;HARS1;LRRC47;GPT;GOT2;GLUL;THAP4;IARS2;BCAT2;VARS1;AARS1;MMUT;SARS2;ADHFE1;HIBCH;GLUD1,GO Slim,Aging
GOSLIM_KETONE_METABOLIC_PROCESS,0.0010425687842255582,0.005629871434818015,0.45505986738722953,0.4741009487745285,1.8555884729336654,50,AKR7A2;COQ7;COQ5;CBR4;COQ8A;ADIPOQ;ACADVL;MLYCD;HAGH;PLIN5;FABP3;PPTC7;COQ3;SIRT5;STAT5B;APOC2;H6PD;FABP5;COQ9,GO Slim,Aging
GOSLIM_DNA_RECOMBINATION,0.02350129456283609,0.1057558255327624,0.13230852260538306,0.4247446693810668,1.5348076389743441,35,HMGB2;HMGB1;PRKDC;XRCC6;ACTR2;HDGFL2;APEX1;HSPD1;NUCKS1;RPA2;TSN;RPA1;RUVBL2,GO Slim,Aging
GOSLIM_DETOXIFICATION,0.04198627371820751,0.16194705577022897,0.09910876842634327,0.36502631849878653,1.4334935334857535,51,NXN;SOD2;CP;PRDX6;MT2A;MB;GSTO1;HP;ALB;GPX3;NNT;GSTP1;PRDX2;AKR1A1;HBB;HBA1;SOD3;APOE;CD36;GSTK1;TXNRD1;SELENOF;PRDX1;GPX1;TXNRD2;PRDX3,GO Slim,Aging
GOSLIM_PROTEIN_FOLDING,0.10236541598694943,0.3454832789559543,0.06278661667857881,0.2882955790633522,1.2517593456459937,87,PPIA;CDC37;FKBP4;CLU;PPIF;AHSA1;CALR;CHCHD4;TBCA;PFDN2;FKBP5;PDIA4;HSPB6;HSPD1;PFDN4;PFDN6;PTGES3;VBP1;TRAP1;RUVBL2;KHSRP;TBCB;PPIB;TXNDC5;DNAJA1,GO Slim,Aging
GOSLIM_RENAL_SYSTEM_PROCESS,0.15629952456418383,0.4688985736925515,0.04931054086047623,0.4263041466199281,1.2721148665873407,17,IGHA1;ADIPOQ;AGT;GNAI2;HBB;AKR1B1;PRKACA;IGKV3-20;AKR1C3;JCHAIN;RHOA,GO Slim,Aging
GOSLIM_VITAMIN_METABOLIC_PROCESS,0.17416173570019725,0.4702366863905326,0.04637202841384966,0.43993419795345656,1.264769509214249,15,PNPO;MCCC1;GSTO1;PLPBP;PANK4;PDXP;SHMT1;AKR1C3;ATP1A2,GO Slim,Aging
