pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,arc_r1_var,clean_label
GOSLIM_PROTEIN_FOLDING,4.884404110469095e-9,4.3959636994221863e-8,0.7614608014455848,0.552763961135913,2.343605695413566,87,CCT6A;CCT5;CCT8;HSPB6;HSPB1;CCT2;TXNDC5;PDIA3;CCT7;CCT4;DNAJA2;HYOU1;CANX;TCP1;HSPB2;CCT3;HSPA4;DNAJA4;HSP90B1;HSPA8;UNC45B;TBCB;CRYAB;HSPA5;HSP90AB1;DNAJA1;BAG3;AHSA1;ERO1A;RUVBL2;CALR;PDCD5;PDIA4;HSPE1;P4HB;LMAN1;CSNK2A1;CLU;PPIA;HSPA2;PPIB;CHCHD4;HSPD1;BAG2;NGLY1;FKBP4;HSPA9,GO Slim,Training_Young,1,-8.5,13.5,2.5,-0.14835298641951802,0.23561944901923448,0.04363323129985824,6.25350065739549,Protein Folding
GOSLIM_TRNA_METABOLIC_PROCESS,1.7556333070665417e-4,0.00118505248226991,0.5188480777437918,0.5508023624452635,1.996031422136285,39,VARS1;FARSB;EPRS1;QARS1;DARS1;FARSA;TARS1;RTCB;DDX1;HARS1;SARS1;FAM98A;AARS1;MARS1,GO Slim,Training_Young,2,16.5,38.5,27.5,0.2879793265790644,0.6719517620178169,0.4799655442984406,5.554497479131506,tRNA Metabolism
GOSLIM_MICROTUBULE-BASED_MOVEMENT,7.598400861141165e-4,0.00410313646501623,0.47727081536286214,0.4845969548460643,1.8415680915650785,48,DYNC1H1;DYNLT1;DYNC1LI1;DYNC1I2;UCHL1;KPNB1;HSPB1;ACTR2;RAB6A;MAPT;KIF5B;DNAJA1;BAG3;TUBB4B;DYNC1LI2;MAP4;KTN1;ARL3,GO Slim,Training_Young,3,41.5,63.5,52.5,0.7243116395776468,1.1082840750163994,0.9162978572970231,5.412971987358236,MT-Based Movement
HALLMARK_MYC_TARGETS_V1,2.492421664626872e-4,0.00523408549571643,0.49849310876659025,0.3748318559499144,1.6869582998458437,128,CCT5;EPRS1;ABCE1;KPNB1;HPRT1;TOMM70;CCT2;CCT7;CCT4;SLC25A3;CANX;TCP1;CCT3;PRDX3;TUFM;RPS6;SSBP1;EEF1B2;AIMP2;HSP90AB1;RPS2;NME1;EIF3J;PSMD1;ETF1;RUVBL2;PSMD3;PSMC6;PSMA7;HDDC2;TARDBP;HSPE1;PSMA6;DHX15;FAM120A;PSMC4;RAN;EIF2S1;PPIA;EIF1AX;PSMB3;RPS3;SRM;YWHAQ;HSPD1;RPL14;PSMA1;RPL34;RAD23B;PSMD14;PSMD8;YWHAE;RPL6;SYNCRIP;GSPT1,Hallmark,Training_Young,4,66.5,88.5,77.5,1.160643952576229,1.5446163880149817,1.3526301702956054,5.380826622365903,MYC Targets V1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,8.515660624946778e-4,0.00894144365619411,0.47727081536286214,0.5465151868682685,1.8897486240368335,32,DCTN1;TARS1;TUBB2A;HYOU1;KIF5B;DNAJA4;HSP90B1;HSPA5;PREB;YWHAZ;BAG3;ERO1A;CALR;RPS14;EIF2S1,Hallmark,Training_Young,5,91.5,113.5,102.5,1.5969762655748114,1.9809487010135638,1.7889624832941877,5.30214260980246,"Unfolded Protein
Response"
HALLMARK_MITOTIC_SPINDLE,0.00233104555759549,0.01631731890316848,0.4317076958033464,0.5275854068171725,1.8612605401961917,35,DYNC1H1;FSCN1;EZR;MARCKS;BIN1;FLNA;KIF5B;VCL;GSN;FLNB;SPTBN1;SPTAN1;PXN;PAFAH1B1;SEPTIN9;LRPPRC;CTTN;CLIP1;MAPRE1;YWHAE,Hallmark,Training_Young,6,116.5,138.5,127.5,2.033308578573394,2.4172810140121466,2.2252947962927703,5.192859815336508,Mitotic Spindle
GOSLIM_CHROMOSOME_SEGREGATION,0.00590188122464035,0.02276439900932708,0.25663501697244306,0.4282961277336747,1.649543807318583,52,DYNC1H1;DYNC1LI1;USP9X;DCTN2;KPNB1;TUBB;ACTR2;FLNA;DDB1;PPP2R1A,GO Slim,Training_Young,7,141.5,163.5,152.5,2.4696408915719763,2.853613327010729,2.6616271092913526,5.113555049085253,Chromosome Segregation
HALLMARK_MTORC1_SIGNALING,0.00613718411552346,0.03682310469314079,0.24883263202204345,0.3738351023398567,1.5810729437268385,86,CCT6A;EPRS1;HPRT1;ACTR2;GBE1;CANX;HSPA4;HSP90B1;SERPINH1;ACSL3;PSMC2;HSPA5;ACACA;GAPDH;GSR;PSMA3;ETF1;ERO1A;CALR;PSMC6;STIP1;YKT6;HSPE1;NAMPT;PSMC4;CACYBP;PPIA;PSMD13;PSMB5;UFM1;HSPD1;ACTR3;HSPA9;RDH11;PSMD14;PFKL,Hallmark,Training_Young,8,166.5,188.5,177.5,2.9059732045705586,3.2899456400093112,3.097959422289935,4.85,mTORC1 Signaling
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,8.140292138481652e-11,2.197878877390046e-9,0.8390889356212738,-0.4241934225260103,-2.1353176592382317,222,NDUFA3;NDUFV2;NDUFA6;NDUFS7;MT-ND1;NDUFS6;NDUFB7;MT-CO3;NDUFB4;MT-ND4;NDUFB9;NDUFB6;COX7B;NDUFB10;NDUFS1;MT-ND3;NDUFB3;NDUFA8;NDUFV1;NDUFS3;NDUFA2;NDUFA9;NDUFC2;COX6B1;NDUFS5;NDUFA12;NDUFB5;MT-CO2;NDUFA5;NDUFS2;EPM2A;NDUFS8;COL6A1;COX5B;NDUFA7;NDUFA10;SORBS1;UQCR11;COX6C;NDUFB11;NDUFS4;NDUFB8;COX7A1;MT-ND2;NDUFAB1;COX4I1;IDH1;COQ9;NDUFB1;COX7C;PPP1CC;MT-CO1;NDUFV3;COX5A;TALDO1;MDH1;SIRT3;COX7A2;ACTN3;COQ10A;NIPSNAP2;GNPDA1;NDUFA13;COX6A2;BPGM;CYCS;COA6;NDUFA1;CYC1;LYRM7;UQCRC2;UQCRQ;RBKS;PGAM2;ADSL;STAT3,GO Slim,Training_Young,9,196.5,218.5,207.5,3.4295719801688573,3.81354441560761,3.6215581978882336,6.3999999999999995,"Generation Of
Precursor Metabolites
And Energy"
GOSLIM_MITOCHONDRION_ORGANIZATION,5.626436781848845e-10,7.59568965549594e-9,0.8012155746177786,-0.4563691199807258,-2.202523750110451,163,NDUFA3;TOMM22;NDUFA6;NDUFS7;MT-ND1;NDUFB7;NDUFB4;MT-ND4;NDUFB9;NDUFB6;NDUFB10;NDUFS1;NDUFB3;NDUFA8;NDUFS3;NDUFA2;NDUFA9;TOMM40;NDUFC2;NDUFS5;NDUFA12;NDUFB5;TMEM11;GGCT;NDUFA5;NDUFS2;EPM2A;NDUFS8;COL6A1;NDUFA10;NDUFB11;GPX1;VDAC2;NDUFS4;NDUFB8;COX7A1;MT-ND2;NDUFAB1;MTX2;LMNA;RALA;NDUFB1;MFN1;CHCHD7;MCU;PSMD10;CAV2;COX7A2;ATPAF2;DCN;PARP1;NIPSNAP2;TIMM8A;NDUFA13;CHCHD3;NDUFA1;IMMT;MICOS10;LYRM7;ATAD3A,GO Slim,Training_Young,10,221.5,243.5,232.5,3.8659042931674397,4.249876728606192,4.057890510886816,6.341104213560444,Mitochondrion Org.
