gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
MYBPH,1.7207,2.9351,9e-6,0.177236,Up
FSCN1,0.6479,3.8341,0.003281,0.156569,Up
HPRT1,0.5566,4.0394,0.005644,0.156569,Up
MYLK,-0.7396,2.9911,0.006135,0.177236,Down
ANXA3,-0.5737,3.3248,0.01238,0.168514,Down
CAMK2D,0.5425,3.3569,0.015099,0.168514,Up
GLIPR2,0.606,2.9571,0.016141,0.177236,Up
PCYT2,-0.4805,3.3169,0.025479,0.168514,Down
TBC1D24,-0.4748,3.2425,0.028882,0.168514,Down
SLC25A42,-0.7574,1.9884,0.031184,0.378396,Down
ARHGAP1,0.4722,3.1612,0.032159,0.168514,Up
ALDH6A1,-0.5216,2.7661,0.036071,0.216416,Down
SYNGR2,-0.4791,2.9865,0.037071,0.177236,Down
ADH1B,-0.6933,2.0586,0.037392,0.353617,Down
ASS1,-0.6464,2.2068,0.037467,0.328276,Down
SYNE2,-0.4305,3.298,0.038032,0.168514,Down
MUSTN1,0.7718,1.766,0.043355,0.411563,Up
S100A13,0.6609,2.0276,0.045714,0.358104,Up
ARPC1B,0.467,2.7641,0.05118,0.216416,NS
IQGAP1,0.3996,3.1489,0.055186,0.168514,NS
MYLK2,-0.5515,2.2221,0.059516,0.328276,NS
GPT2,-0.5924,2.0489,0.061142,0.353617,NS
MT2A,-0.5347,2.2008,0.066575,0.328276,NS
TLN2,-0.363,3.096,0.075168,0.171302,NS
TPD52,0.5987,1.8458,0.078524,0.396954,NS
CSRP3,0.509,2.1349,0.081905,0.341558,NS
GSN,0.473,2.2481,0.086427,0.328276,NS
MECP2,-0.4119,2.5567,0.088519,0.312172,NS
RPS15,0.374,2.665,0.100738,0.256783,NS
TSPAN8,-0.4467,2.1797,0.106252,0.328566,NS
ATL2,-0.4618,2.0589,0.112016,0.353617,NS
PTRH2,0.6264,1.5078,0.113654,0.463446,NS
GPX3,-0.4115,2.2721,0.116182,0.328276,NS
PHKA2,0.3587,2.5312,0.123594,0.314497,NS
TAGLN,0.5879,1.5242,0.127028,0.463446,NS
SSPN,-0.3138,2.8484,0.127708,0.201981,NS
PRUNE1,-0.3558,2.5011,0.128858,0.32101,NS
RPL22,0.3843,2.2935,0.131441,0.328276,NS
ABHD16A,-0.4652,1.8033,0.144915,0.400177,NS
HAT1,0.7991,1.0497,0.144925,0.624496,NS
TPPP,-0.4126,2.0324,0.145048,0.358104,NS
THBS4,0.4757,1.7563,0.146028,0.414473,NS
NFU1,-0.3493,2.3791,0.147561,0.328276,NS
RPL37A,0.4396,1.8727,0.15025,0.387178,NS
RPL24,0.3757,2.1835,0.151231,0.328566,NS
SH3BGRL,0.4546,1.7931,0.153031,0.404841,NS
PREX1,0.4448,1.8321,0.153173,0.39822,NS
SERPINH1,0.8176,0.9864,0.156129,0.64815,NS
TMPO,-0.4117,1.9493,0.157562,0.384224,NS
LCP1,0.3242,2.4696,0.158259,0.326472,NS
SLC27A1,-0.3524,2.2676,0.158811,0.328276,NS
RPL18,0.4544,1.7485,0.160484,0.414473,NS
PEBP4,-0.4411,1.7527,0.168634,0.414473,NS
VCAN,-0.3122,2.4542,0.171267,0.326472,NS
NAE1,-0.3251,2.3264,0.175264,0.328276,NS
CACNG1,-0.4178,1.8087,0.175505,0.400177,NS
UBE2D1,-0.3066,2.4073,0.182782,0.328276,NS
HSPB1,0.3907,1.8819,0.183945,0.384224,NS
ART3,-0.431,1.6757,0.18961,0.447459,NS
RPS6,0.3005,2.3943,0.190803,0.328276,NS
GNAS,-0.3094,2.3083,0.193136,0.328276,NS
CALU,0.3073,2.2819,0.199013,0.328276,NS
CHDH,0.3919,1.7724,0.202024,0.411563,NS
CRYAB,0.3625,1.8844,0.207459,0.384224,NS
LRG1,-0.4159,1.6117,0.213681,0.447459,NS
DHRS4,0.349,1.9092,0.215598,0.384224,NS
METTL7A,-0.3469,1.9122,0.217135,0.384224,NS
RPL32,0.51,1.2961,0.218278,0.543852,NS
COPS7B,-0.4562,1.4458,0.219019,0.493164,NS
JPT2,0.4136,1.5788,0.222365,0.447459,NS
ERGIC1,0.4079,1.5945,0.223648,0.447459,NS
CARNS1,0.453,1.4339,0.224098,0.493855,NS
SLC2A4,0.4037,1.6075,0.224382,0.447459,NS
IDI1,-0.3416,1.8917,0.225849,0.384224,NS
TXNDC12,-0.589,1.0792,0.231385,0.60643,NS
RRAD,0.5014,1.2531,0.235372,0.552906,NS
CSRP1,0.4246,1.441,0.244393,0.493164,NS
LGALS3,0.3344,1.8216,0.245982,0.400177,NS
SOD3,-0.433,1.3914,0.249744,0.514645,NS
NAMPT,0.3946,1.5225,0.25074,0.463446,NS
EEFSEC,0.3661,1.6375,0.251453,0.447459,NS
TGM2,0.3831,1.5377,0.257559,0.459417,NS
MIEN1,0.3178,1.8446,0.259291,0.396954,NS
CAPG,0.4457,1.3118,0.260194,0.542523,NS
CSTA,0.5628,1.0369,0.260864,0.627098,NS
TFRC,-0.5341,1.0901,0.26172,0.603062,NS
RPL10,0.3542,1.6375,0.262993,0.447459,NS
RNF123,-0.2592,2.236,0.263241,0.328276,NS
IDH3B,0.2937,1.9687,0.264179,0.382817,NS
DYNLT1,0.2539,2.2742,0.264528,0.328276,NS
VPS36,-0.2988,1.929,0.265235,0.384224,NS
TXNDC5,0.2564,2.2261,0.268689,0.328276,NS
MPST,-0.2657,2.1321,0.271296,0.341558,NS
C11orf54,-0.2658,2.1151,0.274019,0.341558,NS
TUFM,0.245,2.2851,0.275496,0.328276,NS
SAMHD1,0.3679,1.5086,0.278618,0.463446,NS
RPS12,0.2857,1.9284,0.281247,0.384224,NS
PLIN2,-0.4256,1.2941,0.281322,0.543852,NS
S100A4,0.4377,1.2581,0.28138,0.552906,NS
KYAT1,-0.3269,1.6818,0.281975,0.447459,NS
PFKFB1,0.3577,1.5341,0.282658,0.459417,NS
RPS21,0.2906,1.8861,0.283026,0.384224,NS
S100A6,0.5317,1.0308,0.283079,0.627953,NS
MYL12B,0.3328,1.6369,0.285239,0.447459,NS
DRG2,0.4599,1.178,0.2872,0.569647,NS
CORO1B,0.3248,1.6538,0.290259,0.447459,NS
SAE1,-0.3282,1.614,0.295295,0.447459,NS
ATP6V1G1,-0.2234,2.3708,0.295304,0.328276,NS
PLIN4,-0.2877,1.833,0.296865,0.39822,NS
MSN,0.2478,2.1157,0.299026,0.341558,NS
NGLY1,0.2799,1.8481,0.303893,0.396954,NS
RPS3A,0.2682,1.9188,0.305805,0.384224,NS
ATPAF2,-0.3245,1.5851,0.305952,0.447459,NS
ADK,0.2996,1.6901,0.311601,0.447459,NS
MVP,0.434,1.1645,0.312319,0.576037,NS
MMAB,-0.2853,1.766,0.313442,0.411563,NS
