gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
MYBPH,1.7207,3.0816,5e-6,0.158936,Up
FSCN1,0.6485,3.8473,0.0032,0.150961,Up
HPRT1,0.5572,4.0773,0.005349,0.150961,Up
MYLK,-0.7394,2.9498,0.006591,0.158936,Down
ANXA3,-0.5736,3.2227,0.014173,0.158936,Down
CAMK2D,0.5428,3.3503,0.015189,0.158936,Up
GLIPR2,0.6074,2.9709,0.015687,0.158936,Up
PCYT2,-0.4799,3.2674,0.027039,0.158936,Down
TBC1D24,-0.4739,3.2433,0.029046,0.158936,Down
ARHGAP1,0.4728,3.198,0.030761,0.158936,Up
SLC25A42,-0.7565,1.9934,0.031042,0.368958,Down
ADH1B,-0.6939,2.1152,0.034066,0.332452,Down
ALDH6A1,-0.5217,2.7755,0.035648,0.210603,Down
SYNGR2,-0.4795,3.0005,0.03641,0.158936,Down
ASS1,-0.6463,2.2139,0.037085,0.302293,Down
MUSTN1,0.7722,1.7788,0.042317,0.40171,Up
S100A13,0.6614,1.9909,0.048215,0.368958,Up
ARPC1B,0.4676,2.7732,0.050486,0.210603,NS
SYNE2,-0.43,2.988,0.051916,0.158936,NS
IQGAP1,0.4003,3.1669,0.053983,0.158936,NS
GPT2,-0.592,2.053,0.060907,0.354732,NS
MYLK2,-0.5514,2.1794,0.062855,0.302293,NS
MT2A,-0.5348,2.2413,0.063288,0.302293,NS
TLN2,-0.3625,3.1041,0.074952,0.158936,NS
CSRP3,0.5084,2.17,0.078825,0.302293,NS
MECP2,-0.4111,2.5565,0.08895,0.290768,NS
SERPINH1,0.8207,1.2383,0.096339,0.53596,NS
GSN,0.4735,2.1009,0.101214,0.336738,NS
SSPN,-0.3142,3.1274,0.104061,0.158936,NS
TSPAN8,-0.4464,2.1841,0.105943,0.302293,NS
RPS15,0.3738,2.5838,0.108179,0.290768,NS
ATL2,-0.4612,2.0697,0.11103,0.351399,NS
PHKA2,0.3587,2.5411,0.122632,0.290768,NS
GPX3,-0.4114,2.2147,0.122704,0.302293,NS
PRUNE1,-0.3554,2.5019,0.129041,0.290768,NS
RPL22,0.3841,2.2944,0.131427,0.302293,NS
TAGLN,0.5879,1.4595,0.13867,0.485767,NS
THBS4,0.4768,1.768,0.143573,0.405787,NS
RPL37A,0.4403,1.9117,0.14398,0.373865,NS
HAT1,0.7992,1.0522,0.144243,0.61419,NS
ABHD16A,-0.4649,1.8076,0.144411,0.397878,NS
TPPP,-0.4113,2.0337,0.145716,0.363935,NS
NFU1,-0.3487,2.3814,0.147753,0.302293,NS
SH3BGRL,0.4554,1.8012,0.151274,0.397878,NS
RPL24,0.3757,2.1773,0.152057,0.302293,NS
PREX1,0.4448,1.8326,0.153024,0.395116,NS
LCP1,0.3247,2.5045,0.153721,0.290768,NS
TMPO,-0.4115,1.9557,0.156765,0.373865,NS
SLC27A1,-0.3523,2.2759,0.157857,0.302293,NS
VCAN,-0.3132,2.5541,0.158539,0.290768,NS
RPL18,0.4535,1.7457,0.161536,0.407325,NS
PEBP4,-0.4403,1.753,0.169072,0.407325,NS
NAE1,-0.3245,2.3567,0.17192,0.302293,NS
UBE2D1,-0.3069,2.4565,0.176229,0.302293,NS
CACNG1,-0.4171,1.7917,0.178953,0.39901,NS
HSPB1,0.3896,1.8794,0.185261,0.373865,NS
ART3,-0.4314,1.6604,0.192178,0.442883,NS
RPS6,0.3003,2.3641,0.195016,0.302293,NS
GNAS,-0.3092,2.2931,0.195403,0.302293,NS
