gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
GPT2,-2.4593,2.4565,1e-6,0.510129,Down
XIRP1,1.3477,3.7689,8e-6,0.121504,Up
SSU72,0.9504,4.9735,1.9e-5,0.022598,Up
NECTIN1,-2.8798,1.571,3e-5,0.639482,Down
FLT1,1.7058,2.0592,3.07e-4,0.604397,Up
PREX1,1.0334,3.3092,3.8e-4,0.2251,Up
COPS7B,-1.2821,2.5068,6.11e-4,0.510129,Down
PLEKHF1,0.8533,3.7659,6.12e-4,0.121504,Up
SLC25A46,-0.9301,3.2762,8.97e-4,0.2251,Down
COL3A1,1.4791,2.0513,9.25e-4,0.604397,Up
CTSG,2.197,1.3156,0.001287,0.661092,Up
IFT81,1.376,2.0522,0.0015,0.604397,Up
COL4A1,1.3179,1.9714,0.002523,0.604397,Up
TOMM22,0.9119,2.7903,0.002855,0.510129,Up
CCDC137,1.4193,1.6846,0.004064,0.639482,Up
RPA2,0.9834,2.3708,0.004663,0.565824,Up
CAV2,1.3093,1.6333,0.007269,0.639482,Up
MSRB3,1.1918,1.7598,0.00799,0.639482,Up
MYL2,1.0692,1.8942,0.009435,0.639482,Up
UTP15,1.2415,1.6018,0.010264,0.639482,Up
CHDH,0.8512,2.2313,0.012611,0.604397,Up
DCTN5,-0.6813,2.6812,0.014906,0.510129,Down
NDUFA6,0.6395,2.4855,0.025736,0.510129,Up
ACTN2,1.2835,1.1775,0.030806,0.715825,Up
CAPRIN1,0.8478,1.7824,0.030816,0.639482,Up
UBN2,1.132,1.3265,0.031511,0.661092,Up
NID1,0.8634,1.7024,0.033896,0.639482,Up
COL1A1,1.1063,1.3142,0.035167,0.661092,Up
CILP,1.0406,1.3903,0.035747,0.648533,Up
DHRS11,0.7757,1.8627,0.035907,0.639482,Up
LAMC1,0.8305,1.681,0.040183,0.639482,Up
TES,0.9645,1.4453,0.040366,0.640834,Up
COL4A2,0.9355,1.4883,0.040516,0.639482,Up
RPL24,0.5648,2.4438,0.041667,0.510129,Up
ACTN4,1.091,1.1907,0.050222,0.711058,NS
MT-CO1,0.7201,1.7854,0.051803,0.639482,NS
FTH1,0.7974,1.6009,0.052891,0.639482,NS
UBE2B,0.6547,1.9347,0.054117,0.617719,NS
COL1A2,1.1489,1.0965,0.054985,0.728864,NS
