gene,uniprot_id,set,t_source,t_training_old,logFC_Training_Young,logFC_Training_Old,pi_score_Training_Young
CARNS1,A5YM72,ty_up,3.733544631325453,2.139145025854761,0.7762059443564908,0.45218153853566534,0.0025772311745655
HSPB6,O14558,ty_up,3.860092634499818,1.675301574517518,0.623521234202407,0.27705007668680537,0.00599212463938103
CALU,O43852,ty_up,3.763680671959916,2.889948824858687,0.3904910854521724,0.30697306064274343,0.04588832913902589
GLRX3,O76003,ty_up,4.981444605893807,1.940656063607955,0.5406449651025653,0.2156339746614897,0.00141070927441336
F13A1,P00488,ty_up,2.7348262532888694,0.6899429235600697,0.7348993160844088,0.1245135528319672,0.03094044581660466
HPRT1,P00492,ty_up,3.4841272124712908,4.211610968979186,0.5111410405961152,0.556196949731639,0.02876320048545317
ANXA1,P04083,ty_up,3.0223261959789687,1.2176234290724524,0.5779875863254738,0.23839762724453095,0.03895087702437101
HSPB1,P04792,ty_up,3.5649491711362233,2.4336735825353606,0.5389298470756785,0.37666301565411686,0.0200502138750984
S100A6,P06703,ty_up,3.737438134630256,1.7074660933149872,1.175559541920023,0.5322806257442068,1.0622915113047554e-4
UCHL1,P09936,ty_up,3.8513441467219542,0.5429118424572345,0.8560695030198389,0.1235485833194474,9.107939060604832e-4
EZR,P15311,ty_up,3.4365397640059423,1.026803666763385,0.6416862494788944,0.19648675425500528,0.01244968283389836
CBR1,P16152,ty_up,4.017857304697703,2.2930087507620076,0.4026244736209677,0.2352464782271042,0.02972258362462334
CAPN2,P17655,ty_up,3.984643566453874,2.258562043822372,0.3494603207315343,0.2027926331901,0.04916092575124155
MSN,P26038,ty_up,5.39120431822591,2.7594642831096543,0.473425956401492,0.24808631490383348,0.00154451475019621
S100A4,P26447,ty_up,4.639999091618187,1.9502702847144515,1.017706353954921,0.4379365080114077,1.5255824032996734e-5
TARS1,P26639,ty_up,3.455828338595677,1.3808019092689876,0.44322991477174867,0.15325136709577336,0.04935956370958361
VARS1,P26640,ty_up,5.389064018940942,1.5412211455034812,0.5263279611951468,0.15410609495970462,7.525096391294435e-4
ALDH1B1,P30837,ty_up,4.784855778769091,1.619845831421955,1.2103044408873735,0.40621689420531126,1.0551185890570318e-6
S100A11,P31949,ty_up,3.532397376203465,1.2507067532544858,0.5486784531789048,0.1921397344406479,0.01996977857490997
CCT6A,P40227,ty_up,4.655610794253152,1.936438496311356,0.3902880273057754,0.166197324133865,0.01391092669973414
AKR1C3,P42330,ty_up,3.5513305496398564,0.36198113704495744,0.6502354757780431,0.06785428205650135,0.00919586578191578
SERPINH1,P50454,ty_up,2.6597489342338965,1.692483981692096,0.9080522213170532,0.8145363529689149,0.02070625787205663
ABCE1,P61221,ty_up,3.755921729116674,1.5675255790572038,0.4521721177815472,0.19320289917584432,0.02852731989903734
RPS11,P62280,ty_up,4.981856660892814,1.9175060807992663,0.4939134657426116,0.19167117574542655,0.0025206308535628
DYNLT1,P63172,ty_up,4.636250106483204,2.8876639995921884,0.43383159436647745,0.25369598668916993,0.00936752333385777
PSME1,Q06323,ty_up,4.476954467569393,1.355284438316077,0.37373481383123774,0.11583054131338244,0.02115772751001433
