pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label,ID,p.adjust,GeneRatio,geneID
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,2.270961091068762e-10,3.3928158700567305e-7,1.8564845292955892,72,126,,GO:BP,3.2469775474956823,Reversed (Aging Up / Training Down),Small Molecule Catabolic Process,GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,3.3928158700567305e-7,72/651,AASDHPPT/ACAA1/ACAA2/ACADS/ACADSB/ACADVL/ACAT1/ACSS1/ACSS2/ADH5/ADHFE1/ADIPOQ/AKR1A1/ALDH1L1/ALDH2/ALDH4A1/ALDH5A1/ALDH6A1/APOE/BCAT2/BCL2L13/CPT1B/CPT2/CRAT/DBT/DCXR/DLD/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FAH/GALK1/GCDH/GCSH/GLUL/GNPDA1/GOT1/GPD2/GPT/GPT2/GSK3A/HADH/HADHA/HADHB/HAGH/HSD17B10/IVD/LDHD/MCCC1/MCCC2/MCEE/MLYCD/MPST/MTAP/NUDT3/OXCT1/PARK7/PCCA/PDXP/PGAM2/PGM1/PLIN5/RIDA/SHMT1/SULT1A1/TIGAR/TKFC/TST
GOBP_LIPID_OXIDATION,1.215639680941284e-7,4.993804316776314e-5,2.370780919168016,27,37,,GO:BP,6.2913461538461535,Reversed (Aging Up / Training Down),Lipid Oxidation,GOBP_LIPID_OXIDATION,4.993804316776314e-5,27/651,ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADH5/ADIPOQ/APOD/CPT1B/CPT2/CRAT/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FABP3/GCDH/HADH/HADHA/HADHB/HSD17B10/IVD/MLYCD/PLIN5
GOBP_LIPID_CATABOLIC_PROCESS,1.3370292682132032e-7,4.993804316776314e-5,2.057603686635945,38,60,,GO:BP,4.063176627613822,Reversed (Aging Up / Training Down),Lipid Catabolic Process,GOBP_LIPID_CATABOLIC_PROCESS,4.993804316776314e-5,38/651,ABHD16A/ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADIPOQ/APOC2/APOE/ASAH1/BCO2/CPT1B/CPT2/CRAT/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/GCDH/HADH/HADHA/HADHB/HSD17B10/IAH1/IDH1/IVD/MCEE/MLYCD/OXCT1/PAFAH1B3/PCCA/PLIN5/PRDX6/RAB7A/SCARB2
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,1.1948096305219616e-6,2.550065125714015e-4,2.1188138649569224,30,46,,GO:BP,4.371980676328502,Reversed (Aging Up / Training Down),Monocarboxylic Acid Catabolic Process,GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,2.550065125714015e-4,30/651,ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADIPOQ/AKR1A1/CPT1B/CPT2/CRAT/DCXR/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FAH/GCDH/HADH/HADHA/HADHB/HSD17B10/IVD/LDHD/MCEE/MLYCD/PCCA/PLIN5
GOBP_FATTY_ACID_METABOLIC_PROCESS,3.2907213828264614e-6,5.462597495491926e-4,1.6869018078695497,54,104,,GO:BP,2.5579899497487437,Reversed (Aging Up / Training Down),Fatty Acid Metabolic Process,GOBP_FATTY_ACID_METABOLIC_PROCESS,5.462597495491926e-4,54/651,ACAA1/ACAA2/ACAD9/ACADS/ACADSB/ACADVL/ACAT1/ACOT2/ACSF2/ACSL1/ACSS1/ACSS2/ADH5/ADIPOQ/AKR1B1/ALDH3A2/APOC2/ASAH1/C3/CAV1/CBR4/CPT1B/CPT2/CRAT/DBI/ECH1/ECHDC2/ECHDC3/ECI1/ECI2/ETFA/ETFB/ETFDH/FABP3/FABP5/GCDH/GPX1/GSTP1/HADH/HADHA/HADHB/HSD17B10/HSD17B8/IVD/MCEE/MECR/MLYCD/PCCA/PDK1/PLAA/PLIN5/PTGES3/SLC27A1/UBR4
HALLMARK_XENOBIOTIC_METABOLISM,7.954011342283577e-6,0.0011311538647249069,1.9044970602256475,34,58,,Hallmark,3.306320907617504,Reversed (Aging Up / Training Down),Xenobiotic Metabolism,HALLMARK_XENOBIOTIC_METABOLISM,0.0011311538647249069,34/651,ACO2/ADH5/AHCY/ALDH2/ALDH9A1/APOE/ATP2A2/BLVRB/CA2/CAT/CNDP2/CYB5A/DCXR/DDAH2/ECH1/EPHA2/ETFDH/FAH/FBLN1/FBP1/GSS/GSTO1/IDH1/KARS1/LONP1/MAOA/MCCC2/MT2A/MTHFD1/PGD/PGRMC1/PTGES3/RBP4/TKFC
HALLMARK_ADIPOGENESIS,8.328442109755004e-6,0.0011311538647249069,1.6393269352724815,55,109,,Hallmark,2.4095824011931395,Reversed (Aging Up / Training Down),Adipogenesis,HALLMARK_ADIPOGENESIS,0.0011311538647249069,55/651,ACAA2/ACADS/ACO2/ADIPOQ/AK2/ALDH2/ALDOA/APOE/ARAF/BCL2L13/C3/CAT/CAVIN1/CAVIN2/CMBL/COQ3/COQ5/COQ9/COX7B/CPT2/CRAT/CS/DBT/DLD/ECH1/ETFB/FABP4/FAH/GPD2/GPHN/GPX3/HADH/IDH1/IMMT/ITGA7/MCCC1/NDUFA5/NDUFB7/NDUFS3/ORM1/PGM1/PLIN2/PPM1B/PREB/SAMM50/SDHB/SLC27A1/SOD1/STOM/SUCLG1/SULT1A1/TALDO1/TST/UBQLN1/YWHAG
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,5.403020105616657e-5,0.006726760031492738,1.6861109490754242,41,79,,GO:BP,2.522260569456428,Reversed (Aging Up / Training Down),Sulfur Compound Metabolic Process,GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,0.006726760031492738,41/651,ABHD14B/ACAT1/ACOT2/ACSF2/ACSL1/ACSS1/ACSS2/AHCY/AKR1A1/ARL6IP5/BPNT1/CBR4/DLD/GCDH/GLO1/GPC1/GPX1/GSS/GSTO1/GSTP1/HAGH/IDH1/MAT2B/MCCC1/MCCC2/MCEE/MLYCD/MPST/MTHFD1/OGDH/OPLAH/PANK4/PDK1/SOD1/SOD2/STAT5B/SUCLG1/SUCLG2/SULT1A1/SUOX/TST
GOBP_KETONE_METABOLIC_PROCESS,1.3311031457390127e-4,0.01420477214095775,1.8118574973413681,29,52,,GO:BP,2.9210820634698726,Reversed (Aging Up / Training Down),Ketone Metabolic Process,GOBP_KETONE_METABOLIC_PROCESS,0.01420477214095775,29/651,ACADVL/ADIPOQ/AKR1A1/AKR1B1/AKR7A2/APOC2/CAV1/CBR4/COQ3/COQ5/COQ6/COQ7/COQ8A/COQ9/FABP3/FABP5/GLO1/H6PD/HAGH/HSD17B10/MLYCD/OXCT1/PARK7/PDK1/PLAA/PLIN5/RTN4IP1/STAT5B/UBR4
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,1.3311031457390127e-4,0.01420477214095775,1.8118574973413681,29,52,,GO:BP,2.9210820634698726,Reversed (Aging Up / Training Down),Modified Amino Acid Metabolic Process,GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,0.01420477214095775,29/651,AASDHPPT/ABHD16A/ALDH1L1/ALDH4A1/ALDH7A1/ALDH9A1/ARL6IP5/ASS1/CKB/CKM/CPT1B/CPT2/CRAT/GAMT/GLO1/GPX1/GSS/GSTO1/GSTP1/HAGH/IDH1/MTHFD1/OPLAH/PANK4/PARK7/SHMT1/SOD1/SOD2/SULT1A1
GOBP_GLYCEROLIPID_METABOLIC_PROCESS,1.5908128686478804e-4,0.015844496171732888,1.88886507341121,25,43,,GO:BP,3.208200212992545,Reversed (Aging Up / Training Down),Glycerolipid Metabolic Process,GOBP_GLYCEROLIPID_METABOLIC_PROCESS,0.015844496171732888,25/651,ABHD16A/ACSL1/APOC2/APOE/BPNT1/C3/CAT/CAV1/CDS2/DBI/FABP3/FABP5/GPX1/HADHA/MECP2/PCYT1A/PCYT2/PGP/PIP4K2A/PLIN5/PRDX6/SH3GLB1/SLC27A1/SLC44A2/TMX1
GOBP_ALCOHOL_METABOLIC_PROCESS,1.981183096663131e-4,0.018499297165091987,1.6460829493087556,38,75,,GO:BP,2.390811692606146,Reversed (Aging Up / Training Down),Alcohol Metabolic Process,GOBP_ALCOHOL_METABOLIC_PROCESS,0.018499297165091987,38/651,ACAA2/ACADVL/ACSS1/ACSS2/ADH1B/AGT/AKR1A1/AKR1B1/AKR7A2/ALDH1A1/ALDH2/ALDH3A2/APOE/ASAH1/CAT/CBR4/COQ3/CYB5R3/FDPS/FDX1/GALK1/GOT1/GPD2/H6PD/IDH1/IDI1/LSS/MECP2/NPC2/NUDT3/PARK7/PCBD1/PCBD2/PGP/RBP4/SPR/SULT1A1/TKFC
GOBP_TRIGLYCERIDE_METABOLIC_PROCESS,2.5134947717266975e-4,0.02208918346446874,2.707373271889401,10,12,,GO:BP,11.40405616224649,Reversed (Aging Up / Training Down),Triglyceride Metabolic Process,GOBP_TRIGLYCERIDE_METABOLIC_PROCESS,0.02208918346446874,10/651,ACSL1/APOC2/APOE/C3/CAT/CAV1/GPX1/PLIN5/SLC27A1/TMX1
GOBP_ALDEHYDE_METABOLIC_PROCESS,4.518756475839168e-4,0.037505678749465095,2.01652629906245,18,29,,GO:BP,3.7561395950021543,Reversed (Aging Up / Training Down),Aldehyde Metabolic Process,GOBP_ALDEHYDE_METABOLIC_PROCESS,0.037505678749465095,18/651,ADH5/AKR1A1/AKR7A2/ALDH1A1/ALDH2/ALDH3A2/ALDH7A1/ALDH9A1/BCO2/GLO1/HAGH/IDH1/PARK7/PDXP/PNPO/RBP4/TALDO1/TKFC
HALLMARK_FATTY_ACID_METABOLISM,5.229082967194835e-4,0.04111710501573202,1.5657098439842319,40,83,,Hallmark,2.1634377497811443,Reversed (Aging Up / Training Down),Fatty Acid Metabolism,HALLMARK_FATTY_ACID_METABOLISM,0.04111710501573202,40/651,ACAA1/ACAA2/ACADS/ACADVL/ACO2/ACOT2/ACSL1/ACSS1/ALDH1A1/ALDH3A2/ALDH9A1/ALDOA/CA2/CPT2/CRAT/DLD/ECH1/ECI1/ECI2/ETFDH/GCDH/GLUL/GPD2/HADH/HADHB/HSD17B10/HSDL2/IDH1/IDI1/LGALS1/MAOA/MCEE/MDH1/MLYCD/PCBD1/PRDX6/SDHA/SDHD/SUCLG1/SUCLG2
GOBP_AMINO_ACID_CATABOLIC_PROCESS,5.968036408729984e-4,0.04458123197321298,1.822524446442621,23,41,,GO:BP,2.942144373673036,Reversed (Aging Up / Training Down),Amino Acid Catabolic Process,GOBP_AMINO_ACID_CATABOLIC_PROCESS,0.04458123197321298,23/651,ACADSB/ACAT1/ADHFE1/ALDH4A1/ALDH5A1/ALDH6A1/BCAT2/DBT/DLD/ETFA/ETFB/FAH/GCSH/GLUL/GOT1/GPT/GPT2/HSD17B10/IVD/MCCC1/MCCC2/RIDA/SHMT1
GOBP_CYTOPLASMIC_TRANSLATION,2.2075057305125522e-23,3.298013561385753e-20,2.889130916340545,74,116,,GO:BP,7.20004846722404,Reversed (Aging Down / Training Up),Cytoplasmic Translation,GOBP_CYTOPLASMIC_TRANSLATION,3.298013561385753e-20,74/467,AKT2/DRG2/EEF1D/EEF2/EIF2B1/EIF2B3/EIF2S2/EIF3A/EIF3C/EIF3E/EIF3G/EIF3I/EIF3K/EIF3L/EIF3M/PKM/RACK1/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL17/RPL19/RPL22/RPL23/RPL23A/RPL24/RPL28/RPL29/RPL30/RPL31/RPL32/RPL35/RPL36/RPL37A/RPL38/RPL4/RPL5/RPL6/RPL7/RPL8/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS25/RPS26/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/SARS1/SH3BGRL/YBX1
GOBP_RIBOSOME_BIOGENESIS,1.4864415342617101e-8,1.1103718260934975e-5,2.542544798827905,32,57,,GO:BP,4.775724137931035,Reversed (Aging Down / Training Up),Ribosome Biogenesis,GOBP_RIBOSOME_BIOGENESIS,1.1103718260934975e-5,32/467,C1QBP/DDX3X/PA2G4/RPL11/RPL14/RPL24/RPL35/RPL38/RPL5/RPL7/RPLP0/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS21/RPS23/RPS25/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/SBDS/TRMT112
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,7.62008016931954e-8,3.696017798788826e-5,1.9863631240843007,50,114,,GO:BP,2.9676258992805757,Reversed (Aging Down / Training Up),Membraneless Organelle Assembly,GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,3.696017798788826e-5,50/467,ACTA1/ACTN2/C1QBP/CAPG/CAPN3/CAPRIN1/CASQ1/CSRP1/CSRP3/DDX3X/DYNC1H1/EIF2S1/EZR/FLNA/FLNC/FXR1/G3BP1/GSN/KLHL41/KRT19/LCP1/LMOD3/MAPRE1/MAPRE3/MAPT/MSN/MYBPC1/MYBPH/MYL9/NRAP/RPL11/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS23/RPS3/RPS5/RPS6/RPSA/SBDS/SQSTM1/TMOD4/TNNT3/TPM1/TUBB/UBAP2L/WDR1
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,1.7066019396469168e-7,5.0993265956649876e-5,3.0192719486081367,20,30,,GO:BP,7.328859060402684,Reversed (Aging Down / Training Up),Ribosomal Small Subunit Biogenesis,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,5.0993265956649876e-5,20/467,RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS21/RPS23/RPS25/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/TRMT112
GOBP_TRANSLATIONAL_ELONGATION,6.116016436307742e-5,0.011421660694804709,2.756726561772647,14,23,,GO:BP,5.628157959283787,Reversed (Aging Down / Training Up),Translational Elongation,GOBP_TRANSLATIONAL_ELONGATION,0.011421660694804709,14/467,DDRGK1/EEF1A1/EEF1A2/EEF1B2/EEF1D/EEF1G/EEF2/EEFSEC/GCN1/HBS1L/PELO/RACK1/RPLP2/SARS1
