pathway,pathway_label,database,NES_Aging,NES_Training_Old,padj_Aging,padj_Training_Old,significance,set_size
GOSLIM_VITAMIN_METABOLIC_PROCESS,Vitamin Metabolic Process,GO Slim,1.265,-1.634,0.4702,0.06502,NS,15
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Hallmark,1.695,-1.191,0.08383,0.4764,NS,15
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,1.554,1.304,0.1206,0.4141,NS,16
HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,Hallmark,1.46,-1.388,0.1206,0.3148,NS,33
HALLMARK_COAGULATION,Coagulation,Hallmark,1.478,1.334,0.1206,0.3891,NS,29
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,1.329,-1.422,0.2951,0.3148,NS,21
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,-1.161,1.504,0.4217,0.1843,NS,40
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,1.492,-1.172,0.09046,0.4489,NS,58
GOSLIM_DNA_RECOMBINATION,DNA Recombination,GO Slim,1.535,-1.032,0.1058,0.6395,NS,35
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,-1.223,1.284,0.3879,0.4141,NS,27
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,1.516,-0.975,0.09046,0.6939,NS,35
GOSLIM_RENAL_SYSTEM_PROCESS,Renal System Process,GO Slim,1.272,-1.207,0.4689,0.4474,NS,17
GOSLIM_CYTOKINESIS,Cytokinesis,GO Slim,1.152,1.306,0.4996,0.2456,NS,39
HALLMARK_HYPOXIA,Hypoxia,Hallmark,-1.121,1.335,0.4478,0.3148,NS,56
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,1.199,-1.245,0.4132,0.4323,NS,22
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,-1.213,1.202,0.3126,0.4141,NS,86
GOSLIM_TELOMERE_ORGANIZATION,Telomere Organization,GO Slim,0.83,1.57,0.8733,0.0637,NS,32
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Hallmark,0.931,-1.41,0.776,0.3148,NS,27
HALLMARK_COMPLEMENT,Complement,Hallmark,1.543,0.789,0.0843,0.8701,NS,42
