pathway,NES_Aging,NES_Training_Old,sig_Aging,sig_Training_Old,pattern
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,2.7187816999802012,-1.9804600898582767,TRUE,TRUE,Reversed
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,1.8966915743801283,-1.8700977676601458,TRUE,TRUE,Reversed
HALLMARK_ADIPOGENESIS,1.8451996922035696,-1.7113700588780696,TRUE,TRUE,Reversed
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,1.7226341654366204,-1.889992518201177,TRUE,TRUE,Reversed
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,1.6322858740086132,-1.8611907661880778,TRUE,TRUE,Reversed
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,-2.4656636614148506,2.0833426734121057,TRUE,TRUE,Reversed
REACTOME_TRANSLATION,-2.6770472566521453,2.3917402680011177,TRUE,TRUE,Reversed
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-2.9645607812958046,2.8061935536492197,TRUE,TRUE,Reversed
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,2.59851811104087,-1.6387137839882078,TRUE,FALSE,Aging only
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,2.4345979475504222,-1.4665821474026048,TRUE,FALSE,Aging only
REACTOME_FATTY_ACID_METABOLISM,2.4239218146144936,-1.3558059992373246,TRUE,FALSE,Aging only
GOBP_FATTY_ACID_METABOLIC_PROCESS,2.4158406489746644,-1.5029677374542145,TRUE,FALSE,Aging only
HALLMARK_FATTY_ACID_METABOLISM,2.161752999625845,-1.1942307424781504,TRUE,FALSE,Aging only
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,2.1417824681867708,1.3989165862440844,TRUE,FALSE,Aging only
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,2.027037807474976,1.128588567455099,TRUE,FALSE,Aging only
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.9674111500362532,-0.6203813686283892,TRUE,FALSE,Aging only
GOBP_MITOCHONDRIAL_TRANSPORT,1.9525175120973137,-0.7014839516963808,TRUE,FALSE,Aging only
GOBP_FATTY_ACID_TRANSPORT,1.9253540950230206,-1.563688125939104,TRUE,FALSE,Aging only
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,1.9040031779036604,-1.1358551063711593,TRUE,FALSE,Aging only
GOBP_REGULATION_OF_LIPID_LOCALIZATION,1.9007277019967341,-1.2596293555959306,TRUE,FALSE,Aging only
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,1.8432817674185225,-1.4251437305482701,TRUE,FALSE,Aging only
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,1.8352959782515206,0.985754852332378,TRUE,FALSE,Aging only
GOBP_KETONE_METABOLIC_PROCESS,1.8145307384128557,-1.7159762977342787,TRUE,FALSE,Aging only
GOBP_RESPONSE_TO_INSULIN,1.7946444104063004,-1.1742689975917537,TRUE,FALSE,Aging only
REACTOME_PROTEIN_LOCALIZATION,1.7866701197176735,0.8322754376736262,TRUE,FALSE,Aging only
GOBP_NADP_METABOLIC_PROCESS,1.7835044659839219,-1.8403648089237479,TRUE,FALSE,Aging only
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,1.759959618704793,-1.6438191697087068,TRUE,FALSE,Aging only
GOBP_REGULATION_OF_HEMOPOIESIS,1.7575551994128251,-1.32667135533011,TRUE,FALSE,Aging only
HALLMARK_HEME_METABOLISM,1.7384430594102824,-1.1253650384542297,TRUE,FALSE,Aging only
GOBP_FAT_CELL_DIFFERENTIATION,1.7217051554656821,-1.2093406714082378,TRUE,FALSE,Aging only
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,1.6991109481725086,1.1172726762896064,TRUE,FALSE,Aging only
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,1.5913212137816248,-0.7287202066822538,TRUE,FALSE,Aging only
GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,1.5590907477884084,-1.3054525256041065,TRUE,FALSE,Aging only
REACTOME_COMPLEX_I_BIOGENESIS,-1.6533974107194838,0.9129108077124801,TRUE,FALSE,Aging only
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,-1.752710689816212,1.8153666479480115,TRUE,FALSE,Aging only
REACTOME_GLYCOGEN_METABOLISM,-1.7800480129858187,1.6803138984698107,TRUE,FALSE,Aging only
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,-1.913629440465986,-1.1403793253412309,TRUE,FALSE,Aging only
GOBP_MUSCLE_SYSTEM_PROCESS,-2.0874658395454415,0.9143650072984346,TRUE,FALSE,Aging only
GOBP_MUSCLE_ORGAN_DEVELOPMENT,-2.1882951493484017,-1.134921609228957,TRUE,FALSE,Aging only
REACTOME_STRIATED_MUSCLE_CONTRACTION,-2.275451457092378,1.3948501909676005,TRUE,FALSE,Aging only
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,-2.382999714562607,1.561459320567096,TRUE,FALSE,Aging only
GOBP_SARCOMERE_ORGANIZATION,-2.4724755754526506,1.2667064138020685,TRUE,FALSE,Aging only
GOBP_MUSCLE_CELL_DEVELOPMENT,-2.5949741459752915,-1.1454848447785246,TRUE,FALSE,Aging only
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-2.919497580567631,2.8117619347332727,TRUE,FALSE,Aging only
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,-2.9936083402326736,2.6064481313737073,TRUE,FALSE,Aging only
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,-3.0720963434247595,2.5927818026948706,TRUE,FALSE,Aging only
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,-2.439047755191621,2.6863075793300406,FALSE,TRUE,Training (Old) only
GOBP_CYTOPLASMIC_TRANSLATION,-2.8822842591421503,2.601366144146742,FALSE,TRUE,Training (Old) only
REACTOME_CILIUM_ASSEMBLY,-0.8860972539323604,2.2469722421927223,FALSE,TRUE,Training (Old) only
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.9818044488528187,2.0057526475557967,FALSE,TRUE,Training (Old) only
HALLMARK_MITOTIC_SPINDLE,-1.5607102434182347,1.9568918763532128,FALSE,TRUE,Training (Old) only
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,-1.6902019083664979,1.9197873130329748,FALSE,TRUE,Training (Old) only
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,-0.6963897668969875,1.901526461245369,FALSE,TRUE,Training (Old) only
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,-0.8942031743711413,1.8904747269260722,FALSE,TRUE,Training (Old) only
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,1.1601321120143333,1.8493997825841133,FALSE,TRUE,Training (Old) only
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,-0.7652663300258093,1.8433585289073597,FALSE,TRUE,Training (Old) only
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,-1.355509772858238,1.8397305167986522,FALSE,TRUE,Training (Old) only
GOBP_ACTIN_FILAMENT_ORGANIZATION,-1.6673043285123172,1.7678328344119083,FALSE,TRUE,Training (Old) only
GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,-0.9786052575930297,1.7367087685236056,FALSE,TRUE,Training (Old) only
HALLMARK_MYC_TARGETS_V1,-1.3092273671961807,1.6925483691622978,FALSE,TRUE,Training (Old) only
REACTOME_RHO_GTPASE_EFFECTORS,0.9784344916907146,1.6682102701692436,FALSE,TRUE,Training (Old) only
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE,1.5558429356023338,-1.691933762719395,FALSE,TRUE,Training (Old) only
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,1.0740315243075063,-1.7011256196067421,FALSE,TRUE,Training (Old) only
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,-0.7640140758223707,-1.7426675222208923,FALSE,TRUE,Training (Old) only
GOBP_RESPONSE_TO_CARBOHYDRATE,0.9524149530687442,-1.805960063377032,FALSE,TRUE,Training (Old) only
REACTOME_BIOLOGICAL_OXIDATIONS,1.3321106882341778,-1.840452963221271,FALSE,TRUE,Training (Old) only
GOBP_LIPID_CATABOLIC_PROCESS,2.494479166174289,-1.8429987633634874,FALSE,TRUE,Training (Old) only
GOBP_PROTEIN_LOCALIZATION_TO_VACUOLE,0.8888650799848578,-1.8840407518610744,FALSE,TRUE,Training (Old) only
GOBP_GLYCEROLIPID_METABOLIC_PROCESS,1.7032566852280435,-1.9066942609213382,FALSE,TRUE,Training (Old) only
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,1.87437879183585,-1.9092901951171206,FALSE,TRUE,Training (Old) only
GOBP_PROTEIN_POLYUBIQUITINATION,1.2372527204561388,-1.9202100798465982,FALSE,TRUE,Training (Old) only
GOBP_LIPID_OXIDATION,2.6362510493899776,-1.9333961896041323,FALSE,TRUE,Training (Old) only
GOBP_ORGAN_GROWTH,1.038145009147813,-1.9602496977563642,FALSE,TRUE,Training (Old) only
GOBP_SYNAPSE_ASSEMBLY,-1.056537235708729,-1.9859699183249084,FALSE,TRUE,Training (Old) only
REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,-1.6411744498506868,-2.0319153555317957,FALSE,TRUE,Training (Old) only
