"gene","cv_pre","cv_post","delta_cv","age"
"MMP24OS",21.6012301696414,44.5380245692515,22.9367943996101,"Young"
"ESYT2",22.5257707185052,33.1107397068824,10.5849689883772,"Young"
"ILVBL",24.9978106396394,30.9472926628875,5.94948202324818,"Young"
"FSD2",26.6043503233784,24.3353203140092,-2.26903000936918,"Young"
"TARS3",49.1548007459753,21.3576970415783,-27.7971037043969,"Young"
"VWA8",28.344429835015,27.2764542468375,-1.06797558817746,"Young"
"CARNS1",43.248382983369,44.1871158543103,0.938732870941301,"Young"
"MAP1LC3B2",35.3387302421975,3.5689136741119,-31.7698165680856,"Young"
"PGP",19.2302029433333,12.2936588503893,-6.93654409294401,"Young"
"DHRS7C",31.5299291777738,30.2258593229784,-1.30406985479537,"Young"
"SMTNL1",31.4972757973567,37.7277235341951,6.23044773683844,"Young"
"NUDT19",52.9077769632808,47.1215073164619,-5.78626964681897,"Young"
"NACA",13.6796382218958,21.9174779383882,8.23783971649233,"Young"
"SLC35A4",26.7181294334978,27.8169640034618,1.09883456996405,"Young"
"PDLIM1",34.900745153896,43.3248112911146,8.42406613721853,"Young"
"MYO1C",24.2152966740473,45.9996969604792,21.7844002864319,"Young"
"FXYD1",33.5050376956142,43.8778940733794,10.3728563777652,"Young"
"STXBP3",9.13503180295769,29.9699541481447,20.8349223451871,"Young"
"NDUFS8",25.3348252662608,41.8809851999066,16.5461599336458,"Young"
"PSMD11",10.4339073049475,12.931591969531,2.49768466458353,"Young"
"PSMD12",19.4560955044202,18.9792680411838,-0.476827463236365,"Young"
"PSMD9",20.9833946176855,20.240797743604,-0.742596874081507,"Young"
"PGRMC1",57.4244721626706,39.2356038630551,-18.1888682996155,"Young"
"CLIC1",24.1794107681491,34.59327104996,10.4138602818109,"Young"
"EIF3F",15.9233905489999,19.9725851024257,4.04919455342577,"Young"
"PDHX",12.3257914027435,13.2121508184171,0.886359415673553,"Young"
"DCTN6",18.235633939385,29.7388311423284,11.5031972029434,"Young"
"IPO5",12.3042303073055,11.3759152947324,-0.928315012573087,"Young"
"EEF2K",19.9549148580553,35.6679611960193,15.7130463379641,"Young"
"EML1",15.1082145690561,20.6664253711545,5.55821080209842,"Young"
"DNM1L",16.8200714083435,18.0562375721819,1.23616616383839,"Young"
"RTCA",21.2786269823523,18.2218918882472,-3.05673509410505,"Young"
"NDUFA4",22.4876136185796,21.448585356691,-1.03902826188863,"Young"
"PSMD14",15.9674829361286,14.4626653771974,-1.5048175589312,"Young"
"BIN1",8.35170767951535,12.8664646748431,4.51475699532777,"Young"
"KPNA3",35.8610860695193,28.870256763732,-6.99082930578725,"Young"
"DDX3X",25.7207304244407,18.9319956390568,-6.78873478538386,"Young"
"KPNA4",13.5081057762128,16.0613758668043,2.5532700905915,"Young"
"CES2",27.1994222228834,45.1686465175776,17.9692242946943,"Young"
"FBP2",38.8136277802632,33.6065322332848,-5.2070955469784,"Young"
"PDXK",20.8262073459592,13.5680082947955,-7.25819905116367,"Young"
"SDHD",25.1853150659119,26.9152224235747,1.72990735766281,"Young"
"COX7A2L",20.0968274943393,37.4440554339303,17.3472279395909,"Young"
"GAPDHS",75.2425500978287,78.5723813361873,3.32983123835864,"Young"
"HSPB6",40.4455101086803,37.1562338476078,-3.28927626107251,"Young"
"NDUFAB1",50.0388392239497,24.092680429106,-25.9461587948437,"Young"
"IMPA2",25.3637678861579,31.0148363246757,5.6510684385178,"Young"
"PDCD5",15.352883580287,18.3403498790299,2.98746629874285,"Young"
"PRMT5",19.7385838708887,15.6142396137384,-4.12434425715027,"Young"
"PSMA7",8.29082582433139,12.5808295340092,4.29000370967784,"Young"
"OPLAH",15.2399570577163,28.2694257428142,13.0294686850979,"Young"
"MGST3",20.5986830549755,32.2067357987129,11.6080527437373,"Young"
"RGS12",40.8021745630374,42.9367516899194,2.13457712688196,"Young"
"HAT1",84.5241919173379,73.9391785447893,-10.5850133725486,"Young"
"UQCRQ",11.3215074250969,20.3049107708777,8.98340334578073,"Young"
"MYL12B",31.5304690337505,33.2374904339702,1.70702140021973,"Young"
"UQCR11",46.9358465984547,24.627042713005,-22.3088038854497,"Young"
"CASQ2",35.5812350029693,37.0783507018841,1.49711569891488,"Young"
"HGS",26.8462948992085,26.2452814134685,-0.601013485740019,"Young"
"HNRNPDL",42.3694755268388,48.2139419721055,5.84446644526668,"Young"
"XPO1",11.6557511904048,17.426807562686,5.77105637228119,"Young"
"ATP2A1",24.3053587222176,30.080117465414,5.77475874319643,"Young"
"SYNJ2",68.3297540496677,50.1284052622158,-18.2013487874519,"Young"
"SYNM",46.8151221709455,49.6719061069511,2.85678393600567,"Young"
"ARPC1B",37.5934115487307,28.1561002934061,-9.43731125532458,"Young"
"PGRMC2",29.1729354339158,26.1882947337939,-2.98464070012189,"Young"
"PFDN6",20.8488730251775,19.0210700223639,-1.82780300281356,"Young"
