"subject","age","subj_num","median_lfc","mad_lfc","sd_lfc","iqr_lfc","q25","q75","n_proteins"
"Y_S34","Young","S34",-0.0639968328237401,0.478755885473859,0.620082255885272,0.648316500862705,-0.380983941577608,0.267332559285097,2124
"Y_S10","Young","S10",-0.0568509528694179,0.477788690480341,0.628373395781558,0.641529592350469,-0.360224778605472,0.281304813744997,2124
"Y_S31","Young","S31",-0.0490627925865201,0.54952979985747,0.673229000673037,0.740358916159811,-0.408629046481774,0.331729869678037,2124
"Y_S11","Young","S11",-0.0482993655855211,0.553338057868558,0.734927571842717,0.74242338578238,-0.400141031287195,0.342282354495186,2124
"Y_S40","Young","S40",-0.0453024301396372,0.537710262108756,0.629811183426123,0.727506580188854,-0.400286840624022,0.327219739564832,2124
"Y_S07","Young","S07",-0.0445632774583888,0.41178933753647,0.515682033978638,0.555670003048166,-0.321148013206919,0.234521989841247,2124
"YP_S45","Young","S45",-0.0139925056149401,0.314496463527707,0.468195160559622,0.425596960024421,-0.232984563026878,0.192612396997544,2124
"Y_S36","Young","S36",-0.00309315923079723,0.31368527858406,0.393940428348108,0.425081103605071,-0.220873458271782,0.204207645333288,2124
"Y_S01","Young","S01",-0.000131345845053588,0.441361844995681,0.50997685336977,0.600518217811071,-0.310252923656031,0.29026529415504,2124
"YP_S56","Young","S56",0.00147858264298861,0.475600339433667,0.597383628805464,0.64951063137608,-0.344900230958712,0.304610400417368,2124
"YP_S14","Young","S14",0.00222042324294769,0.475449216877035,0.764943122318627,0.652663172039148,-0.358755764024577,0.29390740801457,2124
"Y_S35","Young","S35",0.00223224570611968,0.4096647390065,0.574380081406046,0.550448966256343,-0.288761974421147,0.261686991835195,2124
"Y_S32","Young","S32",0.00833647515323932,0.357146452055767,0.455875318108546,0.490702369436679,-0.258244408752145,0.232457960684534,2124
"Y_S16","Young","S16",0.00956004148463308,0.255880711154131,0.36394067882149,0.344657691811184,-0.162347470003207,0.182310221807977,2124
"Y_S28","Young","S28",0.0205705056742378,0.376596288981554,0.498893096108197,0.511298320818672,-0.250347522677019,0.260950798141653,2124
"Y_S30","Young","S30",0.0282841775039451,0.397909252495095,0.547425062371526,0.546054107068348,-0.273876465631569,0.272177641436778,2124
"O_S07","Old","S07",-0.0504765766130948,0.51972425265009,0.584602568103729,0.731154655319354,-0.341797388550439,0.389357266768915,2124
"O_S05","Old","S05",-0.0502065593669929,0.507812685475695,0.636026955487612,0.684574949498428,-0.357559324061896,0.327015625436532,2124
"O_S17","Old","S17",-0.0166884186629837,0.33327567888912,0.405363438447177,0.449972423185296,-0.239939773423866,0.21003264976143,2124
"O_S16","Old","S16",-0.00885937364193801,0.298370531294618,0.421472175470982,0.398292324470725,-0.199688898316432,0.198603426154293,2124
"O_S06","Old","S06",-0.00425092419409445,0.59030495479869,0.66215470245966,0.796072941198347,-0.404841596543654,0.391231344654693,2124
"OP_S17","Old","S17",-0.00148183803875668,0.252073914146939,0.3546982364914,0.341202404585332,-0.168340846294487,0.172861558290846,2124
"OP_S12","Old","S12",0.0003862020613834,0.261800445703505,0.350958357470795,0.346483555284891,-0.158694429711017,0.187789125573874,2124
"O_S24","Old","S24",0.00520885224253931,0.460624055919174,0.618656400904206,0.630376605674781,-0.275670494696892,0.354706110977889,2124
"OP_S06","Old","S06",0.00521495420505858,0.409297776822928,0.601711312291519,0.553258977220066,-0.283206418561573,0.270052558658493,2124
"O_S35","Old","S35",0.00947008684186024,0.555848689642059,0.631648554966117,0.749899397536412,-0.392149205514799,0.357750192021613,2124
"OP_S11","Old","S11",0.0149628997014224,0.36542943448293,0.558749395895168,0.490810291879993,-0.235186342656743,0.255623949223251,2124
"O_S28","Old","S28",0.0159189310117149,0.361321162799663,0.459944683783628,0.494897348012423,-0.219624059129817,0.275273288882606,2124
"O_S10","Old","S10",0.0169808088330932,0.391054120718512,0.530676242974822,0.533162043471333,-0.255052971895759,0.278109071575574,2124
"O_S29","Old","S29",0.0184732373238994,0.564998668976411,0.668725773731357,0.761775035463879,-0.383616018736489,0.37815901672739,2124
"O_S32","Old","S32",0.0254228238874692,0.408136520640043,0.606663746953855,0.550147050738426,-0.258373974494337,0.291773076244089,2124
