me,outcome,group,r,p,ci_lo,ci_hi,n
MEblack,delta_VL,Young,-0.4063957145995133,0.13279236363516492,-0.7603647431463355,0.13370124497045904,15
MEblack,delta_VL,Old,-0.06093673366828549,0.8291969995320708,-0.555848421986462,0.46586848598294106,15
MEblack,delta_LBM,Young,0.14713003937244143,0.6007938074041066,-0.3948958062508871,0.6131781077378289,15
MEblack,delta_LBM,Old,0.08798699756734057,0.7551819923404501,-0.44430161751417224,0.574361930830555,15
MEblue,delta_VL,Young,0.0011944604673690964,0.9966291552999276,-0.5113812862776811,0.513143323434265,15
MEblue,delta_VL,Old,0.41963162597623105,0.11943820133089753,-0.11799579305915904,0.7670155178399245,15
MEblue,delta_LBM,Young,-0.5251278651048255,0.04442268517478721,-0.8174845177835669,-0.01759929228210113,15
MEblue,delta_LBM,Old,0.05684908864371958,0.8405142000790177,-0.4690739755408544,0.553007429485826,15
MEbrown,delta_VL,Young,-0.5255961975518736,0.044198984527300415,-0.8176989843695814,-0.018245957235964526,15
MEbrown,delta_VL,Old,0.137557444924291,0.6249310680525044,-0.40311083278245546,0.6070445498829778,15
MEbrown,delta_LBM,Young,0.3093448258417186,0.26188422070921735,-0.24112868213291003,0.7092204422858505,15
MEbrown,delta_LBM,Old,0.14522866490687622,0.6055585665399168,-0.39653445878573956,0.6119642743284898,15
MEgreen,delta_VL,Young,0.3220462700416307,0.241763325061637,-0.22779673367095774,0.7161621668068667,15
MEgreen,delta_VL,Old,-0.4130702583315574,0.12593719816439508,-0.7637278687853384,0.12581513724516388,15
MEgreen,delta_LBM,Young,-0.4184411337364774,0.12059986004064764,-0.7664203594351799,0.11941950047260144,15
MEgreen,delta_LBM,Old,0.09899883836021933,0.7255722195823824,-0.4353416735273861,0.581758704975436,15
MEmagenta,delta_VL,Young,0.4399458147441625,0.10078882007140468,-0.09335661231880199,0.7770798167263492,15
MEmagenta,delta_VL,Old,0.08126473030332412,0.7734170721449345,-0.449719440061575,0.569807129177269,15
MEmagenta,delta_LBM,Young,-0.27608849147852543,0.3192214910270491,-0.6906699676514909,0.2750786986433769,15
MEmagenta,delta_LBM,Old,-0.4204191064951502,0.1186740381354569,-0.767408871867726,0.11705283047024359,15
MEpink,delta_VL,Young,-0.20485764270029266,0.4639234295633923,-0.6490124933983473,0.3434468420853327,15
MEpink,delta_VL,Old,0.19859172525843924,0.4779941062525339,-0.34919514669834306,0.6452159961818839,15
MEpink,delta_LBM,Young,0.2827772951380173,0.3071511386588989,-0.2683590479250315,0.6944453536157834,15
MEpink,delta_LBM,Old,0.2593311159621564,0.3506354450918141,-0.2916801848367867,0.6811112610579558,15
MEpurple,delta_VL,Young,0.40460884069069314,0.1346697869731149,-0.13580092878815167,0.7594611521816669,15
MEpurple,delta_VL,Old,-0.4310488359442319,0.10868665988331568,-0.7726930858027431,0.10422880109385754,15
MEpurple,delta_LBM,Young,-0.3569567498449664,0.191522838811493,-0.7348483915611479,0.19005956506618552,15
MEpurple,delta_LBM,Old,0.10252165050707834,0.7161732420486389,-0.4324527615010805,0.5841082771023931,15
MEred,delta_VL,Young,-0.10934643525597917,0.698072684201588,-0.5886372822383957,0.42682461195796656,15
MEred,delta_VL,Old,0.34183708284153014,0.2123740086801523,-0.20660433659584213,0.7268252416532178,15
MEred,delta_LBM,Young,-0.08435851611946953,0.765010488717934,-0.5719071183233254,0.4472308421843589,15
MEred,delta_LBM,Old,-0.011086488035751449,0.9687201806898587,-0.5203939129952838,0.5040388914970528,15
MEturquoise,delta_VL,Young,0.6033339850512385,0.017255672175707566,0.13180866212755676,0.852208509222795,15
MEturquoise,delta_VL,Old,-0.4083884525911931,0.13071972738662838,-0.7613708224853047,0.13135392549290814,15
MEturquoise,delta_LBM,Young,0.18700780025313643,0.5045355334364587,-0.35971468439120924,0.6381387702271599,15
MEturquoise,delta_LBM,Old,-0.2252082473475633,0.41966317999616476,-0.6611921217818725,0.32448960506585306,15
MEyellow,delta_VL,Young,-0.4238535325916156,0.11538066117237439,-0.7691213521026279,0.11292894190168236,15
MEyellow,delta_VL,Old,0.38215641294321995,0.15980757520897973,-0.1617765393229722,0.7479894525604746,15
MEyellow,delta_LBM,Young,-0.49870939834756506,0.05845089887220967,-0.8052538132942688,0.018204036034336353,15
MEyellow,delta_LBM,Old,0.34960703443801416,0.20148629946845584,-0.19814102270398426,0.7309614798592429,15
