lv,outcome,group,r,p,ci_lo,ci_hi,n
LV1,delta_VL,Young,0.5308311322724872,0.04175493470523258,0.025503265474654035,0.8200907463227597,15
LV1,delta_VL,Old,-0.4772397077233051,0.07203374778749003,-0.7951182642534761,0.046355851913996486,15
LV1,delta_LBM,Young,-0.1693753701535698,0.54619953449094,-0.6272178407721315,0.37546454575802485,15
LV1,delta_LBM,Old,0.0031512392641336495,0.9911071376044391,-0.509934773396146,0.5145834103454318,15
LV2,delta_VL,Young,-0.4794648833531821,0.07052960746899685,-0.7961770532768239,0.04347625164017654,15
LV2,delta_VL,Old,0.45813292510205506,0.08591094552963241,-0.07072889163909046,0.7859463600577322,15
LV2,delta_LBM,Young,0.38881926919724036,0.1520456927186677,-0.1541460187607375,0.7514166913862627,15
LV2,delta_LBM,Old,-0.029470812535813455,0.9169635179034428,-0.5336768427115658,0.4901923686460621,15
LV3,delta_VL,Young,0.086620190359415275,0.758880269139458,-0.44540636047270876,0.5734382570200851,15
LV3,delta_VL,Old,-0.021815959748331386,0.9384874744988845,-0.5281761679656217,0.49598982119959,15
LV3,delta_LBM,Young,-0.2137373916765099,0.444336624886291,-0.6543550785811895,0.33522965465876386,15
LV3,delta_LBM,Old,-0.1573250984397633,0.5755044541531278,-0.6196492893209813,0.38605022926542587,15
LV4,delta_VL,Young,0.07452225938882591,0.791818085036,-0.4551145764588068,0.5652082857550939,15
LV4,delta_VL,Old,0.5090996716597685,0.05259525200626206,-0.004279141852485787,0.8100954245703696,15
LV4,delta_LBM,Young,-0.2891965461922609,0.29582098909956095,-0.6980474049756357,0.2618593596723023,15
LV4,delta_LBM,Old,-0.012363427228884248,0.9651192928409116,-0.5213245536481977,0.5030856211388554,15
LV5,delta_VL,Young,-0.36407784731502474,0.18217847355293026,-0.7385908695155154,0.18215813633869765,15
LV5,delta_VL,Old,0.3835177448738244,0.1582007375647597,-0.16022276674332916,0.7486912836737789,15
LV5,delta_LBM,Young,0.06655859278124097,0.8136832988450942,-0.46143717975621407,0.5597369295743029,15
LV5,delta_LBM,Old,0.5203392718923134,0.04675833364146814,0.011011566151365441,0.8152869830452957,15
LV6,delta_VL,Young,-0.5012246780027088,0.056991749826424576,-0.8064296338067626,0.014851390930771594,15
LV6,delta_VL,Old,0.09197939304370029,0.7444079328091758,-0.4410654054677175,0.5770528757051026,15
LV6,delta_LBM,Young,0.3202341410049042,0.24457371597075817,-0.22971150972617038,0.7151765293183284,15
LV6,delta_LBM,Old,0.10019681582252363,0.7223718235347953,-0.4343604952136072,0.5825586122150428,15
LV7,delta_VL,Young,0.3768934016380984,0.16612154005164326,-0.16775827924471254,0.7452684034200813,15
LV7,delta_VL,Old,0.40675392045075937,0.1324181589219144,-0.13327974739350484,0.760545716875658,15
LV7,delta_LBM,Young,0.12066240796794031,0.6683946880136683,-0.4174003116385833,0.596080969613693,15
LV7,delta_LBM,Old,-0.46710177594333285,0.07917942094145587,-0.7902697547747564,0.05936612912056278,15
LV8,delta_VL,Young,0.464367689541499,0.0811901378739738,-0.06284449743963122,0.7889552010081594,15
LV8,delta_VL,Old,-0.011985352061042173,0.966185378662787,-0.5210491363850838,0.5033679954517902,15
LV8,delta_LBM,Young,-0.14268317034067643,0.6119606157856636,-0.6103357863759058,0.39872283889014937,15
LV8,delta_LBM,Old,-0.2613964456382821,0.3466737172844283,-0.6822971815754008,0.28965184867144717,15
LV9,delta_VL,Young,0.056897972800839726,0.840378681923381,-0.4690357227746475,0.553041473223545,15
LV9,delta_VL,Old,-0.3289165554188832,0.2312904680219765,-0.7198847691305914,0.22049845461391152,15
LV9,delta_LBM,Young,-0.2764766103188137,0.3185137569106197,-0.6908896543370338,0.2746902560140649,15
LV9,delta_LBM,Old,0.15823182346014858,0.5732768987026163,-0.38525865541433196,0.6202217936160211,15
LV10,delta_VL,Young,-0.3291065581880622,0.2310049267314415,-0.7199874017927549,0.22029573734481708,15
LV10,delta_VL,Old,-0.061422748075670754,0.8278534307189533,-0.5561854441470225,0.4654864364804108,15
LV10,delta_LBM,Young,0.11325297882256154,0.6877786899670413,-0.4235842282262849,0.591216239390485,15
LV10,delta_LBM,Old,0.16857855646798414,0.5481170080107454,-0.37616893135604723,0.6267200326231044,15
