gene,logFC_Y,logFC_O,sig_int,sig_Y,sig_O,quadrant,concordant
MMP24OS,-0.272566392343283,-0.218027611049674,0,0,0,Q3,TRUE
ESYT2,0.134444249193571,0.102540595579853,0,0,0,Q1,TRUE
ILVBL,0.100337864978279,-0.125783947489904,0,0,0,Q2,FALSE
FSD2,0.0216385483400572,0.130964047157995,0,0,0,Q1,TRUE
TARS3,-0.00265512839380655,-0.0371183152361443,0,0,0,Q3,TRUE
VWA8,0.0345416894991217,-0.290348576474081,0,0,0,Q2,FALSE
CARNS1,0.794261589717603,0.453286878754561,0,1,0,Q1,TRUE
MAP1LC3B2,-0.444257467932271,0.0329575746668134,0,0,0,Q4,FALSE
PGP,0.0706911956426914,-0.00769294695505707,0,0,0,Q2,FALSE
DHRS7C,-0.174694054142783,-0.131660275139286,0,0,0,Q3,TRUE
SMTNL1,0.0346513415326797,-0.149094543388589,0,0,0,Q2,FALSE
NUDT19,-0.212938044241902,0.0787906772121651,0,0,0,Q4,FALSE
NACA,0.267577573814254,0.0767862426160768,0,0,0,Q1,TRUE
SLC35A4,-0.117037128932321,0.125755803316594,0,0,0,Q4,FALSE
PDLIM1,-0.13846745231411,-0.129854902449171,0,0,0,Q3,TRUE
MYO1C,0.219256027945821,-0.137534083356918,0,0,0,Q2,FALSE
FXYD1,0.116832089251528,0.0584303385781979,0,0,0,Q1,TRUE
STXBP3,-0.246973330293986,0.141561867078227,0,0,0,Q4,FALSE
NDUFS8,-0.379623936679131,-0.00477755456470774,0,0,0,Q3,TRUE
PSMD11,0.161539259102998,0.0638433995976122,0,0,0,Q1,TRUE
PSMD12,0.0918780144540179,-0.0482628984854188,0,0,0,Q2,FALSE
PSMD9,0.169284402152382,0.0687506530171831,0,0,0,Q1,TRUE
PGRMC1,0.0904250771743271,-0.107871536931853,0,0,0,Q2,FALSE
CLIC1,0.312911947268553,0.219955793188713,0,0,0,Q1,TRUE
EIF3F,0.107456641281967,-0.0128150165024188,0,0,0,Q2,FALSE
PDHX,-0.0447553905769738,-0.0976624150725272,0,0,0,Q3,TRUE
DCTN6,0.318658409021609,0.108653006846678,0,0,0,Q1,TRUE
IPO5,0.0808275243690382,-0.00792245836404959,0,0,0,Q2,FALSE
EEF2K,-0.2869976371348,-0.107708586622397,0,0,0,Q3,TRUE
EML1,-0.0808245130941003,-0.0734980163811798,0,0,0,Q3,TRUE
DNM1L,0.0227269187307044,-0.0487329467924766,0,0,0,Q2,FALSE
RTCA,-0.0630291625154626,-0.219949524933543,0,0,0,Q3,TRUE
NDUFA4,0.0110656799268227,0.00517224527952465,0,0,0,Q1,TRUE
PSMD14,0.093943606501341,0.0497141500929494,0,0,0,Q1,TRUE
BIN1,0.207159417295667,-0.0110850279468444,0,0,0,Q2,FALSE
KPNA3,0.105259605507559,3.66376409033364e-6,0,0,0,Q1,TRUE
DDX3X,0.0672042466005855,0.0616049888501067,0,0,0,Q1,TRUE
KPNA4,0.159607848846893,0.0851646616079051,0,0,0,Q1,TRUE
CES2,0.175425261678992,0.0784618989262142,0,0,0,Q1,TRUE
FBP2,0.0959885791957724,-0.0491217043701973,0,0,0,Q2,FALSE
PDXK,-0.0263206934084863,-0.0667755466883335,0,0,0,Q3,TRUE
SDHD,0.101358679554014,-0.0753276174131834,0,0,0,Q2,FALSE
COX7A2L,-0.205818233579809,0.0190100944446741,0,0,0,Q4,FALSE
GAPDHS,0.0344943380531184,0.0482270396439723,0,0,0,Q1,TRUE
HSPB6,0.610880066973,0.279712986938303,0,1,0,Q1,TRUE
NDUFAB1,-0.353724710466306,-0.0872196722326422,0,0,0,Q3,TRUE
IMPA2,-0.248723284345594,-0.161118582406171,0,0,0,Q3,TRUE
