pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast,database,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,3.9046289251355897e-25,3.8941380613647777e-22,1.303093150865724,-0.7701330391753296,-3.2720864422184284,76,NDUFA3;NDUFV2;NDUFB7;NDUFA6;NDUFS7;NDUFS3;NDUFB6;COX7B;NDUFB10;NDUFA8;NDUFB9;NDUFS6;NDUFS1;MT-ND4;MT-CO3;MT-ND1;NDUFV1;NDUFA5;NDUFA9;NDUFB5;NDUFS5;MT-ND3;NDUFB3;NDUFB4;MT-CO2;NDUFS8;NDUFA12;COX6C;NDUFS2;COX6B1;NDUFB8;COX5A;NDUFAB1;NDUFC2;COX7A1;COX5B;NDUFS4;NDUFA2;NDUFA7;UQCR11;COX4I1;NDUFA10;COQ9;COX7C;COA6;MT-ND2;NDUFV3;NDUFB1;COX7A2;MT-CO1,Training_Young,GO:BP,1,90,123,106.5,1.5707963267948966,2.1467549799530254,1.858775653373961,ATP Synthesis Coupled Electron Transport
GOBP_ELECTRON_TRANSPORT_CHAIN,6.420672813462124e-25,3.8941380613647777e-22,1.2951230874100392,-0.7454722659282019,-3.2285922833640033,84,NDUFA3;NDUFV2;NDUFB7;NDUFA6;NDUFS7;NDUFS3;NDUFB6;COX7B;NDUFB10;NDUFA8;NDUFB9;NDUFS6;NDUFS1;MT-ND4;MT-CO3;MT-ND1;NDUFV1;NDUFA5;NDUFA9;NDUFB5;NDUFS5;MT-ND3;NDUFB3;NDUFB4;MT-CO2;NDUFS8;NDUFA12;COX6C;NDUFS2;COX6B1;NDUFB8;COX5A;NDUFAB1;NDUFC2;COX7A1;COX5B;NDUFS4;NDUFA2;NDUFA7;UQCR11;COX4I1;NDUFA10;COQ9;COX7C;COA6;MT-ND2;NDUFV3;NDUFB1;COX7A2;MT-CO1,Training_Young,GO:BP,2,126,159,142.5,2.199114857512855,2.775073510670984,2.48709418409192,Electron Transport Chain
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,2.7411597196542656e-24,1.1083422466468746e-21,1.2790339772504933,-0.8753301515004659,-3.2846285272475217,42,NDUFA3;NDUFV2;NDUFB7;NDUFA6;NDUFS7;NDUFS3;NDUFB6;NDUFB10;NDUFA8;NDUFB9;NDUFS6;NDUFS1;MT-ND4;MT-ND1;NDUFV1;NDUFA5;NDUFA9;NDUFB5;NDUFS5;MT-ND3;NDUFB3;NDUFB4;NDUFS8;NDUFS2;NDUFB8;NDUFAB1;NDUFC2;NDUFS4;NDUFA2;NDUFA7;NDUFA10;COQ9;MT-ND2;NDUFV3;NDUFB1,Training_Young,GO:BP,3,162,195,178.5,2.827433388230814,3.4033920413889422,3.115412714809878,Mitochondrial Electron Transport NADH To U...
GOBP_OXIDATIVE_PHOSPHORYLATION,1.5799718535536232e-20,4.791264645901362e-18,1.1690699667610949,-0.6713003208518885,-3.007608883040569,104,NDUFA3;NDUFV2;NDUFB7;NDUFA6;NDUFS7;NDUFS3;NDUFB6;COX7B;NDUFB10;NDUFA8;NDUFB9;NDUFS6;NDUFS1;MT-ND4;MT-CO3;MT-ND1;NDUFV1;NDUFA5;NDUFA9;NDUFB5;NDUFS5;MT-ND3;NDUFB3;NDUFB4;MT-CO2;NDUFS8;NDUFA12;COX6C;NDUFS2;COX6B1;NDUFB8;COX5A;NDUFAB1;NDUFC2;COX7A1;COX5B;NDUFS4;NDUFA2;NDUFA7;UQCR11;COX4I1;NDUFA10;COQ9;NDUFB11;COX7C;COA6;MT-ND2;NDUFV3;NDUFB1;COX7A2;MT-CO1;SIRT3;NDUFA13;NIPSNAP2;UQCRQ;UQCRC2;CYC1;ACTN3,Training_Young,GO:BP,4,198,231,214.5,3.455751918948773,4.031710572106902,3.743731245527837,OXPHOS
GOBP_AEROBIC_RESPIRATION,4.73248436200559e-19,1.1481007062225562e-16,1.1239149637448316,-0.6147637075149137,-2.837167698313308,129,NDUFA3;NDUFV2;NDUFB7;NDUFA6;NDUFS7;NDUFS3;NDUFB6;COX7B;NDUFB10;NDUFA8;NDUFB9;NDUFS6;NDUFS1;MT-ND4;MT-CO3;MT-ND1;NDUFV1;NDUFA5;NDUFA9;NDUFB5;NDUFS5;MT-ND3;NDUFB3;NDUFB4;MT-CO2;NDUFS8;NDUFA12;COX6C;NDUFS2;COX6B1;NDUFB8;COX5A;NDUFAB1;NDUFC2;COX7A1;COL6A1;COX5B;NDUFS4;NDUFA2;NDUFA7;UQCR11;COX4I1;NDUFA10;COQ9;NDUFB11;COX7C;COA6;MT-ND2;NDUFV3;NDUFB1;IDH1;COX7A2;MT-CO1;MDH1;SIRT3;NDUFA13;NIPSNAP2;UQCRQ;UQCRC2;CYC1;ACTN3;ADSL,Training_Young,GO:BP,5,234,267,250.5,4.084070449666731,4.6600291028248595,4.372049776245795,Aerobic Respiration
GOBP_PROTEIN_FOLDING,2.20142056196173e-8,1.5707783186232815e-6,0.7337619883564803,0.5421415429069396,2.311727659750346,90,CCT6A;CCT5;CCT8;HSPB6;HSPB1;CCT7;CCT4;PDIA3;TXNDC5;CCT2;TCP1;CCT3;HSPA4;DNAJA2;HSP90B1;HYOU1;TBCB;UNC45B;HSPB2;HSPA8;HSP90AB1;CRYAB;DNAJA4;CANX;HSPA5;DNAJA1;ERO1A;RUVBL2;BAG3;PPIA;CALR;AHSA1;HSPE1;PDIA4;P4HB;LMAN1;HSP90AA1;NGLY1;HSPA2;VAPA;NUDC;CHCHD4;CLU;CSNK2A1;BAG2;PDCD5;SH3GLB1;FKBP4;PPIB,Training_Young,GO:BP,6,270,303,286.5,4.71238898038469,5.288347633542818,5.000368306963754,Protein Folding
GOBP_PROTEIN_MATURATION,8.044726043965889e-8,4.423944705869367e-6,0.7049757151672383,0.4623404174314786,2.103492997146042,138,CCT6A;CCT5;CCT8;CAPN2;HSPB6;HSPB1;CCT7;SERPINH1;CCT4;PDIA3;TXNDC5;CCT2;TCP1;GSN;BOLA2;FLNA;CCT3;HSPA4;DNAJA2;HSP90B1;HYOU1;TBCB;UNC45B;ANXA2;HSPB2;HSPA8;HSP90AB1;CRYAB;F13A1;DNAJA4;CANX;HSPA5;DNAJA1;NAA50;ERO1A;RUVBL2;CLEC3B;BAG3;PPIA;CALR;AHSA1;CTSZ;NAA10;HSPE1;PDIA4;P4HB;LMAN1;STOML2;HSP90AA1;S100A10;NGLY1;HSPA2;VAPA;PRKACA;NUDC;CHCHD4;CLU;CSNK2A1;BAG2;PDCD5;SH3GLB1;FKBP4;HP;PPIB,Training_Young,GO:BP,7,306,339,322.5,5.340707511102648,5.916666164260777,5.6286868376817125,Protein Maturation
GOBP_MICROTUBULE_BASED_PROCESS,8.845069328012843e-8,4.470445456199824e-6,0.7049757151672383,0.46536851933617585,2.1094064466056275,133,DYNC1H1;DYNC1LI1;DYNC1I2;DYNLT1;DCTN2;UCHL1;EZR;KPNB1;TUBB6;TUBB;RAB6A;TUBB2A;DCTN1;HSPB1;MAPT;TUBA1B;ACTR2;PRKAA2;FLNA;CLTC;DDB1;PPP2R1A;TBCB;KIF5B;CRYAB;MAP4;SLC16A1;DYNC1LI2;TUBB4B;ACTR3;GAPDH;MEMO1;PRKAA1;BAG3;KTN1;TLN1;ARL3;DCTN6;CHMP4B;SUGT1;SLK;PAFAH1B1;RAN;FYCO1;VCP;PAK1;RPS3;MAP2K1;NUDC;TACC2;PRUNE1;TPPP3;OPA1;PDE4DIP;FKBP4;MAPRE3;CLIP1,Training_Young,GO:BP,8,342,375,358.5,5.969026041820607,6.544984694978735,6.257005368399671,Microtubule Based Process
GOBP_CELL_CYCLE,3.1727606006471305e-7,1.4253920772536922e-5,0.674962860011025,0.41072924534873534,1.9572808974193536,192,DYNC1H1;PSME1;DYNC1LI1;DYNLT1;USP9X;DCTN2;PRKAG1;EZR;PSME2;KPNB1;TUBB6;TUBB;TUBB2A;DCTN1;BIN1;TUBA1B;ACTR2;ANXA1;FLNA;CLTC;DDB1;PPP2R1A;NEK9;PRKDC;HSP90AB1;SEPTIN7;APPL1;PPP5C;PRMT5;MAP4;SLC16A1;NAA50;TIPRL;IQGAP1;TUBB4B;FHL1;CALM1;ACTR3;TSG101;SPTBN1;PPM1A;RUVBL2;NES;CALR;ARL3;DCTN6;NAA10;PSMD13;PLEC;CHMP4B;SUGT1;PAFAH1B1;RAN;MAP3K20;RPS15A;MYH14;VCP;CUL3;TARDBP;IPO7;IPO5;TMSB4X;SEPTIN11;RPS3;HSPA2;PRKACA;NUDC;PPP2R2A;SEPTIN9;TACC2;CSNK2A1;KLHDC8B;PDE4DIP;SH3GLB1;MAPRE3;CLIP1,Training_Young,GO:BP,9,378,411,394.5,6.5973445725385655,7.173303225696695,6.885323899117631,Cell Cycle
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION,3.5790316646763105e-7,1.5504876461615588e-5,0.674962860011025,0.5024416612396411,2.15692525222245,93,DYNC1H1;DYNC1LI1;DYNLT1;DCTN2;EZR;KPNB1;TUBB6;TUBB;TUBB2A;DCTN1;MAPT;TUBA1B;PRKAA2;FLNA;CLTC;DDB1;PPP2R1A;TBCB;CRYAB;MAP4;SLC16A1;DYNC1LI2;TUBB4B;GAPDH;PRKAA1;TLN1;DCTN6;CHMP4B;SUGT1;SLK;PAFAH1B1;RAN;VCP;PAK1;RPS3;NUDC;TACC2;PRUNE1;TPPP3;PDE4DIP;FKBP4;MAPRE3;CLIP1,Training_Young,GO:BP,10,414,447,430.5,7.225663103256523,7.801621756414653,7.513642429835588,Microtubule Cytoskeleton Organization
