gene,pathway,database,interaction_pattern,logFC_Training_Young,logFC_Training_Old,pathway_pvalue
COL1A1,Extracellular Matrix Organization,GO:BP,Attenuated,-1.197,0.0278,1.246e-8
COL1A2,Extracellular Matrix Organization,GO:BP,Attenuated,-1.359,-0.0832,1.246e-8
COL4A1,Extracellular Matrix Organization,GO:BP,Attenuated,-1.436,-0.0795,1.246e-8
COL4A2,Extracellular Matrix Organization,GO:BP,Attenuated,-1.0712,-0.0443,1.246e-8
CTSG,Extracellular Matrix Organization,GO:BP,Attenuated,-2.0953,0.1002,1.246e-8
LAMC1,Extracellular Matrix Organization,GO:BP,Attenuated,-0.8487,0.0146,1.246e-8
NID1,Extracellular Matrix Organization,GO:BP,Attenuated,-0.7647,0.1157,1.246e-8
MYL3,Muscle Structure Development,GO:BP,Attenuated,-0.8904,0.0464,5.5e-6
IFT81,Organelle Assembly,GO:BP,Attenuated,-1.2969,-0.0873,0.09111
CCDC137,Other,Other,Attenuated,-1.6782,-0.2164,1
MSRB3,Other,Other,Attenuated,-1.2083,-0.0131,1
PLEKHF1,Other,Other,Attenuated,-0.8051,0.0468,1
RPA2,Other,Other,Attenuated,-0.9583,0.0235,1
SSU72,Other,Other,Attenuated,-0.9314,0.0164,1
FLT1,Receptor Protein Signaling,GO:BP,Attenuated,-1.6632,0.0423,2.883e-4
NDUFA6,Transmembrane Transport,GO:BP,Attenuated,-0.5195,0.131,0.4023
CHDH,Ammonium Ion Metabolic Process,GO:BP,Down Young / Up Old,-0.4576,0.3927,0.0504
ACTN1,Cell Substrate Adhesion,GO:BP,Down Young / Up Old,-0.9384,0.3834,2.483e-6
ACTN2,Cell Substrate Adhesion,GO:BP,Down Young / Up Old,-0.884,0.4933,2.483e-6
ACTN4,Cell Substrate Adhesion,GO:BP,Down Young / Up Old,-0.7896,0.3669,2.483e-6
PREX1,Cell Substrate Adhesion,GO:BP,Down Young / Up Old,-0.5831,0.4448,2.483e-6
DHRS11,Estrogen Biosynthetic Process,GO:BP,Down Young / Up Old,-0.5953,0.1795,0.0504
CAV2,Extracellular Matrix Organization,GO:BP,Down Young / Up Old,-0.9482,0.3589,1.246e-8
COL3A1,Extracellular Matrix Organization,GO:BP,Down Young / Up Old,-1.1658,0.3477,1.246e-8
ACTA1,Muscle Structure Development,GO:BP,Down Young / Up Old,-0.4891,0.3426,5.5e-6
MYH7,Muscle Structure Development,GO:BP,Down Young / Up Old,-0.6942,0.2547,5.5e-6
MYL2,Muscle Structure Development,GO:BP,Down Young / Up Old,-0.9503,0.2178,5.5e-6
XIRP1,Muscle Structure Development,GO:BP,Down Young / Up Old,-0.8717,0.4336,5.5e-6
TPM3,Myogenesis,Hallmark,Down Young / Up Old,-0.7694,0.1787,4.916e-5
CAPRIN1,Organelle Assembly,GO:BP,Down Young / Up Old,-0.5661,0.2795,0.09111
RPL24,Organelle Assembly,GO:BP,Down Young / Up Old,-0.2261,0.3757,0.09111
TES,Other,Other,Down Young / Up Old,-0.596,0.3646,1
UBN2,Other,Other,Down Young / Up Old,-1.0031,0.2347,1
CILP,Receptor Protein Signaling,GO:BP,Down Young / Up Old,-0.7967,0.2433,2.883e-4
MT-CO1,Transmembrane Transport,GO:BP,Down Young / Up Old,-0.4355,0.2848,0.4023
TOMM22,Transmembrane Transport,GO:BP,Down Young / Up Old,-0.7784,0.165,0.4023
