gene,logFC_A,logFC_TO,pi_TO,opposite_dir,category,facet_label
ARHGAP1,-0.60044399055937,0.472791470820841,0.03076097697264795,TRUE,Fully Reversed,"Fully Reversed (n=5, 2%)"
ALDH6A1,0.77686006251318,-0.521686052607595,0.03564800063097454,TRUE,Fully Reversed,"Fully Reversed (n=5, 2%)"
CAMK2D,-0.52218549526993,0.542777573122137,0.01518867997075267,TRUE,Fully Reversed,"Fully Reversed (n=5, 2%)"
MUSTN1,-1.36251338817758,0.772157209199868,0.04231729840968363,TRUE,Fully Reversed,"Fully Reversed (n=5, 2%)"
MYBPH,-2.23417759319499,1.72067151117998,4.9832364568785715e-6,TRUE,Fully Reversed,"Fully Reversed (n=5, 2%)"
RPL24,-0.661055051284588,0.375683870092114,0.1520572910703337,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
ACTN1,-2.03791540212113,0.383382494768878,0.7316531196746897,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
RPL22,-0.569992768536085,0.384118638600516,0.13142685778681645,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
MYL1,-0.876951512259872,0.406239779423018,0.4412345249360227,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
CARM1,-0.85710305463753,0.408661984256469,0.3343417766268872,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
LRG1,1.0802078910003,-0.415372431567146,0.21409239399555716,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
PLIN2,1.1196332793795,-0.425437886270057,0.2860276303407615,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
XIRP1,-0.732651476669243,0.433615827414272,0.33431771688509015,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
PREX1,-0.845121018913817,0.444847131028828,0.15302353808561017,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
COPS7B,1.01339887334584,-0.455490221325272,0.21885779051530188,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
MYH2,-1.01871238668543,0.481701502639236,0.34555325952120847,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
ACTN2,-1.93506299796195,0.493257794093587,0.5540655045274366,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
MT2A,0.704105735395693,-0.534807706711916,0.06328755646695713,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
GPT2,1.68304294949946,-0.591984920739108,0.06090711869051284,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
HAT1,-1.64748613392742,0.799189976965636,0.14424252107390656,TRUE,Partially Reversed,"Partial Reversal (n=100, 50%)"
IGHG2,0.664299138606275,0.17774074467377,0.8342430572413371,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
MYOM2,-0.679150805093581,-0.179573489316265,0.7325072492182462,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
HMOX1,-0.94681339375289,-0.179880718367933,0.8696319308377886,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
TPM4,0.673763828838943,0.201555833085489,0.6709267931488091,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
LRBA,-1.65933943278748,-0.202696273850314,0.9243951329470368,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
RPS27A,-0.896550154927276,-0.208030678841435,0.7706738790830089,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
MT-ND4,-0.816540974525264,-0.217864516383397,0.6971987817244275,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
NDUFA11,-0.764983058837085,-0.222059864989482,0.7506384272583223,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
CRYBG3,-1.20908737358034,-0.236661086179261,0.8754700308339188,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
PDLIM5,-0.550917227817891,-0.252099488365069,0.4729491620992082,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
CAP1,0.612144955172891,0.285389961535191,0.40741271799782974,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
TGM2,0.618836034717919,0.383619298789654,0.25309052924147646,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
MYH3,-1.43672243823565,-0.408137025160585,0.6702639262290228,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
JPT2,0.734815862657774,0.414117110663422,0.22030808265456048,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
PVALB,-1.3113526146963,-0.653367461720496,0.4303206858252654,FALSE,Non-Reversed,"Non-Reversed (n=93, 47%)"
