pathway,db,NES_Training_Young,NES_Training_Old,NES_Aging,NES_Interaction,padj_Training_Young,padj_Training_Old,padj_Aging,padj_Interaction,delta_NES,sig_A,sig_O,sig_I,opposite_sign,pw_cat,pathway_clean,int_stars
HALLMARK_ADIPOGENESIS,Hallmark,-1.4921457299540846,-1.701648573896355,1.859112436617028,0.8079364520080876,0.0358718588145022,0.00560724984224429,4.390409394445362e-4,0.9222321428571428,3.560761010513383,TRUE,TRUE,FALSE,TRUE,Reversed,Adipogenesis,
HALLMARK_MITOTIC_SPINDLE,Hallmark,1.789090706596007,1.9520943541621656,-1.5496894163184878,-1.392657117523684,0.01373581490603808,0.00677103821761956,0.09150326797385622,0.23907363420427555,-3.501783770480653,FALSE,TRUE,TRUE,TRUE,Reversed,Mitotic Spindle,
HALLMARK_FATTY_ACID_METABOLISM,Hallmark,-0.724851119149264,-1.2090463830333265,2.2082793294564307,-0.8408768399718781,0.9887424860455132,0.3852178610010803,3.1920806996078887e-6,0.9222321428571428,3.417325712489757,TRUE,FALSE,FALSE,TRUE,Attenuated,Fatty Acid Metabolism,
HALLMARK_MYC_TARGETS_V1,Hallmark,1.764494080158386,1.7102557344494609,-1.3271597034542442,-1.02119399435347,0.00105266442612835,0.00560724984224429,0.12627852084972463,0.7276659861961698,-3.037415437903705,FALSE,TRUE,FALSE,TRUE,Attenuated,MYC Targets V1,
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,1.9215181046011536,2.006698514767085,-0.9970797684019094,-1.0420102272254377,0.00386758838519223,0.00560724984224429,0.6217414739317915,0.7276659861961698,-3.0037782831689945,FALSE,TRUE,FALSE,TRUE,Attenuated,Unfolded Protein Response,
HALLMARK_G2M_CHECKPOINT,Hallmark,0.9684750153997616,-1.3992884482772523,1.496225529248929,-1.5895233632763002,0.7462734452122409,0.3123647771527477,0.1254523277088839,0.11768901569186876,2.895513977526181,FALSE,FALSE,TRUE,TRUE,Reversed,G2M Checkpoint,
HALLMARK_PEROXISOME,Hallmark,-0.9563852589761456,-0.8598365158481739,1.984618763709161,0.5382211203846198,0.7462734452122409,0.827251721357236,0.00185059097446715,0.9938048528652556,2.844455279557335,TRUE,FALSE,FALSE,TRUE,Attenuated,Peroxisome,
HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,1.0123536474623691,-1.137842527489611,1.4790991954088262,-1.41646309271172,0.7015698884055229,0.4745898913766349,0.09150326797385622,0.20759939607448413,2.616941722898437,FALSE,FALSE,TRUE,TRUE,Reversed,Xenobiotic Metabolism,
HALLMARK_MTORC1_SIGNALING,Hallmark,1.7415934391932413,1.2147627563992598,-1.2095919188993511,-1.649854940397386,0.00386758838519223,0.3852178610010803,0.3149079390219759,0.01350676471990949,-2.424354675298611,FALSE,FALSE,TRUE,TRUE,Reversed,mTORC1 Signaling,*
HALLMARK_UV_RESPONSE_UP,Hallmark,1.1487251223067063,-1.0119090475910164,1.0615801992807985,-1.3879589267470869,0.5216756341275942,0.6600128783000644,0.5578998877407099,0.23907363420427555,2.073489246871815,FALSE,FALSE,TRUE,TRUE,Reversed,UV Response Up,
HALLMARK_MYOGENESIS,Hallmark,-1.8512227927199931,-1.1059146311795904,-1.884648556327416,1.9935506019386215,0.00105266442612835,0.4782608695652174,4.390409394445362e-4,1.2472976753555951e-4,-0.7787339251478256,TRUE,FALSE,TRUE,FALSE,Reversed,Myogenesis,***
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,-1.7850658934997226,-1.1163086763840813,-1.0013868149996354,1.878093080157559,0.00656566638293949,0.48153076675996886,0.6217414739317915,0.00554438588886118,0.11492186138444582,FALSE,FALSE,TRUE,FALSE,Reversed,Epithelial Mesenchymal Transition,**
HALLMARK_UV_RESPONSE_DN,Hallmark,-1.8329875320497668,-0.8948303328781683,-0.7821768301753735,1.7186872930529178,0.02181661396953147,0.7713587471529982,0.906149478427338,0.07886351566648965,0.11265350270279473,FALSE,FALSE,TRUE,FALSE,Reversed,UV Response Dn,
