"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,6.42928733595363,6.34470778982162,7.02357142592749,7.75247559843829,8.53642058797131,7.720846976483,7.0054425041736,6.36988660509125,7.16981481147439,7.30225759321719,6.06601601824145,6.95314034735571,7.20697689657708,8.31016188239794,7.92526214107592,7.61447938809696,6.59028298588272,6.44867937871399,4.81765832309052,3.30168272799985,1.85124944583078
"2",0,0,0,0,0,0,0.000549805865395175,0.000164545353135154,4.77202341030134e-05,1.33850791436496e-05,3.62412554566611e-06,1.53570527732935e-05,4.29750962265168e-06,1.14743358764487e-06,2.91795221765696e-07,7.05231778752847e-08,1.61576330099373e-08,4.79754204803697e-07,1.17156126705023e-07,2.67720798375648e-08,5.70383759906008e-09,1.11404660012417e-08,2.21874412902913e-09,3.72398181806594e-09,5.51916291094969e-09,NA,NA,8.69394528187001,8.62257650021777,8.58480480207595,8.5795778193477,8.60676385541942,8.6671337802703,8.76241286860389,6.7483827173597,7.94129222963888,8.1424729031065,7.83324626594153,8.70186099550989,7.90562354309774,7.73957845588788,7.63513108269086,8.22739968918266,7.05595251566702,5.37570059618822,4.96815946008761,4.05416339515312,1.94833818862438
"3",0,0,0,0.000676277585288847,7.17520637243944e-05,7.20674946772244e-06,8.39045908969164e-05,1.04909825239482e-05,1.18867305790045e-06,1.22574668902478e-07,1.1523637011689e-08,1.03193449613965e-08,7.82964518493906e-09,6.8896450631712e-10,5.43784936064768e-11,1.81500126598564e-09,1.52805645166363e-10,5.148184527034e-08,5.31075277409555e-09,4.74025689931681e-10,3.64152197466302e-11,7.04926565895999e-11,2.45211413103137e-11,7.9083108914711e-12,1.1728545306524e-11,NA,NA,10.7570387444403,11.2364540309641,10.6682217995603,9.6587704863882,9.71680655225052,10.3197369732122,8.9681955139854,6.88645775325336,7.93221856212147,8.16272104247501,8.44610671839294,8.793961082934,8.21433141128492,7.68852572968872,8.22543501630803,8.36459732616392,6.45593109092817,4.22192999271286,4.4442777925408,3.80658285860993,2.15362389666779
"4",0,0,0.000676277585288847,0.00162399529693197,9.6558808006117e-05,4.74739660493413e-06,4.06287691978266e-05,2.48230290876121e-06,6.59203606856455e-07,1.66216985892604e-07,3.97018965481653e-08,4.03789113053059e-08,8.66815255682907e-09,7.39708534927203e-09,1.42599264446495e-09,1.45112446736644e-08,7.13599576217084e-10,1.81833689963667e-08,3.16157655917664e-09,1.68475671647716e-09,2.51101669621179e-10,1.17892796321557e-10,1.45987019266177e-11,1.58554202617378e-12,5.81294295616301e-13,NA,NA,15.8007500351729,15.6984937713968,15.0933988913888,12.9857192859302,12.5668436364452,13.7298669071296,12.894217433687,11.1713476429155,11.93780798801,11.3070610469655,11.222807439851,10.231893266046,9.78516974011252,9.40189442066776,9.08923016938433,9.37275458857987,7.71558908070065,4.7825591121136,5.67278752288283,5.37570059618822,2.39872612934937
"5",0,0,0.0038476288889756,0.00183626278932369,6.09464609741322e-05,1.44758706954166e-06,3.64445314130713e-06,8.96621797465379e-08,8.96258818978583e-09,8.29491537010288e-10,7.05972661366913e-11,2.80858057063051e-11,9.925384931707e-12,3.15699171870545e-12,9.09940315498762e-13,4.0800526731857e-12,5.67046178532215e-14,8.03818681836741e-13,1.59777566362823e-13,1.39200779835067e-12,6.6868787569419e-14,1.30726581505659e-13,5.07208944003306e-15,6.11259693141742e-16,6.37689999494421e-17,NA,NA,17.5861344625166,17.4995414846618,16.4117678625087,14.4443394253977,13.1345320224338,14.2485813509989,13.0558431892412,11.5214211139482,12.7411578356299,11.7570241719788,12.2085611295043,11.8084784858024,10.55331851965,10.2867275608618,9.63446205459188,10.5286911482815,9.58009468989463,5.83560055587748,6.97534979441396,6.45168440223475,3.2138838263693
"6",0,0.00178424392617831,0.00258106755961595,0.000537498015277757,3.07110212731362e-05,3.45646604705948e-07,3.06980528211888e-07,1.34846491153993e-08,5.24024893432883e-10,1.79563578444054e-11,2.66959916309913e-12,3.56913764018222e-13,1.93647816179459e-13,2.08895797263446e-14,8.73696445943889e-15,1.28103984415701e-14,2.50655893572301e-16,1.14030294611667e-15,7.4015104118684e-17,3.05473368914477e-15,1.73345078304001e-16,1.30188062064812e-15,6.11720609126578e-17,8.5083070748462e-18,1.01715093204325e-18,NA,NA,19.0432151564003,18.9748723938844,17.9504649113403,16.5475501159251,15.2744153443169,16.9133074732331,15.2850915371301,13.3502888002826,14.6345102893796,14.1835938481083,13.3470774276077,13.0424495459092,12.3568784107601,11.7511824097484,11.7064511477212,12.8299521093836,12.0991857860128,8.36335352670366,8.91809571437021,8.22739968918266,3.50511186628996
"7",0,0.000549805865395174,0.000432960458894613,4.06287691978267e-05,3.64445314130713e-06,1.48590657171725e-08,9.26918991418789e-08,1.72344625379541e-09,1.12802255106083e-10,6.67167689472433e-12,3.53586574195932e-13,1.66452603047878e-14,1.24072352876705e-14,4.71845295918265e-16,6.52678016211125e-17,1.24813285481358e-16,8.38024860745074e-19,1.77510452165027e-17,3.90419960826302e-19,5.16019086502184e-18,1.19828325506868e-18,2.88166648755318e-18,4.2197082474684e-20,7.81375897114489e-20,1.01249518376885e-20,NA,NA,18.1905136385481,18.1586078752452,17.7225585190656,16.901927107536,15.2877497134308,17.3200617430074,16.258776605896,13.9954877432091,14.8413107477098,14.907860676019,14.6089164416378,14.3938792022984,14.2742765555534,13.3203639207642,12.4616501841966,14.2172331164915,13.1424820482709,10.0922890925088,9.29580574248906,9.49555937216342,3.82522334766479
"8",0,0.000164545353135155,6.39834784031933e-05,1.11480187225928e-05,1.61176073924717e-06,1.34846491153993e-08,8.32532390676334e-08,7.38876275532227e-10,1.93799291907903e-11,6.46720317586734e-12,5.14780908658462e-13,9.71365448610504e-15,8.38136616088743e-15,1.26098081320914e-16,2.27744236716921e-17,4.58960918689007e-17,1.76018300700213e-18,9.16655978750877e-17,3.12373214253772e-17,8.87261382291373e-17,7.6070038451389e-18,5.34649743841176e-18,3.44831392427754e-19,1.72447297688032e-18,2.60898100291065e-19,NA,NA,19.0776942187385,19.0632017042264,19.1213551446669,18.7925776330172,17.642120325897,19.2873497844498,17.3689934633081,15.6023949318478,16.5136179183158,16.2055452926829,15.5366209848217,14.9529345010598,14.4591956796298,14.0655567181607,13.3203639207642,14.6792291070674,14.2965238246189,10.8947535528552,9.75524622438088,9.5593204785451,4.76776593916073
"9",0,4.77202341030134e-05,8.43193892657567e-06,6.59203606856457e-07,4.18065328473397e-08,5.2402489343288e-10,1.67955313647356e-09,1.93799291907904e-11,1.84728440012106e-13,9.53043972012792e-14,1.06211440055009e-14,7.16163175957601e-17,8.66783345196588e-17,4.48534385602151e-19,3.981931349882e-19,3.2982618702941e-18,4.61109218473366e-20,8.02020656509787e-18,9.9203564729325e-19,1.00629940243711e-18,3.03123150839973e-20,7.0811006432285e-20,4.85531833720313e-21,2.47273521673201e-20,1.15006248277767e-20,NA,NA,21.0352147498438,21.5012394797469,21.1103859520628,19.4455323153139,18.3546508962435,19.9959783309788,17.7279669652963,15.6409868619358,15.7152402525607,15.0404460701187,14.4418889566785,13.9211556547076,13.9066708182032,13.572158196192,12.9067003993074,13.7703656380106,13.9601041891036,10.7592843592483,9.74786961617692,9.70325808156698,5.16041024484714
"10",0,1.33850791436496e-05,9.98608397380567e-07,3.23820072588842e-08,8.29491537010294e-10,8.40621307123905e-11,1.03867725327828e-10,4.40249142674182e-13,1.44737835267262e-15,2.98208375785994e-16,1.23309698039849e-17,2.4903446140456e-20,1.95906843680955e-19,3.11521546064615e-22,3.96170001771235e-22,1.63620974256743e-20,7.50554853550722e-23,1.82773787779117e-20,2.51636516586173e-21,2.91867071487943e-21,9.15842813073535e-23,2.35849758717318e-22,5.16261238924343e-23,2.70031801578554e-22,4.18283593343892e-23,NA,NA,21.2692789271339,20.8394983414267,20.4954308080537,19.3687128512865,18.7656506992792,19.5206265728273,16.5744679024496,15.028899840015,15.1220558743365,14.1173130694258,13.5728219844115,12.3327906450202,12.3131726852096,11.601152206271,10.9696970744022,12.1399759323199,12.7622923717662,9.761897576271,8.793961082934,8.70186099550989,4.96836535971111
"11",0,3.6241255456661e-06,7.3337287353103e-07,3.9701896548165e-08,6.54737141324954e-09,7.80747689494854e-10,2.56649462875861e-10,5.14780908658458e-13,7.17363865459422e-16,1.8649720942298e-16,2.75204065156675e-18,8.5141858955986e-21,6.87882081579297e-20,1.64236977334453e-22,6.11308762316141e-23,2.4775780238634e-21,4.98886195217244e-23,3.18158748926404e-21,4.86565468954433e-22,5.80673476487096e-22,1.89838224307117e-22,1.54314365255634e-22,3.53088668690913e-23,4.81722517685259e-22,2.71282175060965e-23,NA,NA,21.2201011084347,19.9759732420055,20.0909420929,19.4463837389386,18.8856388300258,19.647452869279,17.1993367310192,14.9454131008138,15.0618155068465,14.1146172919457,13.9950739992,13.1890074580966,12.4568217592969,11.4178097551102,10.837946311294,11.1688156249989,11.2933973075495,8.91120553563113,8.44610671839293,8.39266686487663,4.81352421486196
"12",0,0.000122612582926638,1.05776583110339e-05,6.05534167286221e-07,2.94733374758647e-08,4.04293165898783e-09,4.65171057864987e-10,4.95280767373762e-12,3.70117517400466e-15,3.07898266019696e-16,1.75584740261693e-18,2.09892909896058e-21,5.12637147396809e-21,4.31680440854128e-24,6.92112146397675e-24,2.85400416312102e-22,6.77627729140704e-24,4.20177179076201e-22,2.30643030282188e-23,2.90417716873739e-23,9.96364743839915e-24,2.41769762631119e-23,5.68094309486406e-24,2.60306874498753e-23,1.20228817041643e-23,NA,NA,23.4916755734346,22.2294386129232,22.8033846790084,22.1621086912936,20.7673288034736,22.0195584784762,19.9472991686049,17.6271548961448,18.2305033278238,16.8962171986936,16.8671067344893,16.1141715072715,15.0404460701187,13.2436996109536,13.1746371309939,11.9712314136173,11.7570241719788,8.17573560286735,8.16272104247501,8.14247290310649,4.68898801037856
"13",0,3.82596539520532e-05,6.0223252625924e-06,1.36125835924446e-07,2.68880437886393e-09,1.59074337252728e-10,7.87885539747122e-12,2.95830289243027e-14,2.34130476614822e-17,2.69254078817142e-18,5.06442164916538e-21,1.768695154542e-24,2.43932032936938e-23,2.35993588859494e-26,4.76760028161955e-26,7.488362916743e-25,1.9471952812596e-26,4.76207258273692e-24,2.78382319629766e-25,3.78495371823292e-25,4.51415127166456e-26,1.00270232242898e-24,2.38373321176405e-25,3.83081886805115e-25,6.05685947016228e-26,NA,NA,22.3861248490045,20.3956435551805,20.9485799820456,20.7717101682409,19.8686129365627,21.083284891491,19.5206473967466,17.6810530887749,17.5055362792406,16.2392111188952,16.2266442154887,15.9178479888535,15.3038131505508,13.9689030116271,13.1363153744425,11.5777177689906,11.3885581152829,8.33055623014837,8.86343927560943,9.07023791714683,5.17512838691948
