pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast,database,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
HALLMARK_MYC_TARGETS_V1,2.1703406131722762e-4,1e-10,0.5188480777437918,0.37286374644976306,1.7133429930250097,128,PSMD7;RPL22;RPS10;SNRPD3;PSMD14;PSMC6;HNRNPR;RPS2;HPRT1;MRPL9;RPS5;PSMC4;LDHA;KPNB1;RPS3;PGK1;IARS1;SET;RPS6;RACK1;RPL6;CCT5;FAM120A;PSMD3;IMPDH2;CCT7;RPLP0;PA2G4;RPL34;G3BP1;EIF3D;CCT4;PRDX4;EIF4A1;MRPS18B;PSMA1;HSPE1;C1QBP;ACP1;TUFM;RPL18;CCT3;PSMA2;PSMD8;PSMA6;EIF2S1;EIF3J;PSMA4;PSMA7,Reversal,Hallmark,1,0,32,16,0,0.5585053606381855,0.2792526803190927,MYC Targets V1
HALLMARK_MYOGENESIS,9.950511653337838e-4,2e-10,0.45505986738722953,0.3748395240935446,1.6601009798384414,103,MYBPH;DES;TNNI2;ENO3;ACTN2;SPEG;MYH2;CSRP3;MYL1;TNNT3;COL15A1;TPM2;SMTN;HSPB2;HRC;COX6A2;MYOM1;MYOZ1;CRYAB;CASQ1;MYOM2;TNNC2;ACTN3;ACTA1;GSN;COL3A1;FXYD1;AKT2;HSPB8;CAMK2B;AGL;TPM3;MYH9;ANKRD2;PDLIM7;MYH7;MAPRE3;TAGLN;LAMA2;MYH1;TCAP;COL1A1;PDE4DIP;MYH3;MYH4;FHL1;TNNT1,Reversal,Hallmark,2,35,67,51,0.6108652381980153,1.1693705988362006,0.890117918517108,Myogenesis
GOBP_CYTOPLASMIC_TRANSLATION,1.4311360413393977e-23,3e-10,1.2545134794370567,0.6777400471583119,3.0590482692531715,116,RPS7;RPL24;RPL22;RPS10;RPS3A;EIF3C;RPL23A;RPS15;RPS19;RPL37A;RPL10;RPL23;RPS21;RPL38;RPS25;RPS2;RPS12;RPL17;RPL35;EEF2;RPS23;RPS20;RPS17;RPS14;RPS5;RPL32;EIF3G;EIF2B1;RPS18;RPL19;RPL31;RPS3;RPS13;RPS27;RPS6;RACK1;RPS16;DRG2;EIF3M;RPS24;RPL27A;RPL6;RPSA;RPL28;RPS27A;RPL30;SH3BGRL;RPLP2;AKT2;RPS4X;EIF3I;RPL11;YBX3;EIF3A;RPLP0;RPL5;RPL36;EIF5;RPL34;EIF3D;RPL35A;RPL29;RPL12;EIF3K;EIF4A1;EIF3L;RPS8;RPL13A;RPL26;EIF2S3;RPL18;RPS15A;RPLP1;PKM;RPL4;RPL7A;RPS26;EIF3J;RPL13;RPL18A;RPS11;YBX1;EEF1D;EIF2B3;RPL7;EIF3B;EIF3E;RPL14;EIF2S2;RPS9;RPL10A;SARS1;RPL8,Reversal,GO:BP,3,70,102,86,1.2217304763960306,1.780235837034216,1.5009831567151233,Cytoplasmic Translation
GOBP_TRANSLATION,3.417766800338244e-21,4e-10,1.1866509527928102,0.5186032063352835,2.6395623725250514,245,RPS7;RPL24;EEF1G;RPL22;RPS10;RPS3A;EIF3C;RPL23A;RPS15;RPS19;RPL37A;RPL10;RPL23;RPS21;EEFSEC;RPL38;CAPRIN1;RPS25;RPS2;BZW1;RPS12;RPL17;RPL35;EEF2;RPS23;RPS20;RPS17;NACA;RPS14;CELF1;MRPL9;RPS5;RPL32;RPL36AL;NARS1;EIF3G;EIF2B1;RPS18;RPL19;PPP1CA;RPL31;RPS3;GAPDH;RPS13;HSPB1;IARS1;RPS27;RPS6;RACK1;HBS1L;RPS16;DRG2;EIF3M;RPS24;RPL27A;RPL6;RPSA;RPL28;EEF1A2;RPS27A;RPL30;SH3BGRL;MRPL13;RPLP2;AKT2;RPS4X;EIF3I;RPL11;RBM3;YBX3;EIF3A;MRPL1;RPLP0;RPL5;MRPS21;PA2G4;RPL36;MRPL22;DDX3X;EIF5;YARS1;RPL34;EIF3D;RPL35A;DDRGK1;RPL29;RPL12;EIF3K;EIF4A1;EIF3L;EEF1A1;MRPS18B;RPS8;C1QBP;FXR1;EIF2A;RPL13A;RPL26;EIF2S3;MRPS18A;TUFM;RPL18;GCN1;RPS15A;RARS1;LARS1;RPLP1;PKM;PELO;RPL4;RPL7A;EIF2S1;RPS26;EIF3J;RPL13;QARS1;RPL18A;RPS11;YBX1;EEF1D,Reversal,GO:BP,4,105,137,121,1.8325957145940461,2.3911010752322315,2.111848394913139,Translation
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,8.946765647272793e-17,5e-10,1.0574635727508575,0.6129751797788563,2.7730733855598837,114,MYBPH;RPL24;SYNPO2L;OBSCN;SQSTM1;TTN;MSN;RPS15;LMOD2;RPS19;PLEC;FLNC;NEB;FLNA;NRAP;RPL38;TPM1;CAPRIN1;ACTN2;MYOM3;CSRP3;CSRP1;RPS23;CAPN3;TNNT3;RPS14;RPS5;LCP1;DYNC1H1;KPNB1;RPS3;TMOD4;MAPT;EZR;MYOM1;MYOZ1;RPS27;CASQ1;RPS6;MYOM2;TUBB;ACTA1;RPSA;GSN;WDR1;UBAP2L;MAPRE1;MYBPC2;RPL11;RPL5;LMOD3;FSCN1;DDX3X;EIF5;G3BP1;KLHL41;C1QBP;FXR1;EIF2A;MAPRE3;CAPG;TMOD1;EIF2S1;TCAP;MYPN;MYH3;SBDS;MYBPC1;TNNT1;MYL9,Reversal,GO:BP,5,140,172,156,2.443460952792061,3.0019663134302466,2.722713633111154,Membraneless Organelle Assembly
HALLMARK_FATTY_ACID_METABOLISM,1.0700094408668506e-6,6e-10,0.6435518361507222,-0.4855414570150752,-2.1256200449125857,83,IDI1;MAOA;HADHB;PRDX6;HMGCL;HADH;ECI1;CPT2;CRAT;ACAA2;ACADS;ECHS1;MDH1;ACADM;MCEE;ACO2;ACADVL;ECH1;HSDL2;GLUL;ALDH9A1;CA2;MLYCD;GCDH;SDHA;ECI2;ACSL1;ACAA1;HCCS;ALDH1A1;SUCLA2;GPD2;ACOT2;LGALS1;YWHAH;SUCLG1;IDH1;PCBD1,Reversal,Hallmark,6,180,212,196,3.141592653589793,3.7000980142279785,3.420845333908886,Fatty Acid Metabolism
HALLMARK_ADIPOGENESIS,1.7422133795736504e-5,7.000000000000001e-10,0.5756102610711286,-0.4255243535383665,-1.9748368207900386,109,PLIN2;HADH;SLC27A1;TST;CPT2;CRAT;ACAA2;GPX3;MCCC1;TALDO1;ACADS;COQ5;ETFB;ECHS1;FABP4;ACADM;ADIPOQ;ACO2;ECH1;FAH;ALDH2;C3;YWHAG;COQ9;ITGA7;DBT;SDHB;COQ3;GPHN;CS;SULT1A1;CAVIN2;GPD2;SUCLG1;UBQLN1;IDH1;PREB;MYLK;APOE;SOD1;DLD;IMMT;SSPN;BCL2L13;STOM;CMBL;CAVIN1;AK2;ATP5PO;PPM1B;ORM1;MDH2,Reversal,Hallmark,7,215,247,231,3.752457891787808,4.310963252425994,4.031710572106902,Adipogenesis
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.0591853966673027e-4,8e-10,0.49849310876659025,-0.3545263892222968,-1.7457693195115995,155,ALDH6A1;HADHB;MAOB;HADHA;FXN;ACAT1;ETFA;ECI1;ACAA2;ETFB;ECHS1;TIMM10;IDH2;MDH1;VDAC1;ACADM;ATP6V1G1;ACO2;ACADVL;ECH1;ACADSB;CYB5A;SDHB;SDHA;CYB5R3;MPC1;MFN2;CS;ACAA1;COX11;PDP1;HCCS;LDHB;SUCLA2;TIMM50;SUCLG1;ATP5F1D;ATP5PD;IDH1;ATP5F1C;VDAC3;SDHD;DLD;SLC25A20;IMMT;PHB2;FDX1;GOT2;ATP5PB;TOMM70;FH;NNT;ATP5PO,Reversal,Hallmark,8,250,282,266,4.363323129985823,4.921828490624009,4.642575810304916,OXPHOS
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,7.139551308616381e-16,9e-10,1.027669870543582,-0.6430353982463228,-2.859208636587539,86,ALDH6A1;MPST;HADHB;HADHA;DCXR;ACAT1;HMGCL;GPT2;HADH;ALDH5A1;ETFA;TST;ECI1;CPT2;CRAT;ACAA2;MCCC1;RIDA;ACADS;ETFB;ECHS1;ALDH4A1;ACADM;CPT1B;PLIN5;ADIPOQ;MCEE;ACADVL;ECH1;GPT;FAH;PCCB;GLUL;ACADSB;PCCA;IVD;MLYCD;ECHDC2;GCDH;DBT;ECI2;ACAD8;GOT1;ACAA1,Reversal,GO:BP,9,285,317,301,4.97418836818384,5.532693728822025,5.253441048502932,Organic Acid Catabolism
GOBP_ORGANIC_ACID_METABOLIC_PROCESS,1.7539475305912042e-14,1e-9,0.9759946830643197,-0.44588111674981895,-2.3161725683622234,254,ALDH6A1;MPST;HADHB;HADHA;DCXR;ACAT1;GSTO1;HMGCL;GPT2;HADH;ALDH5A1;SLC27A1;ETFA;TST;ECI1;CPT2;CRAT;ACAA2;MCCC1;RIDA;GALK1;ACADS;ETFB;ECHS1;ALDH4A1;IDH2;ADH1B;HAGH;MDH1;ACSS2;VDAC1;ACADM;CPT1B;ASAH1;PLIN5;ADIPOQ;STAT5B;ACSF2;DDAH2;MCEE;ACO2;GSTP1;ASS1;ACADVL;ECH1;ECHDC3;GPT;GAMT;FAH;PCCB;GLUL;ACADSB;PCCA;IVD;MLYCD;ECHDC2;CBR4;FABP3;MECP2;C3;GCDH;DBT;SDHB;SDHA;FN3K;GPX1;FABP5;ECI2;ACSL1;APOC2;ACAD8;BPNT1;GOT1;MECR;CS;ACAA1;FAHD2A;PANK4;SULT1A1;DBI;HIBADH;SHMT1;ALDH1A1;AKR1B1;L2HGDH;ACO1;LDHB;TIGAR;BCAT2,Reversal,GO:BP,10,320,352,336,5.585053606381854,6.14355896702004,5.8643062867009474,Organic Acid Metabolism
