gene,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Training_Old,pi_score_Reversal,significance,quadrant,imputed
S100A16,-0.7504,0.4447,0.204374,0.441128,0.0504,NS,Reversed (Aging Down / Training Up),TRUE
CCDC137,-0.941,-0.2164,0.064207,0.89768,0.46264,NS,Exacerbated Down,TRUE
MYOZ3,-0.6897,0.3686,0.094046,0.685845,0.068249,NS,Reversed (Aging Down / Training Up),TRUE
MYOZ2,-0.6214,-0.4155,0.390677,0.660571,0.956214,NS,Exacerbated Down,TRUE
TXNDC12,0.4374,-0.5899,0.658302,0.229264,0.117193,NS,Reversed (Aging Up / Training Down),TRUE
ZNF33A,-0.7869,-0.2386,0.127161,0.856594,0.623656,NS,Exacerbated Down,FALSE
S100A6,-0.457,0.532,0.513141,0.290197,0.099192,NS,Reversed (Aging Down / Training Up),TRUE
TNNC2,-0.7139,0.2582,0.065563,0.749678,0.050802,NS,Reversed (Aging Down / Training Up),FALSE
UBAP2L,-0.4968,0.4478,0.343066,0.352505,0.07187,NS,Reversed (Aging Down / Training Up),TRUE
ACTA1,-0.601,0.3426,0.166007,0.567564,0.060568,NS,Reversed (Aging Down / Training Up),FALSE
NPC2,0.8883,-0.0483,0.052781,0.988648,0.071339,NS,Reversed (Aging Up / Training Down),TRUE
TPM3,-0.7521,0.1787,0.090352,0.903445,0.123897,NS,Reversed (Aging Down / Training Up),FALSE
SRM,0.7678,0.1404,0.16434000000000001,0.939275,0.480308,NS,Exacerbated Up,TRUE
IGLC2,0.5748,0.326,0.202707,0.60662,0.882048,NS,Exacerbated Up,FALSE
ALDH1B1,-0.4934,0.4064,0.311512,0.397755,0.069229,NS,Reversed (Aging Down / Training Up),TRUE
DAZAP1,-0.5376,0.3576,0.560631,0.713922,0.339997,NS,Reversed (Aging Down / Training Up),TRUE
ACTB,-0.614,0.2624,0.121925,0.717279,0.074904,NS,Reversed (Aging Down / Training Up),FALSE
DRG2,-0.4139,0.4616,0.399608,0.282005,0.06891,NS,Reversed (Aging Down / Training Up),TRUE
SVIL,-0.6424,-0.2304,0.070324,0.750971,0.620124,NS,Exacerbated Down,TRUE
MYL9,-0.4452,0.4234,0.703437,0.499694,0.314086,NS,Reversed (Aging Down / Training Up),TRUE
SERPINH1,0.0472,0.8207,0.996347,0.096339,0.45743,NS,Exacerbated Up,TRUE
COL1A1,-0.8348,0.0278,0.090389,0.998349,0.262257,NS,Reversed (Aging Down / Training Up),TRUE
SPATA20,-0.6285,0.2271,0.269952,0.844168,0.218591,NS,Reversed (Aging Down / Training Up),TRUE
IGKC,0.4834,0.3675,0.222727,0.386798,0.968134,NS,Exacerbated Up,FALSE
MYH4,-0.7786,0.0705,0.13945,0.988739,0.284952,NS,Reversed (Aging Down / Training Up),TRUE
SEC61B,0.3583,-0.488,0.791164,0.376991,0.308454,NS,Reversed (Aging Up / Training Down),TRUE
FTL,0.4344,0.4105,0.678967,0.650955,0.999436,NS,Exacerbated Up,TRUE
IFT81,-0.7544,-0.0873,0.194472,0.984962,0.533466,NS,Exacerbated Down,TRUE
COX6A2,-0.666,0.1738,0.051612,0.85404,0.059673,NS,Reversed (Aging Down / Training Up),TRUE
SSR4,-0.608,0.2301,0.201753,0.690374,0.086308,NS,Reversed (Aging Down / Training Up),TRUE
CARNS1,-0.3806,0.4533,0.48382,0.221116,0.075155,NS,Reversed (Aging Down / Training Up),TRUE
C6orf136,-0.28,-0.5526,0.807425,0.281542,0.893814,NS,Exacerbated Down,TRUE
COL1A2,-0.7415,-0.0832,0.24936,0.986704,0.563833,NS,Exacerbated Down,TRUE
GLUL,0.5616,-0.2587,0.219621,0.607322,0.072112,NS,Reversed (Aging Up / Training Down),TRUE
DHCR24,-0.5953,0.2222,0.121626,0.689871,0.051066,NS,Reversed (Aging Down / Training Up),TRUE
TRMT112,-0.6732,0.1414,0.149381,0.905701,0.125228,NS,Reversed (Aging Down / Training Up),TRUE
F13A1,0.6863,0.1254,0.077875,0.913755,0.352027,NS,Exacerbated Up,TRUE
NUDT2,-0.3448,0.4665,0.652263,0.314199,0.154166,NS,Reversed (Aging Down / Training Up),TRUE
RRAD,-0.3083,0.5029,0.728245,0.224694,0.150081,NS,Reversed (Aging Down / Training Up),TRUE
ECHDC3,0.4455,-0.3502,0.288108,0.397384,0.060919,NS,Reversed (Aging Up / Training Down),TRUE
ATL2,-0.3279,-0.4612,0.486932,0.11103,0.948552,NS,Exacerbated Down,TRUE
CORO6,-0.6121,0.1714,0.093781,0.872211,0.114692,NS,Reversed (Aging Down / Training Up),TRUE
MYLK2,-0.2271,-0.5514,0.773533,0.062855,0.724332,NS,Exacerbated Down,FALSE
MYH7,-0.5233,0.2547,0.347683,0.788156,0.235364,NS,Reversed (Aging Down / Training Up),FALSE
SPRED2,0.7459,0.0213,0.080105,0.998753,0.295548,NS,Exacerbated Up,FALSE
COL4A1,-0.6848,-0.0795,0.215816,0.984086,0.527712,NS,Exacerbated Down,TRUE
EZR,-0.5666,0.197,0.081302,0.788352,0.071119,NS,Reversed (Aging Down / Training Up),TRUE
FTH1,0.6425,0.1209,0.106381,0.945692,0.493981,NS,Exacerbated Up,FALSE
SOD3,0.3234,-0.4321,0.644741,0.25055,0.129156,NS,Reversed (Aging Up / Training Down),TRUE
MLYCD,0.7183,-0.0278,0.05648,0.996346,0.122081,NS,Reversed (Aging Up / Training Down),TRUE
