gene,pathway,database,cluster
DHRS7C,Unmapped,NA,C1
SMTNL1,Unmapped,NA,C1
EML1,Unmapped,NA,C1
KPNA4,GOBP_CELL_CELL_SIGNALING,GO:BP,C1
FBP2,HALLMARK_GLYCOLYSIS,Hallmark,C1
PDXK,GOBP_ALDEHYDE_METABOLIC_PROCESS,GO:BP,C1
GAPDHS,HALLMARK_GLYCOLYSIS,Hallmark,C1
IMPA2,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
PDCD5,Unmapped,NA,C1
XPO1,Unmapped,NA,C1
ATP2A1,Unmapped,NA,C1
SYNJ2,Unmapped,NA,C1
ARPC2,Unmapped,NA,C1
PFDN6,Unmapped,NA,C1
MAPK13,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
SLC16A3,HALLMARK_GLYCOLYSIS,Hallmark,C1
YKT6,HALLMARK_PROTEIN_SECRETION,Hallmark,C1
ARPC5,Unmapped,NA,C1
DHX15,Unmapped,NA,C1
CYB5B,Unmapped,NA,C1
TPD52L2,Unmapped,NA,C1
LAT,GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,GO:BP,C1
DNPH1,GOBP_PURINE_NUCLEOTIDE_CATABOLIC_PROCESS,GO:BP,C1
BUB3,Unmapped,NA,C1
PRKAB2,Unmapped,NA,C1
SLC37A4,HALLMARK_GLYCOLYSIS,Hallmark,C1
PRPSAP2,Unmapped,NA,C1
TBC1D4,Unmapped,NA,C1
SNX2,HALLMARK_PROTEIN_SECRETION,Hallmark,C1
USO1,GOBP_GOLGI_ORGANIZATION,GO:BP,C1
TOM1,Unmapped,NA,C1
PFDN1,Unmapped,NA,C1
COBL,Unmapped,NA,C1
GGCT,Unmapped,NA,C1
VPS4B,HALLMARK_PROTEIN_SECRETION,Hallmark,C1
SH3BGRL,Unmapped,NA,C1
TIPRL,Unmapped,NA,C1
PSMD10,Unmapped,NA,C1
IDH1,HALLMARK_GLYCOLYSIS,Hallmark,C1
DCTN3,Unmapped,NA,C1
FLOT1,GOBP_CELL_CELL_SIGNALING,GO:BP,C1
DDAH1,GOBP_VASCULATURE_DEVELOPMENT,GO:BP,C1
PLPBP,GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,GO:BP,C1
ZRANB2,Unmapped,NA,C1
PGM3,Unmapped,NA,C1
H6PD,GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,GO:BP,C1
OXSR1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1
BAG2,Unmapped,NA,C1
EML2,Unmapped,NA,C1
BPNT1,HALLMARK_GLYCOLYSIS,Hallmark,C1
MOCS2,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
CYB5A,HALLMARK_GLYCOLYSIS,Hallmark,C1
ADH1B,Unmapped,NA,C1
LDHA,HALLMARK_GLYCOLYSIS,Hallmark,C1
