gene,cluster,membership
MMP24OS,C2,0.9999677431144235
ESYT2,C3,0.99332653464548
ILVBL,C4,0.6829720025880829
FSD2,C4,0.9894798145606326
TARS3,C2,0.9998520107873111
VWA8,C2,0.9997879227394438
CARNS1,C3,0.9369006559221954
MAP1LC3B2,C4,0.9999459125998124
PGP,C2,0.7663232080251899
DHRS7C,C1,0.5753347397154795
SMTNL1,C1,0.8930541328093898
NUDT19,C2,0.9996554370194789
NACA,C3,0.9999936277838051
SLC35A4,C4,0.9022174788224074
PDLIM1,C4,0.9272753074172111
MYO1C,C3,0.816359526131921
FXYD1,C3,0.6964663178010393
STXBP3,C4,0.709753034603778
NDUFS8,C2,0.9999698418902659
PSMD11,C3,0.959823699630133
PSMD12,C3,0.9943862827307106
PSMD9,C3,0.6423706072720349
PGRMC1,C3,0.5481559158511995
CLIC1,C3,0.9177351119629226
EIF3F,C3,0.9778659674833753
PDHX,C2,0.9999975151047961
DCTN6,C3,0.9998174674928145
IPO5,C3,0.9311360586819636
EEF2K,C1,0.48746544562244565
EML1,C1,0.9759947873126639
DNM1L,C2,0.9785284810038033
RTCA,C2,0.8486219937643751
NDUFA4,C2,0.9995319964201493
PSMD14,C3,0.9978613165971781
BIN1,C3,0.9991636474657879
KPNA3,C3,0.9979881286334531
DDX3X,C4,0.9972282933549024
KPNA4,C1,0.8515551606107399
CES2,C2,0.7262871264576861
FBP2,C1,0.9722126846768935
PDXK,C1,0.9711646917518094
SDHD,C2,0.9685201743559524
COX7A2L,C2,0.9974096415658007
GAPDHS,C1,0.7998927637603187
HSPB6,C3,0.6377959535387165
NDUFAB1,C2,0.9999316120234493
IMPA2,C1,0.9996177750610287
PDCD5,C1,0.848327719848995
PRMT5,C3,0.9722605091971889
PSMA7,C3,0.7967832319140923
OPLAH,C2,0.9592642351378251
MGST3,C2,0.9148162670368813
RGS12,C2,0.5046514797701492
HAT1,C4,0.7600466178400195
UQCRQ,C2,0.9999977850319182
MYL12B,C2,0.5536532962477131
UQCR11,C2,0.9999459191047135
CASQ2,C3,0.9976140775823704
HGS,C3,0.6066573134744886
HNRNPDL,C4,0.5843289739110613
XPO1,C1,0.9975304017894635
ATP2A1,C1,0.9986075071421316
