cluster,age,time,mean_val,se_val,time_num
C1,Old,Post,20.557875810346466,0.0267410676622223,2
C1,Old,Pre,20.517473822143955,0.021513883953209745,1
C1,Young,Post,20.72189260014536,0.04531682491251317,2
C1,Young,Pre,20.572094554513033,0.028009247852209245,1
C2,Old,Post,20.45236687482916,0.04881936606333067,2
C2,Old,Pre,20.369083128377852,0.07599026463386738,1
C2,Young,Post,20.487256531884107,0.07299590464716563,2
C2,Young,Pre,20.655078935602866,0.05178608549154935,1
C3,Old,Post,21.031268893606665,0.0421873490701856,2
C3,Old,Pre,21.03468214767158,0.058374400238374306,1
C3,Young,Post,20.84828615436796,0.03561706109865519,2
C3,Young,Pre,20.943137243658093,0.03507220855926009,1
C4,Old,Post,20.8505332842916,0.03993160403576824,2
C4,Old,Pre,20.894744318703285,0.03508157666495407,1
C4,Young,Post,20.837906847367766,0.024063032053331452,2
C4,Young,Pre,20.90388747178862,0.024440720151235596,1
