gene,pathway,database,cluster
ESYT2,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
CARNS1,Unmapped,NA,C1
NACA,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C1
MYO1C,Unmapped,NA,C1
FXYD1,Unmapped,NA,C1
PSMD11,Unmapped,NA,C1
PSMD12,HALLMARK_MTORC1_SIGNALING,Hallmark,C1
PSMD9,Unmapped,NA,C1
PGRMC1,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
CLIC1,GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM,GO:CC,C1
EIF3F,Unmapped,NA,C1
DCTN6,Unmapped,NA,C1
IPO5,Unmapped,NA,C1
PSMD14,HALLMARK_MTORC1_SIGNALING,Hallmark,C1
BIN1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C1
KPNA3,Unmapped,NA,C1
HSPB6,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C1
PRMT5,Unmapped,NA,C1
PSMA7,Unmapped,NA,C1
CASQ2,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
HGS,Unmapped,NA,C1
ARPC1B,Unmapped,NA,C1
PGRMC2,Unmapped,NA,C1
SURF4,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
EIF3H,Unmapped,NA,C1
STX7,GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM,GO:CC,C1
DYNC1LI2,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C1
PSMD3,Unmapped,NA,C1
TXNL1,Unmapped,NA,C1
ERI3,Unmapped,NA,C1
TRAPPC3,Unmapped,NA,C1
GSTZ1,Unmapped,NA,C1
AP1G1,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
SYNGR2,Unmapped,NA,C1
NARS1,Unmapped,NA,C1
CALU,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
AHCYL1,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
PPP1R12B,Unmapped,NA,C1
SPAG9,GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM,GO:CC,C1
SYNCRIP,Unmapped,NA,C1
KLHL41,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
PLIN3,Unmapped,NA,C1
KPNA6,Unmapped,NA,C1
EDF1,Unmapped,NA,C1
DNAJA2,Unmapped,NA,C1
CUTA,Unmapped,NA,C1
WDR1,Unmapped,NA,C1
CPNE3,Unmapped,NA,C1
CAND2,Unmapped,NA,C1
RTN2,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
TBCA,Unmapped,NA,C1
ATP6V1G1,Unmapped,NA,C1
FLNB,HALLMARK_MITOTIC_SPINDLE,Hallmark,C1
SEC22B,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
VPS26A,Unmapped,NA,C1
EIF3G,GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM,GO:CC,C1
ARL6IP5,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
DYSF,Unmapped,NA,C1
GLRX3,Unmapped,NA,C1
TMEM63A,Unmapped,NA,C1
SEC31A,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
MFN2,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C1
RTN3,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
STBD1,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
TACC2,Unmapped,NA,C1
LYPLA2,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
IPO7,Unmapped,NA,C1
AHSA1,Unmapped,NA,C1
ACSL3,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
CDS2,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
SNAP29,Unmapped,NA,C1
AP2A1,Unmapped,NA,C1
DDAH2,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C1
ABHD16A,Unmapped,NA,C1
TXNDC12,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C1
CLPTM1,Unmapped,NA,C1
PEX11B,Unmapped,NA,C1
CYB5R3,GOCC_ORGANELLE_SUBCOMPARTMENT,GO:CC,C1
GSR,HALLMARK_MTORC1_SIGNALING,Hallmark,C1
F13A1,Unmapped,NA,C1
HPRT1,HALLMARK_MTORC1_SIGNALING,Hallmark,C1
MT-ATP6,Unmapped,NA,C1
CST3,Unmapped,NA,C1
MB,Unmapped,NA,C1
CRYAB,GOCC_CELL_BODY,GO:CC,C1
TFRC,GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM,GO:CC,C1
FTL,Unmapped,NA,C1
ANXA1,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C1
