ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,database,cluster
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,39/267,86/1024,0.45348837209302323,1.7392213221844786,4.251750774100608,4.16897907018752e-5,0.0014815086728287104,0.0013312658164057732,PSMD12/PSMD14/ACSL3/GSR/HPRT1/TFRC/RPN1/EPRS1/HSPA5/HSP90B1/ATP2A2/PFKL/WARS1/PSMA3/CALR/CANX/PSMB5/STIP1/HSPA4/PSMC2/CCT6A/PSMC4/GSK3B/SERPINH1/ACTR2/UFM1/PSMC6/ETF1/PPIA/TUBA4A/GBE1/ACACA/PDAP1/PPA1/COPS5/ERO1A/CACYBP/PSMD13/UCHL5,39,Hallmark,C1
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,20/267,35/1024,0.5714285714285714,2.1915462814339217,4.257869041778269,7.226871574774197e-5,0.0014815086728287104,0.0013312658164057732,BIN1/FLNB/GSN/EZR/VCL/FLNA/MARCKS/CLIP1/KIF5B/PAFAH1B1/PXN/YWHAE/TUBA4A/SPTBN1/KLC1/SPTAN1/DYNC1H1/MAPRE1/FSCN1/SEPTIN9,20,Hallmark,C1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,16/267,32/1024,0.5,1.9176029962546817,3.130541633284356,0.0027555290291024254,0.037658896731066475,0.033839830181959615,SEC31A/HSPA5/EEF2/HSP90B1/TARS1/CALR/KIF5B/IARS1/EIF4G1/DCTN1/DNAJA4/KHSRP/ERO1A/PREB/HYOU1/SRPRB,16,Hallmark,C1
GO:0046907,intracellular transport,123/553,284/2061,0.43309859154929575,1.6141341721213354,6.747986803297014,6.698964822289502e-11,8.471971783609483e-8,7.441861483521969e-8,MYO1C/IPO5/BIN1/KPNA3/HGS/SURF4/STX7/TRAPPC3/AP1G1/AHCYL1/SPAG9/KPNA6/RTN2/VPS26A/SEC31A/STBD1/TACC2/IPO7/AP2A1/CRYAB/HSPB1/ATP1B1/P4HB/ANXA2/TUBB/HSP90AA1/CLTB/UCHL1/HSPA1A/MAPT/HSPA5/HSPA8/LAMP1/LCP1/HSP90B1/EZR/ATP2A2/PRKACA/RAB6A/FLNA/SCP2/MSN/PLN/CALR/MAPK1/KIF5B/HSPA4/COPB2/PPM1A/ARL3/PAFAH1B1/ARCN1/GSK3B/RAB5C/RAB7A/BCAP31/KPNA1/COPA/SEC24C/PRKAG1/NAPA/CSE1L/VCP/SEC61B/ROMO1/RAB10/ACTR2/SEC61A1/NPC2/UFM1/YWHAE/RAN/AP2B1/DYNLL1/TUBA1B/ARF5/CLTC/REEP5/HNRNPU/PTPN11/ARHGAP1/AP1B1/TRIM28/DYNC1I2/TMED1/PICALM/SCARB2/DCTN1/DYNC1H1/KPNB1/EEA1/SEC23A/RAB11B/RABL3/LAMTOR1/SYNE2/UFD1/TNPO1/USP9X/ERGIC1/AP2M1/SNF8/VPS13A/VPS25/AP1M1/UBE2O/RAB1B/CHMP4B/EHD1/PREB/RAB18/VTA1/SAR1A/ARL8B/CHMP5/CNIH4/BCAP29/XPO7/VPS28/APPL1/NUDC/HYOU1/DYNC1LI1,123,GO:BP,C1
GO:0007049,cell cycle,89/553,195/2061,0.4564102564102564,1.7010154402559465,6.228515860620468,2.1726707472389914e-9,1.1216494347132741e-6,9.85267649540093e-7,DCTN6/IPO5/BIN1/PRMT5/TACC2/IPO7/ANXA1/ITGB1/TUBB/HSP90AB1/HSPA1A/GSPT1/EZR/PRKACA/FLNA/RPS3/CALR/MAP4/RBL1/PPP2R1A/CLIP1/AKT2/PPM1A/ARL3/NAA10/PAFAH1B1/BAG6/IQGAP1/NES/DNM2/HSPA2/VCP/ARPP19/ROMO1/ACTR2/RPS15A/YWHAE/TMSB4X/RPS6/RAN/DYNLT1/TUBA1B/TUBA4A/TUBB4B/EIF4G2/PRKDC/CLTC/HNRNPU/SPTBN1/EIF4G1/PTPN11/PSME1/ANK3/ILK/DCTN2/CUL2/CUL4A/FHL1/DCTN1/DYNC1H1/KPNB1/SEPTIN2/PLEC/MAPRE1/TBCE/SEPTIN7/DDB1/KLHDC8B/NEK9/COPS5/USP9X/PDXP/DDRGK1/TUBB6/NAA50/CHMP4B/ARL8B/CHMP5/SEPTIN9/APPL1/PSME2/PSMD13/MAPRE3/RUVBL2/NUDC/SUGT1/SBDS/UCHL5/DYNC1LI1,89,GO:BP,C1
GO:0007017,microtubule-based process,65/553,130/2061,0.5,1.8634719710669079,6.157781704485548,4.896651736799906e-9,1.7652429511163661e-6,1.5506063833199703e-6,DCTN6/DYNC1LI2/TACC2/CRYAB/HSPB1/ITGB1/TUBB/UCHL1/HSPA1A/MAPT/LAMP1/EZR/RAB6A/FLNA/RPS3/MAP4/PPP2R1A/CLIP1/DNAJA1/KIF5B/ARL3/PAFAH1B1/GSK3B/DNM2/PRKAA2/VCP/ACTR2/VBP1/RAN/DYNLL1/DYNLT1/TUBA1B/TUBA4A/TUBB4B/CLTC/HNRNPU/KLC1/PRKAA1/DYNC1I2/ILK/DCTN2/DCTN1/DYNC1H1/KPNB1/MAPRE1/TBCE/DDB1/PRUNE1/KTN1/SYNE2/VPS13A/TBCB/TUBB6/TPPP3/SLK/CHMP4B/ARL8B/CHMP5/MAPRE3/NUDC/SUGT1/MEMO1/SBDS/TLN1/DYNC1LI1,65,GO:BP,C1
GO:0006457,protein folding,47/553,88/2061,0.5340909090909091,1.9905268781851058,5.749625569619969,5.8780027580468204e-8,1.155829087786843e-5,1.0152913854808145e-5,HSPB6/DNAJA2/TBCA/AHSA1/CRYAB/HSPB1/P4HB/HSP90AA1/HSP90AB1/HSPA1A/HSPA5/HSPA8/PDIA4/HSP90B1/TCP1/PPIB/DNAJB2/CALR/CANX/DNAJA1/HSPA4/CCT6A/CCT5/CCT3/CCT8/CCT4/HSPA2/VBP1/B2M/PPIA/CCT2/PPID/HSPA14/TBCE/HSPB2/UNC45B/TXNDC5/DNAJA4/KHSRP/ERO1A/TBCB/PFDN5/CCT7/ERP44/RUVBL2/NUDC/HYOU1,47,GO:BP,C1
GO:0007051,spindle organization,27/553,45/2061,0.6,2.236166365280289,5.076138005755549,2.291393664422843e-6,2.753491386748117e-4,2.4186933124463347e-4,DCTN6/TACC2/TUBB/HSPA1A/EZR/FLNA/RPS3/MAP4/PPP2R1A/VCP/RAN/CLTC/HNRNPU/ILK/DCTN2/DCTN1/DYNC1H1/KPNB1/MAPRE1/TBCE/DDB1/CHMP4B/CHMP5/MAPRE3/NUDC/SUGT1/SBDS,27,GO:BP,C1
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,45/174,103/1024,0.4368932038834951,2.5711416136591896,7.603387193850879,1.1056347951267575e-11,4.3119757009943543e-10,3.724243520426973e-10,TCAP/LDB3/SVIL/COL1A1/COL3A1/TNNC2/MYL1/TPM3/TPM2/COL4A2/MYL3/MYL2/MYH3/COL6A2/COL6A3/MYH1/MYH7/MYH8/TNNT1/MYL6B/DES/TNNI1/LAMA2/MYH9/ACTN2/MYH11/COL15A1/TNNT3/TNNI2/MYOM1/MYOM2/SH3BGR/GABARAPL2/TNNC1/ACTA1/TAGLN/ACTN3/MYBPH/ITGA7/SPEG/MYOZ1/PDLIM7/HSPB8/MYH2/MYH4,45,Hallmark,C2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,22/174,48/1024,0.4583333333333333,2.6973180076628354,5.447056836523444,1.6423824454950087e-6,3.202645768715267e-5,2.7661178029389623e-5,COL1A1/COL3A1/COL4A1/TPM2/COL1A2/COL4A2/VIM/LGALS1/TPM1/LAMC1/COL6A2/COL6A3/BGN/TGM2/LAMA2/MYL9/FBN1/CAP2/FBLN2/TAGLN/CALD1/NID2,22,Hallmark,C2
