unmerged_color,merged_color
6,red
2,brown
0,grey
1,turquoise
9,magenta
3,blue
2,brown
7,black
0,grey
0,grey
4,yellow
1,turquoise
2,brown
1,turquoise
6,red
3,blue
1,turquoise
0,grey
6,red
4,yellow
4,yellow
0,grey
1,turquoise
2,brown
7,black
9,magenta
2,brown
2,brown
1,turquoise
5,green
3,blue
3,blue
9,magenta
2,brown
2,brown
1,turquoise
7,black
2,brown
3,blue
4,yellow
1,turquoise
9,magenta
6,red
0,grey
2,brown
6,red
4,yellow
0,grey
2,brown
2,brown
3,blue
6,red
1,turquoise
2,brown
6,red
6,red
6,red
0,grey
7,black
1,turquoise
4,yellow
4,yellow
8,pink
5,green
2,brown
3,blue
0,grey
4,yellow
6,red
2,brown
1,turquoise
5,green
0,grey
7,black
7,black
3,blue
2,brown
0,grey
0,grey
1,turquoise
0,grey
0,grey
4,yellow
6,red
1,turquoise
2,brown
3,blue
2,brown
1,turquoise
0,grey
0,grey
3,blue
4,yellow
4,yellow
1,turquoise
3,blue
1,turquoise
0,grey
6,red
6,red
6,red
0,grey
5,green
0,grey
4,yellow
0,grey
5,green
3,blue
0,grey
3,blue
1,turquoise
0,grey
4,yellow
3,blue
2,brown
2,brown
6,red
6,red
2,brown
5,green
2,brown
3,blue
1,turquoise
0,grey
7,black
1,turquoise
2,brown
0,grey
2,brown
0,grey
4,yellow
0,grey
0,grey
7,black
2,brown
1,turquoise
5,green
0,grey
2,brown
7,black
6,red
1,turquoise
4,yellow
4,yellow
2,brown
3,blue
1,turquoise
6,red
4,yellow
6,red
1,turquoise
5,green
0,grey
1,turquoise
1,turquoise
8,pink
2,brown
6,red
3,blue
2,brown
6,red
0,grey
6,red
3,blue
6,red
3,blue
5,green
7,black
7,black
6,red
4,yellow
4,yellow
6,red
3,blue
1,turquoise
4,yellow
4,yellow
4,yellow
9,magenta
0,grey
2,brown
2,brown
0,grey
4,yellow
9,magenta
4,yellow
9,magenta
2,brown
1,turquoise
0,grey
1,turquoise
9,magenta
4,yellow
0,grey
2,brown
8,pink
7,black
2,brown
2,brown
6,red
9,magenta
6,red
6,red
6,red
6,red
2,brown
3,blue
2,brown
8,pink
1,turquoise
5,green
6,red
6,red
3,blue
0,grey
1,turquoise
4,yellow
5,green
0,grey
5,green
0,grey
4,yellow
9,magenta
9,magenta
2,brown
5,green
0,grey
8,pink
1,turquoise
5,green
2,brown
0,grey
1,turquoise
2,brown
3,blue
9,magenta
0,grey
4,yellow
8,pink
3,blue
8,pink
3,blue
6,red
0,grey
0,grey
6,red
3,blue
3,blue
8,pink
0,grey
0,grey
3,blue
2,brown
2,brown
6,red
6,red
6,red
0,grey
8,pink
1,turquoise
2,brown
3,blue
1,turquoise
0,grey
8,pink
8,pink
4,yellow
8,pink
6,red
8,pink
8,pink
8,pink
8,pink
8,pink
0,grey
0,grey
1,turquoise
8,pink
8,pink
8,pink
8,pink
8,pink
8,pink
8,pink
8,pink
3,blue
0,grey
3,blue
5,green
5,green
5,green
2,brown
0,grey
5,green
5,green
8,pink
8,pink
8,pink
1,turquoise
8,pink
8,pink
8,pink
8,pink
1,turquoise
8,pink
0,grey
6,red
8,pink
6,red
5,green
6,red
0,grey
6,red
9,magenta
8,pink
4,yellow
3,blue
2,brown
0,grey
0,grey
1,turquoise
4,yellow
3,blue
2,brown
2,brown
7,black
4,yellow
0,grey
2,brown
1,turquoise
8,pink
0,grey
0,grey
9,magenta
8,pink
3,blue
3,blue
7,black
7,black
7,black
7,black
3,blue
8,pink
0,grey
0,grey
5,green
1,turquoise
5,green
7,black
3,blue
9,magenta
0,grey
2,brown
1,turquoise
0,grey
4,yellow
3,blue
0,grey
7,black
5,green
2,brown
1,turquoise
3,blue
3,blue
2,brown
5,green
3,blue
2,brown
0,grey
2,brown
3,blue
5,green
3,blue
2,brown
8,pink
5,green
2,brown
3,blue
2,brown
6,red
5,green
3,blue
5,green
0,grey
4,yellow
2,brown
1,turquoise
3,blue
9,magenta
5,green
6,red
5,green
8,pink
1,turquoise
0,grey
5,green
8,pink
7,black
1,turquoise
2,brown
7,black
1,turquoise
1,turquoise
6,red
4,yellow
0,grey
5,green
3,blue
4,yellow
7,black
5,green
2,brown
3,blue
1,turquoise
9,magenta
7,black
6,red
0,grey
1,turquoise
2,brown
1,turquoise
0,grey
5,green
2,brown
8,pink
8,pink
5,green
9,magenta
6,red
0,grey
0,grey
1,turquoise
9,magenta
0,grey
6,red
2,brown
4,yellow
4,yellow
3,blue
5,green
8,pink
6,red
2,brown
5,green
5,green
2,brown
8,pink
9,magenta
3,blue
0,grey
0,grey
6,red
8,pink
0,grey
3,blue
2,brown
1,turquoise
0,grey
1,turquoise
0,grey
0,grey
5,green
5,green
5,green
3,blue
4,yellow
2,brown
3,blue
0,grey
6,red
5,green
5,green
5,green
1,turquoise
0,grey
4,yellow
6,red
3,blue
3,blue
1,turquoise
5,green
1,turquoise
