gene,pathway,database,module
ETFB,organic acid catabolic process,GO:BP,blue
IDH2,Unmapped,NA,blue
CRAT,organic acid catabolic process,GO:BP,blue
MLYCD,organic acid catabolic process,GO:BP,blue
ETFA,organic acid catabolic process,GO:BP,blue
ALDH5A1,organic acid catabolic process,GO:BP,blue
HMGCL,organic acid catabolic process,GO:BP,blue
TST,organic acid catabolic process,GO:BP,blue
FH,Unmapped,NA,blue
MSRB2,Unmapped,NA,blue
PDP1,Unmapped,NA,blue
ACO2,Unmapped,NA,blue
PPIF,Unmapped,NA,blue
FXN,Unmapped,NA,blue
COQ5,Unmapped,NA,blue
PCCB,organic acid catabolic process,GO:BP,blue
ECHS1,organic acid catabolic process,GO:BP,blue
COQ7,Unmapped,NA,blue
GOT2,organic acid catabolic process,GO:BP,blue
ACAA2,organic acid catabolic process,GO:BP,blue
VWA8,Unmapped,NA,blue
ACAT1,organic acid catabolic process,GO:BP,blue
IARS2,Unmapped,NA,blue
MCCC1,organic acid catabolic process,GO:BP,blue
ACAD8,organic acid catabolic process,GO:BP,blue
HADHB,organic acid catabolic process,GO:BP,blue
TIMM9,Unmapped,NA,blue
TACO1,Unmapped,NA,blue
ECH1,organic acid catabolic process,GO:BP,blue
COQ8A,Unmapped,NA,blue
AFG3L2,Unmapped,NA,blue
CS,Unmapped,NA,blue
ECI1,organic acid catabolic process,GO:BP,blue
LONP1,Unmapped,NA,blue
CISD1,Unmapped,NA,blue
SUCLA2,cellular catabolic process,GO:BP,blue
HADHA,organic acid catabolic process,GO:BP,blue
CKMT2,Unmapped,NA,blue
MAOB,Unmapped,NA,blue
LETM1,Unmapped,NA,blue
IBA57,Unmapped,NA,blue
HIBADH,organic acid catabolic process,GO:BP,blue
HSDL2,Unmapped,NA,blue
MAOA,Unmapped,NA,blue
SUOX,Unmapped,NA,blue
ACSF2,Unmapped,NA,blue
OPLAH,Unmapped,NA,blue
ACADVL,organic acid catabolic process,GO:BP,blue
CBR4,Unmapped,NA,blue
MECR,Unmapped,NA,blue
ECI2,organic acid catabolic process,GO:BP,blue
HSPD1,Unmapped,NA,blue
AKR7A2,Unmapped,NA,blue
SFXN1,Unmapped,NA,blue
DCXR,organic acid catabolic process,GO:BP,blue
PPTC7,Unmapped,NA,blue
HADH,organic acid catabolic process,GO:BP,blue
NDUFAF2,Unmapped,NA,blue
ACADM,organic acid catabolic process,GO:BP,blue
ABHD11,Unmapped,NA,blue
PCCA,organic acid catabolic process,GO:BP,blue
TIMM50,Unmapped,NA,blue
HCCS,Unmapped,NA,blue
MCEE,organic acid catabolic process,GO:BP,blue
TIMM44,Unmapped,NA,blue
SDHA,Unmapped,NA,blue
ERMP1,Unmapped,NA,blue
CHDH,Unmapped,NA,blue
SUCLG1,cellular catabolic process,GO:BP,blue
IDI1,Unmapped,NA,blue
SIRT3,Unmapped,NA,blue
PLIN2,Unmapped,NA,blue
CPT2,organic acid catabolic process,GO:BP,blue
MICU1,Unmapped,NA,blue
L2HGDH,Unmapped,NA,blue
ACOT9,Unmapped,NA,blue
COQ3,Unmapped,NA,blue
TFAM,Unmapped,NA,blue
ASAH1,Unmapped,NA,blue
PLS3,Unmapped,NA,blue
DECR1,organic acid catabolic process,GO:BP,blue
SLC25A20,Unmapped,NA,blue
ACSL1,Unmapped,NA,blue
MRPL40,Unmapped,NA,blue
ATPAF2,Unmapped,NA,blue
TRMT10C,Unmapped,NA,blue
CTSZ,Unmapped,NA,blue
MRPL12,Unmapped,NA,blue
IVD,organic acid catabolic process,GO:BP,blue
ATP5IF1,Unmapped,NA,blue
SDHB,Unmapped,NA,blue
GSTK1,Unmapped,NA,blue
SDR39U1,Unmapped,NA,blue
CPT1B,organic acid catabolic process,GO:BP,blue
PMPCB,Unmapped,NA,blue
MCCC2,organic acid catabolic process,GO:BP,blue
NLRX1,Unmapped,NA,blue
HSD17B8,Unmapped,NA,blue
ACSS2,Unmapped,NA,blue
GPD1L,Unmapped,NA,blue
OCIAD1,Unmapped,NA,blue
HMGB2,Unmapped,NA,blue
BCAT2,organic acid catabolic process,GO:BP,blue
TIMM10,Unmapped,NA,blue
ALDH6A1,organic acid catabolic process,GO:BP,blue
HDHD5,Unmapped,NA,blue
FAHD1,Unmapped,NA,blue
EHD4,Unmapped,NA,blue
ACADSB,organic acid catabolic process,GO:BP,blue
SUGT1,Unmapped,NA,blue
CHCHD7,Unmapped,NA,blue
NAXD,Unmapped,NA,blue
COQ9,Unmapped,NA,blue
DIABLO,Unmapped,NA,blue
FGGY,Unmapped,NA,blue
CTSB,Unmapped,NA,blue
FAHD2A,Unmapped,NA,blue
EPDR1,Unmapped,NA,blue
CDC37,Unmapped,NA,blue
COA3,Unmapped,NA,blue
MRPS36,Unmapped,NA,blue
MMUT,Unmapped,NA,blue
PLIN4,Unmapped,NA,blue
SLC27A1,Unmapped,NA,blue
AK2,Unmapped,NA,blue
GLUL,organic acid catabolic process,GO:BP,blue
OPA1,Unmapped,NA,blue
MRPL19,Unmapped,NA,blue
SIRT5,Unmapped,NA,blue
FN3K,Unmapped,NA,blue
ETFDH,organic acid catabolic process,GO:BP,blue
WARS2,Unmapped,NA,blue
FAM185A,Unmapped,NA,blue
CHCHD4,Unmapped,NA,blue
HLA-B,Unmapped,NA,blue
CDC42,Unmapped,NA,blue
ECHDC2,organic acid catabolic process,GO:BP,blue
SF3B2,Unmapped,NA,blue
AUH,organic acid catabolic process,GO:BP,blue
MDH2,Unmapped,NA,blue
GPT,organic acid catabolic process,GO:BP,blue
LRPAP1,Unmapped,NA,blue
THAP4,Unmapped,NA,blue
OTUB1,Unmapped,NA,blue
SGTA,Unmapped,NA,blue
DNM1L,Unmapped,NA,blue
MDH1,Unmapped,NA,blue
APOO,Unmapped,NA,blue
TIAL1,Unmapped,NA,blue
LSS,Unmapped,NA,blue
GLRX5,Unmapped,NA,blue
GCDH,organic acid catabolic process,GO:BP,blue
DHRS11,Unmapped,NA,blue
PNPO,Unmapped,NA,blue
CTSG,Unmapped,NA,blue
TIMM13,Unmapped,NA,blue
DLST,organic acid catabolic process,GO:BP,blue
DPYSL2,Unmapped,NA,blue
ISCA2,Unmapped,NA,blue
TRAP1,Unmapped,NA,blue
