fcm_cluster,wgcna_module,n_overlap,odds_ratio,p_value,p_adj_bh,significant
C1,Black,3,0.058,5.6102818410117265e-15,1.063000769875906e-14,TRUE
C1,Blue,32,0.304,1.4169596070355539e-11,2.2178498197078237e-11,TRUE
C1,Brown,14,0.134,1.747714070235948e-20,5.2431422107078436e-20,TRUE
C1,Green,37,0.756,0.17081556571281042,0.18086354016650516,FALSE
C1,Magenta,0,0,5.2222623749351234e-9,7.520057819906577e-9,TRUE
C1,Pink,80,23.271,3.600526022871044e-37,2.1603156137226263e-36,TRUE
C1,Red,4,0.07,2.3408561383278577e-15,4.957107116458993e-15,TRUE
C1,Turquoise,140,2.718,3.669199641058799e-14,6.29005652752937e-14,TRUE
C1,Yellow,135,5.789,4.104204976091936e-32,1.8468922392413714e-31,TRUE
C2,Black,1,0.017,4.298397020049287e-19,1.1053020908698167e-18,TRUE
C2,Blue,218,13.227,7.028821417263934e-78,1.2651878551075082e-76,TRUE
C2,Brown,3,0.024,8.54350909565272e-36,4.393804677764256e-35,TRUE
C2,Green,6,0.083,5.245885033625505e-18,1.2590124080701213e-17,TRUE
C2,Magenta,61,46.24,5.168252883266849e-31,2.0673011533067396e-30,TRUE
C2,Pink,0,0,1.0184539901235225e-13,1.6665610747475825e-13,TRUE
C2,Red,125,16.948,1.2224068806821534e-50,1.1001661926139382e-49,TRUE
C2,Turquoise,48,0.398,3.5109455821196353e-9,5.266418373179453e-9,TRUE
C2,Yellow,12,0.128,4.1772897589163035e-19,1.1053020908698167e-18,TRUE
C3,Black,36,0.931,0.7663096043319475,0.7663096043319475,FALSE
C3,Blue,30,0.257,1.5889588467269537e-14,2.860125924108517e-14,TRUE
C3,Brown,241,51.613,2.7800764667023904e-129,1.0008275280128606e-127,TRUE
C3,Green,3,0.041,2.0669430026631956e-21,7.440994809587504e-21,TRUE
C3,Magenta,4,0.169,2.372126800973967e-5,2.9447091322435455e-5,TRUE
C3,Pink,11,0.349,4.23783602743953e-4,5.085403232927436e-4,TRUE
C3,Red,1,0.016,9.946834470021811e-21,3.255327644734411e-20,TRUE
C3,Turquoise,105,1.351,0.0269447017383283,0.030312789455619337,TRUE
C3,Yellow,40,0.54,5.319086837148196e-4,6.177004068946292e-4,TRUE
C4,Black,99,13.661,1.1145784675392738e-43,8.024964966282771e-43,TRUE
C4,Blue,14,0.169,2.713415785481992e-15,5.426831570963984e-15,TRUE
C4,Brown,8,0.105,6.493221486242419e-18,1.4609748344045443e-17,TRUE
C4,Green,129,17.564,1.0635982490565703e-61,1.2763178988678842e-60,TRUE
C4,Magenta,0,0,6.515381451422254e-7,8.37691900897147e-7,TRUE
C4,Pink,1,0.042,4.441012102578772e-8,6.149093680493684e-8,TRUE
C4,Red,21,0.632,0.06847326488359984,0.07469810714574528,FALSE
C4,Turquoise,33,0.399,3.0258890552627153e-7,4.034518740350287e-7,TRUE
C4,Yellow,38,0.802,0.2815765680260381,0.289621612826782,FALSE
