fcm_cluster,wgcna_module,n_overlap,odds_ratio,p_value,p_adj_bh,significant
C1,black,36,0.936,0.8423005853564193,0.8423005853564193,FALSE
C1,blue,30,0.258,1.6725252643974876e-14,2.8671861675385497e-14,TRUE
C1,brown,241,51.764,1.2914018700887484e-129,4.649046732319494e-128,TRUE
C1,green,3,0.041,3.677391257866002e-21,1.3238608528317609e-20,TRUE
C1,magenta,4,0.167,1.557649958682785e-5,1.933634431468285e-5,TRUE
C1,pink,11,0.342,3.0077207066641124e-4,3.6092648479969347e-4,TRUE
C1,red,1,0.016,1.9115588131552053e-20,5.734676439465616e-20,TRUE
C1,turquoise,106,1.339,0.028261717595668097,0.03179443229512661,TRUE
C1,yellow,40,0.544,6.98668371138998e-4,8.113568180969009e-4,TRUE
C2,black,99,13.696,8.835406740362265e-44,6.361492853060831e-43,TRUE
C2,blue,14,0.169,2.856276466401204e-15,5.712552932802408e-15,TRUE
C2,brown,8,0.105,1.1042046643804758e-17,2.4844604948560704e-17,TRUE
C2,green,130,18.228,4.465655566383533e-63,5.358786679660239e-62,TRUE
C2,magenta,0,0,6.749626716612229e-7,8.678091492787153e-7,TRUE
C2,pink,1,0.041,2.727538207965088e-8,3.776591364874737e-8,TRUE
C2,red,21,0.635,0.06838970922433381,0.07460695551745505,FALSE
C2,turquoise,33,0.391,1.5344737583698496e-7,2.0459650111597994e-7,TRUE
C2,yellow,38,0.805,0.2815965873440219,0.28964220412527963,FALSE
C3,black,1,0.017,4.54552513250419e-19,1.1688493197867918e-18,TRUE
C3,blue,218,13.031,1.946679113728609e-77,3.504022404711497e-76,TRUE
C3,brown,3,0.024,1.754690364808584e-35,9.024121876158432e-35,TRUE
C3,green,6,0.083,5.555045330441069e-18,1.3332108793058566e-17,TRUE
C3,magenta,62,47.183,1.2541430634478268e-31,5.514558461509014e-31,TRUE
C3,pink,0,0,6.268812910439347e-14,1.0258057489809841e-13,TRUE
C3,red,125,16.961,1.0709051121111098e-50,9.638146008999989e-50,TRUE
C3,turquoise,49,0.399,2.9881659237183614e-9,4.302958930154441e-9,TRUE
C3,yellow,12,0.128,4.445007494283103e-19,1.1688493197867918e-18,TRUE
C4,black,3,0.057,5.3046118831680296e-15,1.0050843568107845e-14,TRUE
C4,blue,33,0.311,1.8605580894721773e-11,2.912177879173843e-11,TRUE
C4,brown,14,0.132,1.0469635046602293e-20,3.4264260152516597e-20,TRUE
C4,green,36,0.72,0.10131687699937134,0.107276693293452,FALSE
C4,magenta,0,0,2.9639917220167466e-9,4.302958930154441e-9,TRUE
C4,pink,82,23.667,4.6748403900766473e-38,2.8049042340459884e-37,TRUE
C4,red,4,0.07,2.405357372587442e-15,5.0936979654792885e-15,TRUE
C4,turquoise,144,2.753,7.827884360887193e-15,1.4090191849596947e-14,TRUE
C4,yellow,135,5.698,1.3786396153772534e-31,5.514558461509014e-31,TRUE
