sample,age,ME
OP_S06_Pre,Old,-0.0342036841133294
OP_S11_Pre,Old,0.10410536900019385
OP_S12_Pre,Old,0.13782258599410602
OP_S17_Pre,Old,0.269309721395677
O_S05_Pre,Old,0.07800928403057815
O_S06_Pre,Old,0.26037602569240076
O_S07_Pre,Old,-0.10207896674210064
O_S10_Pre,Old,-0.010178691508916794
O_S16_Pre,Old,0.10503314302139188
O_S17_Pre,Old,0.06549124646474452
O_S24_Pre,Old,0.15890725978595818
O_S28_Pre,Old,-0.06989997047490777
O_S29_Pre,Old,0.17363505062014736
O_S32_Pre,Old,0.13061920670438742
O_S35_Pre,Old,0.2443771291702542
OP_S06_Post,Old,0.03852668006279301
OP_S11_Post,Old,0.16452646184147865
OP_S12_Post,Old,0.1542885727563764
OP_S17_Post,Old,0.20941046161662066
O_S05_Post,Old,0.13189806464915865
O_S06_Post,Old,0.016777496773153527
O_S07_Post,Old,0.07539355066337446
O_S10_Post,Old,0.05061940588535796
O_S16_Post,Old,0.12643037646474325
O_S17_Post,Old,0.1776091048416536
O_S24_Post,Old,0.16529512240873825
O_S28_Post,Old,0.017081424813394596
O_S29_Post,Old,-0.019973623294242515
O_S32_Post,Old,0.018947651075823118
O_S35_Post,Old,0.00164853382519666
YP_S14_Pre,Young,-0.02936465769774079
YP_S45_Pre,Young,-0.22812755369237062
YP_S56_Pre,Young,0.06625961805025019
Y_S01_Pre,Young,-0.19477443200257194
Y_S07_Pre,Young,-0.11687774908626347
Y_S10_Pre,Young,-0.10819543896116514
Y_S11_Pre,Young,-0.007877190684344029
Y_S16_Pre,Young,-0.044318096415297756
Y_S28_Pre,Young,-0.07487949052863342
Y_S30_Pre,Young,-0.15034493088094122
Y_S31_Pre,Young,0.01821251920050452
Y_S32_Pre,Young,-0.08669748814350457
Y_S34_Pre,Young,-0.10533775609366071
Y_S35_Pre,Young,-0.044964412016869994
Y_S36_Pre,Young,-0.15774683921514024
Y_S40_Pre,Young,-0.022434767359926614
YP_S14_Post,Young,0.11843704504995343
YP_S45_Post,Young,-0.16589756545357967
YP_S56_Post,Young,-0.07406021803514873
Y_S01_Post,Young,-0.020328572436265582
Y_S07_Post,Young,-0.22459247721031814
Y_S10_Post,Young,-0.1759001305370383
Y_S11_Post,Young,-0.05458019695887803
Y_S16_Post,Young,-0.025912900506899747
Y_S28_Post,Young,-0.0902751850373431
Y_S30_Post,Young,-0.04744367564267263
Y_S31_Post,Young,-0.16090146106638506
Y_S32_Post,Young,-0.04529541006358929
Y_S34_Post,Young,-0.15059294527279238
Y_S35_Post,Young,-0.10687779593462891
Y_S36_Post,Young,-0.11070188635790863
Y_S40_Post,Young,-0.21741195243306227
