uniprot_id,gene,kME,GS_VL,GS_age
A6NNS2,DHRS7C,0.3311157456680681,0.2902299262614597,0.2864772458473551
O00423,EML1,0.3051707507995493,0.06704366968332874,0.1409087905176192
O15061,SYNM,0.7765935496151545,0.2929466157353756,0.6218899908608122
O15273,TCAP,0.6337958183099479,0.20250787690910152,0.3384206095869067
O43707,ACTN4,0.9014381114400702,0.34010361162248,0.4036370435601666
O43760,SYNGR2,0.3293374702892695,0.11720003530578714,0.3370490090818251
O60256,PRPSAP2,0.43068726902918125,0.02926778380912625,0.28846131261310914
O75339,CILP,0.3651215351273988,0.06661006474317106,0.04673958804205218
O75531,BANF1,0.7103274101448,0.2717370206487664,0.3174002760142056
O75935,DCTN3,0.36826104520434155,0.2388181060246786,0.4371440566469206
O95292,VAPB,0.5830282475886179,0.25181746511137176,0.6148059118374616
O95425,SVIL,0.5464945966368316,0.16493179570692942,0.5622315992053526
O95671,ASMTL,0.5730212286896368,0.12102129907600519,0.36288437425315967
P02585,TNNC2,0.8529183254090945,0.40390575267389306,0.25020916606168886
P03891,MT-ND2,0.5671472048013254,0.3829870910912985,0.4147520801564051
P05783,KRT18,0.34934808575736037,0.381027481156315,0.012386630836776678
P05976,MYL1,0.7011952769410039,0.3119220225120795,0.2654958877963511
P06753,TPM3,0.6936725385877471,0.050159713719419435,0.137266858029647
P07951,TPM2,0.9261320164347407,0.33552780295217677,0.3442976335844398
P08590,MYL3,0.5412910191422924,0.080755099064983,0.06005957932486952
P08670,VIM,0.7080579764646888,0.40786619442090866,0.5459889732008105
P09488,GSTM1,0.40980935144186736,0.18242488274929047,0.24302238285661376
P09493,TPM1,0.9436413274847358,0.3849297553291998,0.4217847534788584
P0CW19,LIMS3,0.78782029654717,0.3373063618341759,0.6219311307968977
P0DP23,CALM1,0.5303030655740076,0.4270750667365428,0.3516480731944988
P10828,THRB,0.8788444528165992,0.3491883014278306,0.4543208921122069
P11055,MYH3,0.7413159122105059,0.34578872709632114,0.30658738401383057
P12814,ACTN1,0.9001202271745663,0.299308254632419,0.3881519557890815
P12882,MYH1,0.7844053445956249,0.39429618245083786,0.2881960134964287
P12883,MYH7,0.6405410741892379,0.06992810429665265,0.025839901058545837
P13535,MYH8,0.74034568025187,0.32398022572240065,0.2416691458531482
P13805,TNNT1,0.6098316993106707,0.05902557119494753,0.07219240775962646
P17661,DES,0.8913742886508883,0.3760002717558306,0.596910262544373
