uniprot_id,kME,module,gene
P28331,0.9470310394916263,red,NDUFS1
P49821,0.9343317647310361,red,NDUFV1
P19404,0.9199009066686132,red,NDUFV2
O95167,0.9137608834689503,red,NDUFA3
O95298,0.9110884234121431,red,NDUFC2
P20674,0.9094810487163699,red,COX5A
O00217,0.9078752719707173,red,NDUFS8
O95182,0.9062126767437835,red,NDUFA7
Q9Y6M9,0.9047593912423451,red,NDUFB9
O75251,0.9042874695129879,red,NDUFS7
Q00765,0.8941863517025564,brown,REEP5
P26038,0.8757071761549344,brown,MSN
Q14204,0.8525123369797155,brown,DYNC1H1
O75923,0.8440499563920189,brown,DYSF
Q14974,0.8356299265920483,brown,KPNB1
P10636,0.8352502572943145,brown,MAPT
E9PAV3,0.8221023925572029,brown,NACA
P68363,0.8149581370687037,brown,TUBA1B
P48643,0.8059821785124942,brown,CCT5
Q92973,0.7887953072915421,brown,TNPO1
Q05519,0.9133100014343726,turquoise,SRSF11
Q7LG56,0.8916078851075737,turquoise,RRM2B
P08621,0.8815908804984381,turquoise,SNRNP70
O94811,0.8784577515832638,turquoise,TPPP
Q96S66,0.8630796168730229,turquoise,CLCC1
Q15386,0.8606724113067306,turquoise,UBE3C
Q9BR76,0.8600589537189814,turquoise,CORO1B
Q9BZE9,0.8553806189490728,turquoise,ASPSCR1
Q9BXB4,0.8534029337375759,turquoise,OSBPL11
Q8IZ81,0.8493055405223692,turquoise,ELMOD2
P25705,0.9057956210398342,magenta,ATP5F1A
P48047,0.8606681487776077,magenta,ATP5PO
O75964,0.8448926220126455,magenta,ATP5MG
Q02218,0.8317518412490285,magenta,OGDH
P56385,0.8307197972184064,magenta,ATP5ME
Q00325,0.8285590834491717,magenta,SLC25A3
P36542,0.8166880680311995,magenta,ATP5F1C
P24539,0.8123983016460941,magenta,ATP5PB
Q9Y697,0.8109576638838208,magenta,NFS1
P06576,0.8100205686034194,magenta,ATP5F1B
P38117,0.9042932140154667,blue,ETFB
P48735,0.8929979929184293,blue,IDH2
P43155,0.8835368797832435,blue,CRAT
O95822,0.8822600227646561,blue,MLYCD
P13804,0.8751380068942318,blue,ETFA
P51649,0.8713203430622155,blue,ALDH5A1
P35914,0.865112515933666,blue,HMGCL
Q16762,0.8478112516927954,blue,TST
P07954,0.8444915982888322,blue,FH
Q9Y3D2,0.8432864021317327,blue,MSRB2
P62750,0.9151091482058034,black,RPL23A
P18621,0.9081492018130063,black,RPL17
P61513,0.8869973206078071,black,RPL37A
P35268,0.8610527061378317,black,RPL22
P84098,0.8554522246288051,black,RPL19
P46777,0.8553728266430572,black,RPL5
P46779,0.8490258957971023,black,RPL28
Q92614,0.8469938694113441,black,MYO18A
O75569,0.8443429658417364,black,PRKRA
Q9UQ80,0.8433095158956575,black,PA2G4
Q5VU43,0.8556784193119986,yellow,PDE4DIP
Q13162,0.8396928034833685,yellow,PRDX4
Q15843,0.8264171170581162,yellow,NEDD8
P60981,0.8242339400997958,yellow,DSTN
P49720,0.8166724184792206,yellow,PSMB3
Q9UHG3,0.8093133954230294,yellow,PCYOX1
P63241,0.8026824832016679,yellow,EIF5A
P23528,0.8015268361423722,yellow,CFL1
P28072,0.7860540520870135,yellow,PSMB6
P62140,0.7858425108404676,yellow,PPP1CB
Q8TED0,0.9387323074944813,green,UTP15
P07951,0.9294189964929613,green,TPM2
P09493,0.9241638549663744,green,TPM1
P12814,0.920142532890175,green,ACTN1
P45378,0.9195291073994553,green,TNNT3
O43707,0.9148823723463604,green,ACTN4
Q9NP98,0.9059179281510362,green,MYOZ1
P50851,0.9049411731277615,green,LRBA
P48788,0.9039070464655236,green,TNNI2
P35609,0.9032700311843308,green,ACTN2
P01024,0.9327448911045089,pink,C3
P01011,0.86858922602981,pink,SERPINA3
Q14624,0.866773812906404,pink,ITIH4
P02768,0.864307878227755,pink,ALB
P69905,0.8520730906770442,pink,HBA1
P10909,0.8468962797885439,pink,CLU
P00450,0.8360568891165414,pink,CP
P00751,0.8356704544867576,pink,CFB
P05155,0.8332039324578729,pink,SERPING1
P68871,0.830574041911335,pink,HBB
