permutation,ber
1,0.5183333333333333
2,0.42
3,0.425
4,0.34
5,0.22666666666666666
6,0.5516666666666666
7,0.455
8,0.44666666666666666
9,0.435
10,0.59
11,0.515
12,0.42666666666666664
13,0.355
14,0.47000000000000003
15,0.5266666666666667
16,0.4766666666666667
17,0.5733333333333334
18,0.4166666666666667
19,0.36
20,0.49
21,0.46
22,0.26
23,0.45999999999999996
24,0.48666666666666664
25,0.49833333333333335
26,0.3333333333333333
27,0.44333333333333336
28,0.5116666666666667
29,0.32
30,0.5266666666666666
31,0.4
32,0.455
33,0.605
34,0.5866666666666667
35,0.4866666666666667
36,0.5216666666666666
37,0.37833333333333335
38,0.505
39,0.41333333333333333
40,0.48833333333333334
41,0.3016666666666667
42,0.47833333333333333
43,0.5666666666666667
44,0.6016666666666667
45,0.4966666666666667
46,0.30666666666666664
47,0.48166666666666663
48,0.46166666666666667
49,0.4083333333333334
50,0.5466666666666666
