pathway,LV,AUC,pval,FDR
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,2,0.960691062534588,1.76646269776664e-26,3.886217935086608e-25
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,2,0.992515877407964,1.44859960756147e-20,1.593459568317617e-19
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,5,0.944157002676182,1.08198550438036e-13,7.934560365455973e-13
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,2,0.910533111971961,3.41672306162025e-11,1.8791976838911375e-10
REACTOME_PROTEIN_LOCALIZATION,2,0.868658919018631,2.33160126447627e-9,1.025904556369559e-8
REACTOME_METABOLISM_OF_RNA,5,0.748892960757368,5.717965197229951e-9,2.096587238984315e-8
REACTOME_TRANSLATION,5,0.738547215496368,5.0788918863693e-8,1.5962231642874942e-7
REACTOME_FATTY_ACID_METABOLISM,2,0.825567238516879,1.11921241958353e-5,3.0778341538547073e-5
REACTOME_STRIATED_MUSCLE_CONTRACTION,4,0.990434782608696,1.3729472074482e-5,3.356093173762267e-5
REACTOME_MITOCHONDRIAL_TRANSLATION,2,0.86081903707803,1.32828683533838e-4,2.922231037744436e-4
REACTOME_MUSCLE_CONTRACTION,4,0.744448757763975,2.43329433979719e-4,4.86658867959438e-4
REACTOME_ECM_PROTEOGLYCANS,4,0.926630434782609,5.4888475770373e-4,0.0010062887224568382
HALLMARK_MYOGENESIS,4,0.679076086956522,0.00114896858594819,0.0019444083762200136
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,6,0.648855553617458,0.00183057091512614,0.0028766114380553627
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,4,0.66304347826087,0.00223409059822245,0.00327666621072626
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4,0.711352657004831,0.00772333608354938,0.010619587114880397
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,7,0.694605009633911,0.0147244440288069,0.019055162860808928
REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,6,0.606871150827195,0.0729962754584188,0.0892176700047341
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,6,0.583464154892726,0.172108241378698,0.19928322685954508
HALLMARK_HEME_METABOLISM,8,0.537611466710433,0.33578865925176,0.369367525176936
REACTOME_MUSCLE_CONTRACTION,5,0.521186440677966,0.381530208712391,0.39969831388917154
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,8,0.427649214946113,0.793127263033895,0.793127263033895
