LV,group,n,mean_pre,mean_post,mean_delta,sd_delta,t_stat,pvalue,padj,stars,pathway_label,label
LV1,Young,17,NA,NA,NA,NA,-1.6213675403666523,0.12723591142677462,0.25447182285354925,,NA,LV1
LV2,Young,17,NA,NA,NA,NA,-1.216127787742583,0.24404406031884282,0.32539208042512374,,Respiratory Electron Transport,Respiratory Electron Transport
LV3,Young,17,NA,NA,NA,NA,-2.860315752087909,0.012591061267355316,0.03357616337961417,*,NA,LV3
LV4,Young,17,NA,NA,NA,NA,-3.054209674053682,0.008577839249587679,0.03357616337961417,*,Striated Muscle Contraction,Striated Muscle Contraction
LV5,Young,17,NA,NA,NA,NA,1.257357479314573,0.22919517296110678,0.32539208042512374,,Eukaryotic Translation Initiation,Eukaryotic Translation Initiation
LV6,Young,17,NA,NA,NA,NA,1.023136924385835,0.3235981600500505,0.3587274428135012,,Transport Of Small Molecules,Transport Of Small Molecules
LV7,Young,17,NA,NA,NA,NA,4.2638970913107475,7.86660727913983e-4,0.006293285823311864,**,Intra Golgi And Retrograde Golgi To Er Tra...,Intra Golgi And Retrograde Golgi To Er Tra...
LV8,Young,17,NA,NA,NA,NA,0.9489763824676208,0.3587274428135012,0.3587274428135012,,NA,LV8
LV1,Old,15,-0.3372666075832314,-0.5529063361394874,-0.21563972855625593,0.37002627556634615,-2.2570534381667726,0.04051128371818436,0.14795291925464793,,NA,LV1
LV2,Old,15,0.28599219601705794,0.31413635696151077,0.028144160944452882,1.133567840740326,0.09615822071986338,0.9247578305313867,0.9247578305313867,,Respiratory Electron Transport,Respiratory Electron Transport
LV3,Old,15,0.6088744827600365,0.28592773610567995,-0.3229467466543566,0.37796077578421816,-3.309251783889515,0.005166301128170692,0.041330409025365535,*,NA,LV3
LV4,Old,15,-0.20565940844357428,-0.1411835576839067,0.06447585075966758,0.6048050118844801,0.41288331167540593,0.6859458715091364,0.8644620434299733,,Striated Muscle Contraction,Striated Muscle Contraction
LV5,Old,15,-0.4122909470805048,-0.05403229823685067,0.3582586488436541,0.6814428723260152,2.036164492953157,0.061111334932368665,0.14795291925464793,,Eukaryotic Translation Initiation,Eukaryotic Translation Initiation
LV6,Old,15,-0.09877616122548193,-0.14562047206410889,-0.04684431083862701,0.573501402106193,-0.3163501171510158,0.7564042880012267,0.8644620434299733,,Transport Of Small Molecules,Transport Of Small Molecules
LV7,Old,15,-0.29704272031009626,-0.004173406853692763,0.2928693134564035,0.5873790312250161,1.9310835309633747,0.07397645962732396,0.14795291925464793,,Intra Golgi And Retrograde Golgi To Er Tra...,Intra Golgi And Retrograde Golgi To Er Tra...
LV8,Old,15,0.28929501520586165,0.3428399025080151,0.05354488730215343,0.3525971491167849,0.5881455857350301,0.56580222275524406,0.8644620434299733,,NA,LV8
