uniprot_id,kME,GS,gene,is_hub,label
O15056,0.7317588046806051,0.1980790426430281,SYNJ2,FALSE,SYNJ2
O15264,0.4398107589645764,0.11189245970281389,MAPK13,FALSE,NA
O15511,0.33873328621480997,0.08815927128664006,ARPC5,FALSE,NA
O43617,0.4895709964056685,0.05301165360614453,TRAPPC3,FALSE,NA
O75347,0.4834757214956478,0.09499641317075332,TBCA,FALSE,NA
O94903,0.4178624940954265,0.04095210432852579,PLPBP,FALSE,NA
O95218,0.7028245019955566,0.048956187530493855,ZRANB2,FALSE,NA
O95394,0.3233580840803071,0.14883855631212134,PGM3,FALSE,NA
O95747,0.40239237398117833,0.20992923737715344,OXSR1,FALSE,NA
O95865,0.4122760238275846,0.11672090291925,DDAH2,FALSE,NA
O95881,0.39588904005411407,0.09218878766461538,TXNDC12,FALSE,NA
P00325,0.412502043383618,0.041850616484476404,ADH1B,FALSE,NA
P00450,0.7558564201651236,0.08569134277584414,CP,FALSE,NA
P00738,0.7867509116683545,0.18476786316575738,HP,FALSE,HP
P00751,0.7955270882474587,0.04313709893781361,CFB,FALSE,NA
P01009,0.8060758099861371,0.04822278951591387,SERPINA1,FALSE,NA
P01011,0.8260451003759893,0.0056657704551623805,SERPINA3,FALSE,NA
P01019,0.599872662064619,0.0318120664544617,AGT,FALSE,NA
P01023,0.6456639346890489,0.36440185965631344,A2M,FALSE,A2M
P01024,0.9284351393966641,0.028604437495964544,C3,FALSE,NA
P01591,0.47404321396235677,0.15074936769826275,JCHAIN,FALSE,NA
P01619,0.45549823728287403,0.10672235020418017,IGKV3-20,FALSE,NA
P01780,0.6462788095459784,0.14214009268282923,IGHV3-7,FALSE,NA
P01834,0.6514575158154458,0.14071788984995026,IGKC,FALSE,NA
P01857,0.7438076825982958,0.09506058609196982,IGHG1,FALSE,NA
P01859,0.5799478710221324,0.02270027356363917,IGHG2,FALSE,NA
P01860,0.3535462739183474,0.22709101602689047,IGHG3,FALSE,NA
P01871,0.601404780310397,0.16275808946797898,IGHM,FALSE,NA
P01876,0.706482048767219,0.1552459800748926,IGHA1,FALSE,NA
P02649,0.39106023441650756,0.12365133828058217,APOE,FALSE,NA
P02655,0.46648987026714955,0.26679106154627596,APOC2,FALSE,NA
P02753,0.47637564561813667,0.09380920376152034,RBP4,FALSE,NA
P02763,0.6609070094907935,0.057900800171904354,ORM1,FALSE,NA
P02766,0.6344251514242556,0.08473392977013411,TTR,FALSE,NA
P02768,0.8389575528554721,0.08519674695185364,ALB,FALSE,NA
P02787,0.8230715114734242,0.15830632904861527,TF,FALSE,TF
P02795,0.36201622404945455,0.11473619308436503,MT2A,FALSE,NA
