"test_name","group","question","statistic_name","statistic_value","p_value","n_features","interpretation"
"fry","rotation","Q1_reversal","Fisher_chi2",14.639,0.005512,578,"aging_up->Down p=0.027; aging_down->Up p=0.025"
"fry","rotation","Q2_concordance","Fisher_chi2",14.4123,0.006089,449,"ty_up->Up p=0.0076; ty_down->Down p=0.097"
"camera","rotation","Q1_reversal","Direction",-1,0.9294,578,"aging sig net Down in Training_Old (2-sided)"
"camera","rotation","Q2_concordance","Direction",1,0.0396,449,"TY sig net Up in Training_Old (2-sided)"
"PERMANOVA","distance","Q1_reversal","F",NA,NA,578,"Time effect on aging sig in Old (R2=NA)"
"paired_euclidean","distance","Q1_reversal","t",-2.0159,0.03171,578,"mean delta_d=-1.7 (-10.0% of d_pre), df=14"
"projection","projection","Q1_reversal","t",-1.6581,0.05976,578,"mean proj=-2.038 (negative=reversal), df=14"
"projection","projection","Q2_concordance","t",2.0228,0.03131,449,"mean proj=2.051 (positive=concordance), df=14"
"fGSEA","enrichment","Q1_reversal","Fisher_chi2",172.0457,3.805e-36,578,"aging_up NES=-2.43 p=1e-17; aging_down NES=2.53 p=1.7e-20"
"fGSEA","enrichment","Q2_concordance","Fisher_chi2",255.5715,4.104e-54,449,"ty_up NES=3.12 p=1.8e-35; ty_down NES=-2.70 p=7.3e-21"
