gene,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,significance,quadrant,imputed
GPT2,1.872,-0.592,4.37e-4,0.060907,1e-6,Interaction,Discordant (Young Up / Old Down),TRUE
CTSG,-2.0953,0.1002,0.00126,0.977554,0.001184,Interaction,Discordant (Young Down / Old Up),TRUE
CCDC137,-1.6782,-0.2164,0,0.89768,0.001843,Interaction,Concordant Down,TRUE
FLT1,-1.6632,0.0423,4e-6,0.996555,2.81e-4,Interaction,Discordant (Young Down / Old Up),TRUE
ALDH1B1,1.2555,0.4064,0,0.397755,0.032277,Interaction,Concordant Up,TRUE
COL4A1,-1.436,-0.0795,4e-6,0.984086,0.001508,Interaction,Concordant Down,TRUE
COL3A1,-1.1658,0.3477,0.001215,0.707856,5.3e-4,Interaction,Discordant (Young Down / Old Up),TRUE
COL1A2,-1.359,-0.0832,4e-4,0.986704,0.01944,Interaction,Concordant Down,TRUE
IFT81,-1.2969,-0.0873,2.7e-5,0.984962,0.014964,Interaction,Concordant Down,TRUE
ACTN2,-0.884,0.4933,0.081537,0.554066,0.012272,Interaction,Discordant (Young Down / Old Up),FALSE
ACTN1,-0.9384,0.3834,0.06611,0.731653,0.024408,Interaction,Discordant (Young Down / Old Up),FALSE
CAV2,-0.9482,0.3589,0.078459,0.403079,0.006882,Interaction,Discordant (Young Down / Old Up),TRUE
XIRP1,-0.8717,0.4336,0.001245,0.334318,2.3e-5,Interaction,Discordant (Young Down / Old Up),FALSE
COPS7B,0.828,-0.4555,0.036862,0.218858,5.43e-4,Interaction,Discordant (Young Up / Old Down),TRUE
UBN2,-1.0031,0.2347,0.006674,0.860803,0.007495,Interaction,Discordant (Young Down / Old Up),FALSE
COL1A1,-1.197,0.0278,5.95e-4,0.998349,0.010773,Interaction,Discordant (Young Down / Old Up),TRUE
MSRB3,-1.2083,-0.0131,0.003779,0.999154,0.007252,Interaction,Concordant Down,TRUE
MYL2,-0.9503,0.2178,0.001395,0.838716,0.001766,Interaction,Discordant (Young Down / Old Up),FALSE
ACTN4,-0.7896,0.3669,0.091231,0.693083,0.027183,Interaction,Discordant (Young Down / Old Up),FALSE
COL4A2,-1.0712,-0.0443,2.87e-4,0.99442,0.014462,Interaction,Concordant Down,TRUE
CILP,-0.7967,0.2433,0.144696,0.624531,0.034154,Interaction,Discordant (Young Down / Old Up),TRUE
PREX1,-0.5831,0.4448,0.05416,0.153024,3.91e-4,Interaction,Discordant (Young Down / Old Up),TRUE
UCHL1,0.9016,0.1236,2.94e-4,0.93643,0.041209,Interaction,Concordant Up,FALSE
RPA2,-0.9583,0.0235,0.001646,0.997168,0.00438,Interaction,Discordant (Young Down / Old Up),TRUE
TES,-0.596,0.3646,0.265549,0.485294,0.039862,Interaction,Discordant (Young Down / Old Up),TRUE
MYH7,-0.6942,0.2547,0.062203,0.788156,0.029698,Interaction,Discordant (Young Down / Old Up),FALSE
TPM3,-0.7694,0.1787,0.035057,0.903445,0.038052,Interaction,Discordant (Young Down / Old Up),FALSE
SSU72,-0.9314,0.0164,1e-6,0.997887,1.8e-5,Interaction,Discordant (Young Down / Old Up),TRUE
TOMM22,-0.7784,0.165,6.26e-4,0.85532,0.001045,Interaction,Discordant (Young Down / Old Up),FALSE
MYL3,-0.8904,0.0464,0.005216,0.993834,0.032469,Interaction,Discordant (Young Down / Old Up),FALSE
SLC25A46,0.8812,-0.0505,4.75e-4,0.980391,7.87e-4,Interaction,Discordant (Young Up / Old Down),TRUE
NID1,-0.7647,0.1157,0.015716,0.949635,0.026852,Interaction,Discordant (Young Down / Old Up),TRUE
LAMC1,-0.8487,0.0146,0.002972,0.999286,0.027207,Interaction,Discordant (Young Down / Old Up),TRUE
PLEKHF1,-0.8051,0.0468,2.25e-4,0.981901,5.69e-4,Interaction,Discordant (Young Down / Old Up),TRUE
CHDH,-0.4576,0.3927,0.292647,0.199633,0.011995,Interaction,Discordant (Young Down / Old Up),TRUE
CAPRIN1,-0.5661,0.2795,0.145163,0.641737,0.030104,Interaction,Discordant (Young Down / Old Up),TRUE
ACTA1,-0.4891,0.3426,0.244112,0.567564,0.045885,Interaction,Discordant (Young Down / Old Up),FALSE
DHRS11,-0.5953,0.1795,0.106501,0.788385,0.034626,Interaction,Discordant (Young Down / Old Up),TRUE
MT-CO1,-0.4355,0.2848,0.256639,0.586191,0.049924,Interaction,Discordant (Young Down / Old Up),TRUE
DCTN5,0.5467,-0.1371,0.027242,0.848471,0.013644,Interaction,Discordant (Young Up / Old Down),TRUE
NDUFA6,-0.5195,0.131,0.021748,0.881856,0.020899,Interaction,Discordant (Young Down / Old Up),FALSE
RPL24,-0.2261,0.3757,0.573274,0.152057,0.023523,Interaction,Discordant (Young Down / Old Up),TRUE
PVALB,-0.8989,-0.6534,0.055836,0.430321,0.927463,NS,Concordant Down,TRUE
WARS2,-1.1181,-0.1704,0.072747,0.859321,0.190383,NS,Concordant Down,TRUE
TGFBI,-0.722,-0.4501,0.065688,0.3093,0.823774,NS,Concordant Down,TRUE
MYOZ2,-0.7119,-0.4155,0.165868,0.660571,0.870799,NS,Concordant Down,TRUE
SLC2A4,0.6314,0.4044,0.26632,0.22177,0.890946,NS,Concordant Up,TRUE
TMPO,-0.6145,-0.4115,0.165465,0.156765,0.887811,NS,Concordant Down,TRUE
HAT1,-0.2267,0.7992,0.898574,0.144243,0.114772,NS,Discordant (Young Down / Old Up),TRUE
CSRP3,0.4966,0.5084,0.080862,0.078825,0.999552,NS,Concordant Up,FALSE
SAMHD1,0.6316,0.3686,0.141802,0.276315,0.809089,NS,Concordant Up,TRUE
TXNDC12,0.3971,-0.5899,0.761281,0.229264,0.157071,NS,Discordant (Young Up / Old Down),TRUE
RRAD,0.4822,0.5029,0.367559,0.224694,0.99912,NS,Concordant Up,TRUE
MYLK2,-0.4182,-0.5514,0.235308,0.062855,0.93984,NS,Concordant Down,FALSE
ACTN3,-0.9403,-0.0166,0.099189,0.999621,0.278494,NS,Concordant Down,TRUE
DAZAP1,-0.5983,0.3576,0.654543,0.713922,0.341399,NS,Discordant (Young Down / Old Up),TRUE
LRBA,-0.7489,-0.2027,0.202648,0.924395,0.625772,NS,Concordant Down,TRUE
GSTM1,-0.3312,0.5993,0.813006,0.464662,0.252682,NS,Discordant (Young Down / Old Up),TRUE
HMOX1,-0.7218,-0.1799,0.075476,0.869632,0.394382,NS,Concordant Down,TRUE
PPP1CC,-0.6759,-0.2227,0.128769,0.681288,0.508541,NS,Concordant Down,TRUE
THRB,-0.6264,0.2689,0.18968,0.808867,0.097611,NS,Discordant (Young Down / Old Up),TRUE
NES,0.6152,-0.276,0.191091,0.861935,0.178873,NS,Discordant (Young Up / Old Down),TRUE
ANKRD2,0.5392,0.3279,0.07871,0.495063,0.850551,NS,Concordant Up,FALSE
CSTA,0.3022,0.5631,0.749621,0.259568,0.86947700000000006,NS,Concordant Up,TRUE
FTL,-0.4507,0.4105,0.608473,0.650955,0.228813,NS,Discordant (Young Down / Old Up),TRUE
CPA3,-0.5351,-0.3087,0.169558,0.501186,0.842981,NS,Concordant Down,TRUE
ARPC1B,0.3674,0.4676,0.267442,0.050486,0.956637,NS,Concordant Up,TRUE
KCTD12,-0.642,0.1828,0.236095,0.768519,0.092358,NS,Discordant (Young Down / Old Up),TRUE
NQO2,-0.5637,-0.2588,0.255453,0.807744,0.816548,NS,Concordant Down,TRUE
TRMT112,-0.67490000000000006,0.1414,0.104305,0.905701,0.063872,NS,Discordant (Young Down / Old Up),TRUE
F13A1,0.6835,0.1254,0.054146,0.913755,0.260327,NS,Concordant Up,TRUE
NFU1,-0.4506,-0.3487,0.202739,0.147753,0.957811,NS,Concordant Down,TRUE
DHCR24,-0.5771,0.2222,0.24348,0.689871,0.071458,NS,Discordant (Young Down / Old Up),TRUE
LGALS3,0.4614,0.334,0.054276,0.246284,0.918565,NS,Concordant Up,TRUE
LAMB2,-0.7045,-0.0889,0.07366,0.973993,0.29385,NS,Concordant Down,TRUE
TSPAN8,-0.3447,-0.4464,0.300449,0.105943,0.956739,NS,Concordant Down,TRUE
S100A16,0.3463,0.4447,0.708618,0.441128,0.983247,NS,Concordant Up,TRUE
SYNE2,-0.3558,-0.43,0.199862,0.051916,0.972537,NS,Concordant Down,TRUE
MYL1,-0.3788,0.4062,0.485095,0.441235,0.078016,NS,Discordant (Young Down / Old Up),FALSE
CAPG,0.3326,0.4455,0.695574,0.259852,0.972463,NS,Concordant Up,TRUE
KYAT1,-0.4515,-0.3266,0.098743,0.292679,0.929189,NS,Concordant Down,TRUE
SOD3,-0.3404,-0.4321,0.594924,0.25055,0.978422,NS,Concordant Down,TRUE
CTTN,0.3707,0.4014,0.601588,0.352965,0.997992,NS,Concordant Up,TRUE
COL6A2,-0.5117,0.2555,0.348308,0.802158,0.169589,NS,Discordant (Young Down / Old Up),TRUE
FTH1,-0.6421,0.1209,0.052377,0.945692,0.072454,NS,Discordant (Young Down / Old Up),FALSE
MYOZ1,-0.6821,0.0791,0.263077,0.988822,0.349898,NS,Discordant (Young Down / Old Up),FALSE
IGKC,0.393,0.3675,0.308391,0.386798,0.998095,NS,Concordant Up,FALSE
MYH2,-0.2736,0.4817,0.747573,0.345553,0.13805,NS,Discordant (Young Down / Old Up),FALSE
MYH1,-0.6399,-0.1147,0.1763,0.967088,0.522071,NS,Concordant Down,FALSE
GPX3,-0.3377,-0.4114,0.262459,0.122704,0.975696,NS,Concordant Down,FALSE
RPL3,0.5653,-0.1814,0.096044,0.872819,0.075953,NS,Discordant (Young Up / Old Down),TRUE
FLNA,0.4786,0.2675,0.058339,0.53263,0.796475,NS,Concordant Up,FALSE
MYBPC1,-0.5831,0.1585,0.143571,0.915823,0.127687,NS,Discordant (Young Down / Old Up),FALSE
KLHL40,0.4043,0.3362,0.370108,0.545279,0.988047,NS,Concordant Up,FALSE
PRUNE1,0.385,-0.3554,0.576971,0.129041,0.087528,NS,Discordant (Young Up / Old Down),TRUE
C6orf136,-0.1869,-0.5526,0.88306,0.281542,0.718852,NS,Concordant Down,TRUE
MT2A,-0.2019,-0.5348,0.766926,0.063288,0.5905,NS,Concordant Down,FALSE
IGLC2,0.4102,0.326,0.403229,0.60662,0.98316,NS,Concordant Up,FALSE
FBLN2,-0.5806,0.1536,0.407828,0.849428,0.235324,NS,Discordant (Young Down / Old Up),TRUE
COL6A3,-0.4771,0.2561,0.309497,0.773923,0.137196,NS,Discordant (Young Down / Old Up),FALSE
IQGAP1,0.3252,0.4003,0.343524,0.053983,0.972521,NS,Concordant Up,TRUE
