pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast,database,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.042017051661208e-10,1e-10,0.8140358378479079,0.491293691733376,2.2287563216067108,155,TOMM22;NDUFA6;NDUFV2;NDUFB5;NDUFS7;NDUFS2;COX5B;NDUFA3;COX6B1;NDUFB6;NDUFS6;COX6C;NDUFC2;NDUFS1;NDUFB7;NDUFA8;COX5A;NDUFB8;COX7B;COX7A2;NDUFS3;NDUFA7;NDUFV1;VDAC2;NDUFB3;NDUFB4;NDUFS8;NDUFA5;UQCR11;NDUFA9;UQCRC2;MGST3;NDUFA1;UQCRQ;UQCRFS1;MTX2;COX7C;CYC1;COX4I1;MAOB;NDUFS4;PMPCA;UQCRC1;NDUFAB1;ECI1;UQCRH;VDAC1;TIMM9;NDUFA2;UQCRB;NDUFB1;VDAC3;SLC25A12;PDP1,Interaction,Hallmark,1,0,26.166666666666668,13.083333333333334,0,0.45669448760518294,0.22834724380259147,OXPHOS
HALLMARK_MYOGENESIS,8.643255351548549e-6,2e-10,0.5933254763964051,0.46653889506169366,1.9895552686840507,103,MYL2;COL3A1;COL4A2;COL1A1;MYH7;ACTA1;MYL3;TPM3;TNNC1;MYL1;COL15A1;ACTN2;COX7A1;TNNT1;TNNI1;COL6A3;MYH2;COL6A2;TPM2;LAMA2;TNNC2;TNNI2;COX6A2;TNNT3;MYOM1;TAGLN;PDLIM7;SORBS1;EIF4A2;DES;ENO3;ACTN3;MYH3;MYOZ1;GABARAPL2;MYBPH;MYH1;MAPK12;MYH9;AKT2;LDB3;MYH4;CAMK2B;CASQ1;PGAM2,Interaction,Hallmark,2,29.166666666666668,55.333333333333336,42.25,0.5090543651650128,0.9657488527701957,0.7374016089676042,Myogenesis
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.813592172983516e-4,3e-10,0.49849310876659025,0.5049024721153795,1.8791849782552368,48,COL3A1;COL4A1;LAMC1;COL4A2;CAP2;COL1A1;TGM2;COL1A2;COL6A3;TPM1;COL6A2;TPM2;LAMA2;BGN;FBLN2;TAGLN;LUM;FBN1;ENO2;DCN;NID2,Interaction,Hallmark,3,58.333333333333336,84.5,71.41666666666667,1.0181087303300256,1.4748032179352084,1.246455974132617,EMT
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,1.4335497895075604e-27,4e-10,1.3651796021616889,0.7990227732875805,3.253736717541432,76,NDUFA6;NDUFV2;NDUFB5;NDUFS7;NDUFS2;COX5B;NDUFA3;NDUFB9;COX6B1;NDUFB6;MT-CO1;NDUFS6;COX6C;NDUFA10;MT-ND1;NDUFC2;NDUFS1;NDUFB7;NDUFA8;COX5A;NDUFB10;NDUFB8;COX7B;NDUFS5;MT-ND2;COX7A2;NDUFS3;NDUFA7;NDUFV1;NDUFA12;NDUFB3;NDUFV3;MT-CO3;NDUFB4;COX7A1;NDUFS8;NDUFA5;UQCR11;MT-CO2;NDUFA9;UQCRC2;NDUFA1;UQCRQ;UQCRFS1;COX7C;CYC1;COX4I1;CHCHD2;COA6;NDUFS4;COX6A2;MT-ND5;UQCRC1;NDUFAB1;UQCRH;MT-ND3;NDUFA2;UQCRB;MT-ND4;NDUFB1,Interaction,GO:BP,4,87.5,113.66666666666667,100.58333333333334,1.5271630954950381,1.9838575831002212,1.75551033929763,ATP Synth.-Coupled ETC
GOBP_ELECTRON_TRANSPORT_CHAIN,5.063850137912571e-26,5e-10,1.3267160980048087,0.7689570166027069,3.1822941607004886,84,NDUFA6;NDUFV2;NDUFB5;NDUFS7;NDUFS2;COX5B;NDUFA3;NDUFB9;COX6B1;NDUFB6;MT-CO1;NDUFS6;COX6C;NDUFA10;MT-ND1;NDUFC2;NDUFS1;NDUFB7;NDUFA8;COX5A;NDUFB10;NDUFB8;COX7B;NDUFS5;MT-ND2;COX7A2;NDUFS3;NDUFA7;NDUFV1;NDUFA12;NDUFB3;NDUFV3;MT-CO3;NDUFB4;COX7A1;NDUFS8;NDUFA5;UQCR11;MT-CO2;NDUFA9;UQCRC2;NDUFA1;UQCRQ;UQCRFS1;COX7C;CYC1;COX4I1;CHCHD2;COA6;NDUFS4;COX6A2;MT-ND5;UQCRC1;NDUFAB1;UQCRH;MT-ND3;NDUFA2;UQCRB;MT-ND4;NDUFB1,Interaction,GO:BP,5,116.66666666666667,142.83333333333334,129.75,2.036217460660051,2.492911948265234,2.2645647044626425,ETC Chain
GOBP_OXIDATIVE_PHOSPHORYLATION,1.6306536954451348e-22,6e-10,1.229504056608731,0.7010951090160817,3.0016617836899786,104,NDUFA6;NDUFV2;NDUFB5;NDUFS7;NDUFS2;COX5B;NDUFA3;NDUFB9;COX6B1;NDUFB6;MT-CO1;NDUFS6;COX6C;NDUFA10;MT-ND1;NDUFC2;NDUFS1;NDUFB7;NDUFA8;COX5A;NDUFB10;NDUFB8;COX7B;NDUFS5;MT-ND2;COX7A2;NDUFS3;NDUFA7;NDUFV1;NDUFA12;NDUFB3;NDUFV3;MT-CO3;NDUFB4;COX7A1;NDUFS8;NDUFA5;UQCR11;MT-CO2;NDUFA9;NDUFB11;UQCRC2;NDUFA1;UQCRQ;UQCRFS1;COX7C;CYC1;COX4I1;CHCHD2;COA6;NDUFS4;SIRT3;COX6A2;MT-ND5;UQCRC1;NDUFAB1;NDUFA13;UQCRH;MT-ND3;NDUFA2;UQCRB;MT-ND4;NDUFB1,Interaction,GO:BP,6,145.83333333333334,172,158.91666666666669,2.545271825825064,3.0019663134302466,2.7736190696276557,OXPHOS
HALLMARK_MTORC1_SIGNALING,0.00250529700105961,7.000000000000001e-10,0.4317076958033464,-0.3697239554094028,-1.6440997200203895,86,EPRS1;ACSL3;CCT6A;CALR;HSPA4;UFM1;ACACA;ATP2A2;PSMB5;PSMA3;TFRC;WARS1;STIP1;YKT6;PSMD13;CANX;IDI1;PSMC2;GBE1;CYB5B;GSR;PSMD12;PRDX1;PPIA;HSP90B1;PSMC4;PDAP1;TXNRD1;PPA1;ME1;HSPA5;CACYBP;SLC37A4;ACTR2,Interaction,Hallmark,7,180,206.16666666666666,193.08333333333331,3.141592653589793,3.5982871411949757,3.3699398973923844,mTORC1 Signaling
GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,2.5293707498230624e-7,8e-10,0.674962860011025,-0.3895246813046219,-1.9390433789260344,173,ECPAS;TSG101;USP9X;UCHL1;PSME1;STUB1;UBE3C;PLAA;CALR;USP5;ARIH1;RNF123;RAD23A;PSMD4;UBA1;UBL4A;DDB1;PSMD3;PSMB5;BCAP31;PSME2;PSMA3;UBQLN2;RNF114;CUL3;UBE2D1;CTSZ;WDR77;PSME4;RPS27A;UBE2L3;PSMD13;CANX;PSMD1;PSMD11;CLU;RAD23B;UBE2Z;PSMC1;PSMC2;PSMF1;PSMA1;HSP90AB1;HSPBP1;CAPN2;XPO1;KLHL41;PSMB6;PSMD12;CUL1;BAG2;SEC61B;VCP;UBR4;VPS28;PSMD8;BAG6;HSP90B1;PSMA7;PSMA5;PSMC4;EIF3H;PARK7;PSMD6;PSMB3;HSPA5;PSMD9;HSPA1A;VPS4A;NSFL1C;GSK3A;PSMC6;TF;CUL2;UBE2K;CHMP2A;NPLOC4;PSMB7;VPS25;PSMA6,Interaction,GO:BP,8,209.16666666666666,235.33333333333331,222.25,3.6506470187548055,4.1073415063599885,3.878994262557397,Proteolysis Involved In Protein Catab...
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION,5.981071801217188e-7,9e-10,0.6594443980379349,-0.46680063865439114,-2.115827281797323,93,DYNC1H1;DYNC1LI1;KPNB1;PRUNE1;PRKAA2;TACC2;EZR;MAPT;PPP2R1A;DYNC1LI2;NUDC;DCTN1;TBCB;DDB1;CLIP1;TUBB6;HNRNPU;DCTN2;TUBB2A;CLTC;PAFAH1B1;DYNLT1;FKBP4;MAP4;TUBB4B;RAN;PAK1;MECP2;PRKAA1;TUBA1B;XPO1;SUGT1;TBCE;VCP;DNM2;FLNA;DCTN6;RAC1;ITGB1;SLC16A1;HSPA1A;NSFL1C;GSK3A;CHMP2A;TUBB;TPPP3,Interaction,GO:BP,9,238.33333333333331,264.5,251.41666666666666,4.159701383919818,4.616395871525001,4.3880486277224096,MT Cytoskel. Org.
GOBP_CELL_CYCLE,7.553348645131072e-7,1e-9,0.6594443980379349,-0.3687789097725204,-1.8610309236116984,192,DYNC1H1;TSG101;DYNC1LI1;PRMT5;KPNB1;BIN1;USP9X;PSME1;NEK9;TACC2;EZR;PLEC;CALR;PPP2R1A;PPP5C;NUDC;DCTN1;RAD23A;SH3GLB1;DDB1;CLIP1;SEPTIN9;TUBB6;PRKAG1;PRKDC;HNRNPU;DCTN2;MAP3K20;TOM1L2;PSME2;SEPTIN11;NAA50;TUBB2A;NES;IPO7;CLTC;PAFAH1B1;APPL1;CUL3;DYNLT1;PKIA;MAP4;TUBB4B;RAN;UBE2L3;ANXA1;PSMD13;EIF4G1;HSPA2;HSP90AB1;YWHAE;TUBA1B;ARL8B;XPO1;PPM1A;IPO5;SVIL;MYH14;PDXP;SUGT1;EIF4G2;TBCE;CUL1;TIPRL;VCP;ARL3;DNM2;STAT5B;SEPTIN2;FLNA;RUVBL2;BAG6;DCTN6;PPP2R2A;SEPTIN7;TARDBP;ITGB1;SLC16A1;BUB3;KLHDC8B;ACTR2;HSPA1A;VPS4A;NSFL1C;ATP2B4;COPS5;CUL2;CHMP2A,Interaction,GO:BP,10,267.5,293.6666666666667,280.58333333333337,4.6687557490848315,5.125450236690014,4.897102992887423,Cell Cycle
