pathway,pathway_label,database,NES_Training_Young,NES_Training_Old,padj_Training_Young,padj_Training_Old,padj_Interaction,significance,set_size
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,ATP Synthesis Coupled Electron Transport,GO:BP,-3.272,0.9,3.8939999999999996e-22,0.8615,7.079e-25,Interaction,76
GOBP_PROTEIN_FOLDING,Protein Folding,GO:BP,2.312,1.733,1.571e-6,0.04036,0.00201,Interaction,90
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,Proton Motive Force Driven ATP Synthesis,GO:BP,-2.944,-0.7,3.941e-14,0.9946,2.754e-12,Interaction,60
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,Proton Transmembrane Transport,GO:BP,-2.768,0.813,1.635e-12,0.95,7.869e-14,Interaction,88
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,NADH Dehydrogenase Complex Assembly,GO:BP,-2.392,1.052,1.162e-5,0.7236,5.603e-7,Interaction,24
GOBP_REGULATION_OF_PROTEIN_STABILITY,Regulation Of Protein Stability,GO:BP,2.002,1.395,2.983e-4,0.2325,0.005649,Interaction,88
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,Ribose Phosphate Biosynthetic Process,GO:BP,-2.361,0.98,3.041e-7,0.7919,7.216e-10,Interaction,94
GOBP_MICROTUBULE_BASED_PROCESS,Microtubule Based Process,GO:BP,2.109,1.203,4.47e-6,0.4427,2.051e-5,Interaction,133
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,Extracellular Matrix Organization,GO:BP,-1.669,1.582,0.07221,0.1705,9.642e-5,Interaction,42
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,Mitochondrial Respiratory Chain Complex As...,GO:BP,-2.5,0.677,4.982e-7,0.9946,1.939e-8,Interaction,43
GOBP_CELL_CYCLE,Cell Cycle,GO:BP,1.957,1.216,1.425e-5,0.3817,3.734e-5,Interaction,192
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Positive Regulation Of Protein Containing ...,GO:BP,2.034,1.028,0.001882,0.736,0.009884,Interaction,47
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,Positive Regulation Of Cellular Component ...,GO:BP,1.809,1.24,4.161e-4,0.3484,0.02033,Interaction,182
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION,Positive Regulation Of Protein Localization,GO:BP,1.945,1.092,2.555e-4,0.6252,0.005649,Interaction,113
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,1.746,1.217,0.003431,0.3941,0.01365,Interaction,86
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,-1.854,-1.109,7.834e-4,0.4621,5.659e-5,Interaction,103
GOBP_LIPID_HOMEOSTASIS,Lipid Homeostasis,GO:BP,1.537,-1.399,0.1906,0.3511,0.0112,Interaction,26
