pathway,database,gene_count,fold_enrichment,pvalue,p_adjust,genes
Muscle & Contractile,GO_Slim,11,1.938,0.04104,0.4515,LMOD2/MYH1/MYH13/MYH2/MYL1/MYOM2/SYNM/TMOD4/TNNT3/TPM2/TPM4
ECM & Adhesion,GO_Slim,23,1.37,0.09513,0.5232,ACTN1/ACTN3/CAPZA1/CAST/CD151/COL15A1/COL3A1/CSRP1/EPDR1/FNDC3A/HMOX1/LRG1/MYBPC2/MYBPH/MYOF/MYOZ1/NEXN/PDLIM5/PREX1/SNTA1/TLN2/TPM1/YWHAZ
Metabolism,GO_Slim,56,1.14,0.1703,0.6246,ABHD11/ABHD16A/ABHD6/ACADM/ACADS/ACAT1/ADH1B/AKR7A2/ALDH4A1/ALDH5A1/ALDH6A1/ASS1/COQ5/COQ7/CP/CRAT/DCXR/ECHS1/ENO2/ETFA/ETFB/FBN1/GALK1/GCLM/GPD1L/GPT2/GPX3/GSTM1/GSTO1/HADHA/HADHB/HMGCL/HPRT1/IDH2/IDI1/MCCC1/MCEE/MGST2/MPST/MT2A/MYH3/NAMPT/NAXD/NT5C1A/NXN/PCCB/PCYT2/PGM5/PHKA2/PHKB/PLIN5/PNPO/PPP1R3A/SLC25A11/SOD2/TYMP
Gene Expression,GO_Slim,35,1.115,0.2865,0.6993,CAPRIN1/CELF1/EIF3C/EWSR1/FLT1/HAT1/MDP1/NARS1/NCL/OBSCN/PRDX6/RBM3/RPL10/RPL22/RPL23A/RPL27A/RPL32/RPL34/RPL35/RPL35A/RPL37A/RPL38/RPS10/RPS19/RPS21/RPS23/RPS27A/RPS3A/RPS7/SNRPD3/SPEG/TGM2/THRB/UTP15/VIM
Cytoskeleton & Motility,GO_Slim,19,1.147,0.3179,0.6993,ARHGDIB/CAP1/CLIC4/DYNLT1/FLNA/FLNC/MIEN1/MSN/MYOM1/MYOM3/NEB/NRAP/PDLIM1/PHPT1/SYNE2/SYNPO2/SYNPO2L/UCHL1/XIRP1
Development,GO_Slim,5,1.107,0.4873,0.8933,CRYBG3/DDAH2/LRMDA/MAOB/TMX2
Transport,GO_Slim,25,0.972,0.5905,0.9238,ACTN2/ACTN4/ARHGAP1/CAMK2D/CAPN3/CPT2/CSRP3/DES/DPYSL2/EMC2/EMC3/LAMTOR1/LRPAP1/MICOS10/MICU1/MT-CO1/RPL23/RPS15/S100A13/SLC27A1/SPAG9/SQSTM1/TMEM38A/TST/VAPB
Mitochondria & Energy,GO_Slim,8,0.832,0.7448,0.9238,LONP1/MARCHF5/MAVS/MT-ND2/MT-ND4/NDUFA1/NDUFA11/SCO1
Immune & Inflammation,GO_Slim,8,0.822,0.7558,0.9238,ANXA3/C3/DHRS7B/FLNB/IGHG2/MAPK13/TRIM54/UBE2K
Protein Homeostasis,GO_Slim,21,0.792,0.8862,0.9748,CLEC3B/CLU/COPS7B/CTSB/CTSD/CTSZ/DDI2/FXN/GAA/HP/KLHL40/LRBA/MUSTN1/NGLY1/PPIA/PRUNE1/PSAP/PSMD7/RNF114/SLC25A46/STBD1
DNA & Cell Cycle,GO_Slim,12,0.589,0.9823,0.9823,BANF1/CARM1/CDC42/DCTN3/HMGB1/HMGB2/NAE1/OTUB1/PLEC/PSMD14/RPL24/TTN
Other,Other,23,NA,1,1,BZW1/CA3/EEF1G/EEFSEC/FSD2/IBA57/JPT2/MAOA/MRPL9/MRPS36/PLIN2/PLIN4/PVALB/PYURF/SCRN3/SELENBP1/SUOX/TES/TMPO/TMX3/TNNI2/TPSB2/VWA8
