gene,go_slim_category,reactome_category,kappa_category
ABHD11,Metabolism,Other,Other
ABHD16A,Metabolism,Other,IL18 SIGNALING
ABHD6,Metabolism,ST: Signaling by GPCR,Other
ACADM,Metabolism,Metabolism,FEMALE STEROID HORMONES IN CARDIOMYOCYTE ENERGY ME
ACADS,Metabolism,Metabolism,IL18 SIGNALING
ACAT1,Metabolism,Metabolism of proteins,CITRIC ACID CYCLE TCA CYCLE
ACTN1,ECM & Adhesion,Cell-Cell communication,RHOBTB GTPASE CYCLE
ACTN2,Transport,Other,INTEGRIN PATHWAY
ACTN3,ECM & Adhesion,Cell-Cell communication,INTEGRIN PATHWAY
ACTN4,Transport,Cell-Cell communication,Other
ADH1B,Metabolism,Metabolism,Other
AKR7A2,Metabolism,Metabolism,AFLATOXIN ACTIVATION AND DETOXIFICATION
ALDH4A1,Metabolism,Metabolism,Other
ALDH5A1,Metabolism,Other,NEUROTRANSMITTER RELEASE CYCLE
ALDH6A1,Metabolism,Metabolism,Other
ANXA3,Immune & Inflammation,Developmental Biology,Other
ARHGAP1,Transport,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Other
ARHGDIB,Cytoskeleton & Motility,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3",G13 SIGNALING
ASS1,Metabolism,Metabolism,ALANINE ASPARTATE AND GLUTAMATE METABOLISM
BANF1,DNA & Cell Cycle,Cell Cycle,INITIATION OF NUCLEAR ENVELOPE NE REFORMATION
C3,Immune & Inflammation,ST: Signaling by GPCR,CLASS A 1 RHODOPSIN LIKE RECEPTORS
CAMK2D,Transport,Other,AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY
CAP1,Cytoskeleton & Motility,Hemostasis,Other
CAPN3,Transport,Extracellular matrix organization,AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY
CAPRIN1,Gene Expression,Other,Other
CAPZA1,ECM & Adhesion,Vesicle-mediated transport,SENSORY PERCEPTION
CARM1,DNA & Cell Cycle,Chromatin organization,BMAL1 CLOCK NPAS2 ACTIVATES CIRCADIAN EXPRESSION
CAST,ECM & Adhesion,Extracellular matrix organization,DEFECTIVE INTRINSIC PATHWAY FOR APOPTOSIS
CD151,ECM & Adhesion,Cell-Cell communication,TYPE I HEMIDESMOSOME ASSEMBLY
CDC42,DNA & Cell Cycle,ST: Signaling by Receptor Tyrosine Kinases,MYOGENESIS
CELF1,Gene Expression,Other,MRNA PROCESSING
CLEC3B,Protein Homeostasis,Hemostasis,HEMOSTASIS
CLIC4,Cytoskeleton & Motility,Other,Other
CLU,Protein Homeostasis,Hemostasis,Other
COL15A1,ECM & Adhesion,Extracellular matrix organization,Other
COL3A1,ECM & Adhesion,ST: Signaling by Receptor Tyrosine Kinases,BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTO
COPS7B,Protein Homeostasis,Other,Other
COQ5,Metabolism,Metabolism,METABOLISM OF COFACTORS
COQ7,Metabolism,Metabolism,METABOLISM OF COFACTORS
CP,Metabolism,Transport of small molecules,Other
CPT2,Transport,Metabolism,Other
CRAT,Metabolism,Protein localization,Other
CRYBG3,Development,Other,Other
CSRP1,ECM & Adhesion,Cellular responses to stimuli,RESPONSE TO METAL IONS
CSRP3,Transport,Other,CARDIOMYOCYTE SIGNALING CONVERGING ON TITIN
CTSB,Protein Homeostasis,Extracellular matrix organization,Other
CTSD,Protein Homeostasis,Other,Other
CTSZ,Protein Homeostasis,Vesicle-mediated transport,Other
DCTN3,DNA & Cell Cycle,Organelle biogenesis and maintenance,Other
DCXR,Metabolism,Disease,Other
DDAH2,Development,Other,CHROMATIN ORGANIZATION
DDI2,Protein Homeostasis,Other,Other
DES,Transport,Muscle contraction,AURORA B PATHWAY
DHRS7B,Immune & Inflammation,Metabolism,Other
DPYSL2,Transport,Developmental Biology,Other
DYNLT1,Cytoskeleton & Motility,Immune System,Other
ECHS1,Metabolism,Disease,Other
EIF3C,Gene Expression,Metabolism of proteins,TRANSLATION FACTORS
EMC2,Transport,Other,SLC25A46 PATHWAY
EMC3,Transport,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3",SLC25A46 PATHWAY
ENO2,Metabolism,Metabolism,Other
EPDR1,ECM & Adhesion,Other,Other
ETFA,Metabolism,Metabolism,METABOLISM OF COFACTORS
ETFB,Metabolism,Metabolism of proteins,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS
EWSR1,Gene Expression,Other,VEGFAVEGFR2 SIGNALING
FBN1,Metabolism,Other,Other
FLNA,Cytoskeleton & Motility,Cell-Cell communication,Other
FLNB,Immune & Inflammation,Immune System,Other
FLNC,Cytoskeleton & Motility,Cell-Cell communication,Other
FLT1,Gene Expression,ST: Signaling by Receptor Tyrosine Kinases,Other
FNDC3A,ECM & Adhesion,Other,MIRTARGETED GENES IN LYMPHOCYTES
FXN,Protein Homeostasis,Protein localization,Other
GAA,Protein Homeostasis,Immune System,GALACTOSE METABOLISM
GALK1,Metabolism,Disease,GALACTOSE METABOLISM
GCLM,Metabolism,Cellular responses to stimuli,Other
GPD1L,Metabolism,Metabolism,GLYCEROPHOSPHOLIPID BIOSYNTHESIS
GPT2,Metabolism,Metabolism,ALANINE ASPARTATE AND GLUTAMATE METABOLISM
GPX3,Metabolism,Cellular responses to stimuli,SELENIUM METABOLISM AND SELENOPROTEINS
GSTM1,Metabolism,Metabolism,Other
GSTO1,Metabolism,Immune System,Other
HADHA,Metabolism,Metabolism,GLYCEROPHOSPHOLIPID BIOSYNTHESIS
HADHB,Metabolism,Metabolism,FEMALE STEROID HORMONES IN CARDIOMYOCYTE ENERGY ME
