gene,cluster_id,cluster_label
CAMK2D,91,AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY
TNNI1,91,AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY
ASS1,10,ALANINE ASPARTATE AND GLUTAMATE METABOLISM
GPT2,10,ALANINE ASPARTATE AND GLUTAMATE METABOLISM
MAOB,33,ALPHA SYNUCLEIN PATHWAY
UCHL1,33,ALPHA SYNUCLEIN PATHWAY
ACTN4,93,ALSTROM SYNDROME
IFT81,93,ALSTROM SYNDROME
FARSA,11,AMINOACYL TRNA BIOSYNTHESIS
FARSB,11,AMINOACYL TRNA BIOSYNTHESIS
VARS1,11,AMINOACYL TRNA BIOSYNTHESIS
COL4A1,1,ANCHORING FIBRIL FORMATION
COL4A2,1,ANCHORING FIBRIL FORMATION
GSN,50,APOPTOTIC EXECUTION PHASE
H1-0,50,APOPTOTIC EXECUTION PHASE
AKR1C3,13,ARACHIDONIC ACID METABOLISM
CBR1,13,ARACHIDONIC ACID METABOLISM
CARNS1,29,CELLULAR RESPONSES TO STIMULI
RPL24,29,CELLULAR RESPONSES TO STIMULI
HPRT1,98,ENDODERM DIFFERENTIATION
LAMC1,98,ENDODERM DIFFERENTIATION
GNAS,99,ENDOTHELIN PATHWAYS
MYLK,99,ENDOTHELIN PATHWAYS
COL6A1,102,FOCAL ADHESION PI3KAKTMTORSIGNALING
TNNT1,102,FOCAL ADHESION PI3KAKTMTORSIGNALING
MSN,65,GENE AND PROTEIN EXPRESSION BY JAK STAT SIGNALING 
PSME2,65,GENE AND PROTEIN EXPRESSION BY JAK STAT SIGNALING 
ADH1B,23,GLYCOLYSIS GLUCONEOGENESIS
ALDH1B1,23,GLYCOLYSIS GLUCONEOGENESIS
MYH7,105,IL18 SIGNALING
RPS11,105,IL18 SIGNALING
ANXA1,69,INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING
MAOA,69,INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING
CHDH,108,METHIONINE DE NOVO AND SALVAGE PATHWAY
MSRB3,108,METHIONINE DE NOVO AND SALVAGE PATHWAY
MICU2,73,MITOCHONDRIAL PROTEIN DEGRADATION
MT-CO1,73,MITOCHONDRIAL PROTEIN DEGRADATION
NDUFB6,73,MITOCHONDRIAL PROTEIN DEGRADATION
COX7B,27,OXIDATIVE PHOSPHORYLATION
MT-CO3,27,OXIDATIVE PHOSPHORYLATION
MT-ND4,27,OXIDATIVE PHOSPHORYLATION
NDUFA3,27,OXIDATIVE PHOSPHORYLATION
NDUFA6,27,OXIDATIVE PHOSPHORYLATION
NDUFB7,27,OXIDATIVE PHOSPHORYLATION
NDUFS7,27,OXIDATIVE PHOSPHORYLATION
NDUFV2,27,OXIDATIVE PHOSPHORYLATION
ACP1,116,Other
ACTA1,113,Other
ACTN2,28,Other
ALDH6A1,20,Other
ANXA3,103,Other
ART3,70,Other
CAPN2,57,Other
CAPRIN1,0,Other
CAV2,63,Other
CCDC137,0,Other
CD81,100,Other
CILP,6,Other
COL1A2,34,Other
COL3A1,56,Other
COPS7B,59,Other
DCTN5,26,Other
DHRS11,0,Other
DYNC1H1,42,Other
DYNC1I2,104,Other
DYNC1LI1,52,Other
DYNLT1,111,Other
EZR,84,Other
FAM185A,0,Other
FBN1,85,Other
FLNC,25,Other
FSCN1,89,Other
GBE1,0,Other
GLIPR2,0,Other
H3-3A,58,Other
HSPB6,0,Other
HSPB7,0,Other
JPT2,0,Other
MGST3,110,Other
MUSTN1,0,Other
MYBPH,0,Other
MYH3,9,Other
MYL2,112,Other
MYL3,92,Other
NFIC,107,Other
NID1,19,Other
PCYT2,115,Other
PEBP4,0,Other
PLEKHF1,0,Other
PSME1,12,Other
RAB6A,76,Other
RBM3,0,Other
RPA2,51,Other
S100A11,67,Other
S100A13,0,Other
SLC25A42,72,Other
SLC25A46,97,Other
SORBS1,87,Other
SSU72,17,Other
SYNGR2,0,Other
TBC1D24,78,Other
TES,0,Other
TMEM143,0,Other
TNNC1,16,Other
TOR1AIP1,106,Other
TUBB6,68,Other
UBE2B,31,Other
UBE2I,62,Other
UBN2,0,Other
WBP2,0,Other
XIRP1,0,Other
EMD,77,PROTEIN LOCALIZATION
TOMM22,77,PROTEIN LOCALIZATION
ARHGAP1,45,RAC1 REG PATHWAY
PREX1,45,RAC1 REG PATHWAY
CALU,79,REGULATION OF INSULIN LIKE GROWTH FACTOR IGF TRANS
CTSG,79,REGULATION OF INSULIN LIKE GROWTH FACTOR IGF TRANS
ACTN1,81,RHOBTB GTPASE CYCLE
CCT6A,81,RHOBTB GTPASE CYCLE
TPM3,82,RHOV GTPASE CYCLE
USP9X,82,RHOV GTPASE CYCLE
SNU13,83,RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL
UTP15,83,RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL
FLT1,86,SIGNALING BY VEGF
HSPB1,86,SIGNALING BY VEGF
GLRX3,88,TRANSPORT OF SMALL MOLECULES
SLC20A2,88,TRANSPORT OF SMALL MOLECULES
COL1A1,40,TYPE I COLLAGEN SYNTHESIS IN THE CONTEXT OF OSTEOG
SERPINH1,40,TYPE I COLLAGEN SYNTHESIS IN THE CONTEXT OF OSTEOG
S100A4,117,VITAMIN D RECEPTOR PATHWAY
S100A6,117,VITAMIN D RECEPTOR PATHWAY
