gene,category
PLIN2,Autophagy
VIM,Autophagy
BANF1,Cell Cycle
SYNE2,Cell Cycle
TMPO,Cell Cycle
ACTN1,Cell-Cell communication
ACTN3,Cell-Cell communication
ACTN4,Cell-Cell communication
CD151,Cell-Cell communication
FLNA,Cell-Cell communication
FLNC,Cell-Cell communication
CSRP1,Cellular responses to stimuli
GCLM,Cellular responses to stimuli
GPX3,Cellular responses to stimuli
LONP1,Cellular responses to stimuli
MT2A,Cellular responses to stimuli
PRDX6,Cellular responses to stimuli
CARM1,Chromatin organization
HAT1,Chromatin organization
ANXA3,Developmental Biology
DPYSL2,Developmental Biology
MSN,Developmental Biology
SPAG9,Developmental Biology
DCXR,Disease
ECHS1,Disease
GALK1,Disease
HPRT1,Disease
MCCC1,Disease
CAPN3,Extracellular matrix organization
CAST,Extracellular matrix organization
COL15A1,Extracellular matrix organization
CTSB,Extracellular matrix organization
SNTA1,Extracellular matrix organization
MT-CO1,Gene expression (Transcription)
PVALB,Gene expression (Transcription)
SNRPD3,Gene expression (Transcription)
THRB,Gene expression (Transcription)
CAP1,Hemostasis
CLEC3B,Hemostasis
CLU,Hemostasis
PPIA,Hemostasis
TMX3,Hemostasis
TTN,Hemostasis
DYNLT1,Immune System
FLNB,Immune System
GAA,Immune System
GSTO1,Immune System
LRG1,Immune System
MAOA,Immune System
MAVS,Immune System
MYH2,Immune System
RNF114,Immune System
UBE2K,Immune System
ACADM,Metabolism
ACADS,Metabolism
ADH1B,Metabolism
AKR7A2,Metabolism
ALDH4A1,Metabolism
ALDH6A1,Metabolism
ASS1,Metabolism
CA3,Metabolism
COQ5,Metabolism
COQ7,Metabolism
CPT2,Metabolism
DHRS7B,Metabolism
EEFSEC,Metabolism
ENO2,Metabolism
ETFA,Metabolism
GPD1L,Metabolism
GPT2,Metabolism
GSTM1,Metabolism
HADHA,Metabolism
HADHB,Metabolism
IDI1,Metabolism
MAOB,Metabolism
MCEE,Metabolism
MGST2,Metabolism
MPST,Metabolism
MT-ND4,Metabolism
NAXD,Metabolism
NDUFA1,Metabolism
NDUFA11,Metabolism
NT5C1A,Metabolism
PCYT2,Metabolism
PHKA2,Metabolism
PHKB,Metabolism
PNPO,Metabolism
PYURF,Metabolism
SCO1,Metabolism
SUOX,Metabolism
TST,Metabolism
TYMP,Metabolism
NCL,Metabolism of RNA
RPL10,Metabolism of RNA
RPL22,Metabolism of RNA
RPL23,Metabolism of RNA
RPL23A,Metabolism of RNA
RPL24,Metabolism of RNA
RPL27A,Metabolism of RNA
RPL32,Metabolism of RNA
RPL34,Metabolism of RNA
RPL35,Metabolism of RNA
RPL35A,Metabolism of RNA
RPL37A,Metabolism of RNA
RPL38,Metabolism of RNA
RPS10,Metabolism of RNA
RPS15,Metabolism of RNA
RPS19,Metabolism of RNA
RPS21,Metabolism of RNA
RPS23,Metabolism of RNA
RPS3A,Metabolism of RNA
RPS7,Metabolism of RNA
UTP15,Metabolism of RNA
ACAT1,Metabolism of proteins
EEF1G,Metabolism of proteins
EIF3C,Metabolism of proteins
ETFB,Metabolism of proteins
MRPL9,Metabolism of proteins
MT-ND2,Metabolism of proteins
NAE1,Metabolism of proteins
NARS1,Metabolism of proteins
NGLY1,Metabolism of proteins
OTUB1,Metabolism of proteins
PCCB,Metabolism of proteins
UCHL1,Metabolism of proteins
DES,Muscle contraction
MYBPC2,Muscle contraction
MYH3,Muscle contraction
MYL1,Muscle contraction
NEB,Muscle contraction
TMOD4,Muscle contraction
TNNI2,Muscle contraction
TNNT3,Muscle contraction
TPM1,Muscle contraction
TPM2,Muscle contraction
DCTN3,Organelle biogenesis and maintenance
IDH2,Organelle biogenesis and maintenance
MICOS10,Organelle biogenesis and maintenance
SOD2,Organelle biogenesis and maintenance
ABHD11,Other
ABHD16A,Other
ACTN2,Other
ALDH5A1,Other
BZW1,Other
CAMK2D,Other
CAPRIN1,Other
CELF1,Other
CLIC4,Other
COPS7B,Other
CRYBG3,Other
CSRP3,Other
CTSD,Other
DDAH2,Other
DDI2,Other
EMC2,Other
EPDR1,Other
EWSR1,Other
FBN1,Other
FNDC3A,Other
FSD2,Other
IBA57,Other
IGHG2,Other
JPT2,Other
KLHL40,Other
LAMTOR1,Other
LMOD2,Other
LRBA,Other
LRMDA,Other
LRPAP1,Other
MARCHF5,Other
MDP1,Other
MIEN1,Other
MRPS36,Other
MUSTN1,Other
MYBPH,Other
MYH1,Other
MYH13,Other
MYOF,Other
MYOM1,Other
MYOM2,Other
MYOM3,Other
MYOZ1,Other
NAMPT,Other
NEXN,Other
NRAP,Other
NXN,Other
PDLIM1,Other
PDLIM5,Other
PGM5,Other
PHPT1,Other
PLIN4,Other
PLIN5,Other
PPP1R3A,Other
PRUNE1,Other
RBM3,Other
RPS27A,Other
S100A13,Other
SCRN3,Other
SELENBP1,Other
SLC25A46,Other
SPEG,Other
SYNM,Other
SYNPO2,Other
SYNPO2L,Other
TES,Other
TGM2,Other
TLN2,Other
TMEM38A,Other
TMX2,Other
TPSB2,Other
TRIM54,Other
VWA8,Other
XIRP1,Other
YWHAZ,Other
HMGB1,Programmed Cell Death
HMGB2,Programmed Cell Death
PLEC,Programmed Cell Death
CRAT,Protein localization
FXN,Protein localization
HMGCL,Protein localization
HMOX1,Protein localization
OBSCN,ST: Death Receptor Signaling
PREX1,ST: Death Receptor Signaling
SQSTM1,ST: Death Receptor Signaling
ABHD6,ST: Signaling by GPCR
C3,ST: Signaling by GPCR
PSAP,ST: Signaling by GPCR
PSMD14,ST: Signaling by Hedgehog
PSMD7,ST: Signaling by Hedgehog
CDC42,ST: Signaling by Receptor Tyrosine Kinases
COL3A1,ST: Signaling by Receptor Tyrosine Kinases
FLT1,ST: Signaling by Receptor Tyrosine Kinases
MAPK13,ST: Signaling by Receptor Tyrosine Kinases
ARHGAP1,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
ARHGDIB,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
EMC3,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
STBD1,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
TPM4,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
VAPB,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
CP,Transport of small molecules
MICU1,Transport of small molecules
SLC25A11,Transport of small molecules
SLC27A1,Transport of small molecules
CAPZA1,Vesicle-mediated transport
CTSZ,Vesicle-mediated transport
HP,Vesicle-mediated transport
