gene,expanded_category,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,imputed
GPT2,Interaction,1.872,-0.592,4.37e-4,0.060907,1e-6,TRUE
CTSG,Interaction,-2.0953,0.1002,0.00126,0.977554,0.001184,TRUE
CCDC137,Interaction,-1.6782,-0.2164,0,0.89768,0.001843,TRUE
FLT1,Interaction,-1.6632,0.0423,4e-6,0.996555,2.81e-4,TRUE
ALDH1B1,Interaction,1.2555,0.4064,0,0.397755,0.032277,TRUE
COL4A1,Interaction,-1.436,-0.0795,4e-6,0.984086,0.001508,TRUE
COL3A1,Interaction,-1.1658,0.3477,0.001215,0.707856,5.3e-4,TRUE
COL1A2,Interaction,-1.359,-0.0832,4e-4,0.986704,0.01944,TRUE
IFT81,Interaction,-1.2969,-0.0873,2.7e-5,0.984962,0.014964,TRUE
ACTN2,Interaction,-0.884,0.4933,0.081537,0.554066,0.012272,FALSE
ACTN1,Interaction,-0.9384,0.3834,0.06611,0.731653,0.024408,FALSE
CAV2,Interaction,-0.9482,0.3589,0.078459,0.403079,0.006882,TRUE
XIRP1,Interaction,-0.8717,0.4336,0.001245,0.334318,2.3e-5,FALSE
COPS7B,Interaction,0.828,-0.4555,0.036862,0.218858,5.43e-4,TRUE
UBN2,Interaction,-1.0031,0.2347,0.006674,0.860803,0.007495,FALSE
COL1A1,Interaction,-1.197,0.0278,5.95e-4,0.998349,0.010773,TRUE
MSRB3,Interaction,-1.2083,-0.0131,0.003779,0.999154,0.007252,TRUE
MYL2,Interaction,-0.9503,0.2178,0.001395,0.838716,0.001766,FALSE
ACTN4,Interaction,-0.7896,0.3669,0.091231,0.693083,0.027183,FALSE
COL4A2,Interaction,-1.0712,-0.0443,2.87e-4,0.99442,0.014462,TRUE
CILP,Interaction,-0.7967,0.2433,0.144696,0.624531,0.034154,TRUE
PREX1,Interaction,-0.5831,0.4448,0.05416,0.153024,3.91e-4,TRUE
UCHL1,Interaction,0.9016,0.1236,2.94e-4,0.93643,0.041209,FALSE
RPA2,Interaction,-0.9583,0.0235,0.001646,0.997168,0.00438,TRUE
TES,Interaction,-0.596,0.3646,0.265549,0.485294,0.039862,TRUE
MYH7,Interaction,-0.6942,0.2547,0.062203,0.788156,0.029698,FALSE
TPM3,Interaction,-0.7694,0.1787,0.035057,0.903445,0.038052,FALSE
SSU72,Interaction,-0.9314,0.0164,1e-6,0.997887,1.8e-5,TRUE
TOMM22,Interaction,-0.7784,0.165,6.26e-4,0.85532,0.001045,FALSE
MYL3,Interaction,-0.8904,0.0464,0.005216,0.993834,0.032469,FALSE
SLC25A46,Interaction,0.8812,-0.0505,4.75e-4,0.980391,7.87e-4,TRUE
NID1,Interaction,-0.7647,0.1157,0.015716,0.949635,0.026852,TRUE
LAMC1,Interaction,-0.8487,0.0146,0.002972,0.999286,0.027207,TRUE
PLEKHF1,Interaction,-0.8051,0.0468,2.25e-4,0.981901,5.69e-4,TRUE
CHDH,Interaction,-0.4576,0.3927,0.292647,0.199633,0.011995,TRUE
CAPRIN1,Interaction,-0.5661,0.2795,0.145163,0.641737,0.030104,TRUE
ACTA1,Interaction,-0.4891,0.3426,0.244112,0.567564,0.045885,FALSE
DHRS11,Interaction,-0.5953,0.1795,0.106501,0.788385,0.034626,TRUE
MT-CO1,Interaction,-0.4355,0.2848,0.256639,0.586191,0.049924,TRUE
DCTN5,Interaction,0.5467,-0.1371,0.027242,0.848471,0.013644,TRUE
NDUFA6,Interaction,-0.5195,0.131,0.021748,0.881856,0.020899,FALSE
RPL24,Interaction,-0.2261,0.3757,0.573274,0.152057,0.023523,TRUE
ADH1B,Sig Both Down,-0.8557,-0.6939,0.002692,0.034066,0.932195,TRUE
MYLK,Sig Both Down,-0.7289,-0.7394,0.008735,0.006591,0.999714,TRUE
MYBPH,Sig Both Up,1.0138,1.7207,0.015531,5e-6,0.396875,TRUE
S100A13,Sig Both Up,1.2092,0.6614,0,0.048215,0.313053,FALSE
FSCN1,Sig Both Up,0.709,0.6485,0.001794,0.0032,0.986299,TRUE
HPRT1,Sig Both Up,0.5482,0.5572,0.012958,0.005349,0.999666,TRUE
SLC25A42,Sig Old Down,-0.3587,-0.7565,0.84596,0.031042,0.82305,TRUE
ANXA3,Sig Old Down,-0.486,-0.5736,0.139159,0.014173,0.972551,TRUE
ASS1,Sig Old Down,-0.2463,-0.6463,0.839407,0.037085,0.653565,TRUE
SYNGR2,Sig Old Down,-0.272,-0.4795,0.516732,0.03641,0.791274,TRUE
ALDH6A1,Sig Old Down,-0.2249,-0.5217,0.657003,0.035648,0.608154,TRUE
PCYT2,Sig Old Down,-0.0951,-0.4799,0.942385,0.027039,0.339503,TRUE
TBC1D24,Sig Old Down,0.0541,-0.4739,0.988931,0.029046,0.205657,TRUE
GLIPR2,Sig Old Up,0.4489,0.6074,0.290516,0.015687,0.919478,TRUE
CAMK2D,Sig Old Up,0.4289,0.5428,0.089478,0.015189,0.939485,FALSE
