module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
blue,P38117,ETFB,0.9043,0.8455,0.9414,7.472989239967819e-24,Type II fCSA,-0.2727,-0.5269,0.0263,0.07332205704073436,44
blue,P48735,IDH2,0.893,0.8279,0.9344,1.7976485252739829e-22,Type II fCSA,-0.3491,-0.5854,-0.0583,0.020182711515809793,44
blue,P43155,CRAT,0.8835,0.8132,0.9284,1.9849950438816035e-21,Type II fCSA,-0.3164,-0.5606,-0.0215,0.03641782886892423,44
blue,O95822,MLYCD,0.8823,0.8113,0.9276,2.7014228121307315e-21,Type II fCSA,-0.3885,-0.6145,-0.1036,0.009158606598783333,44
blue,P13804,ETFA,0.8751,0.8003,0.9231,1.4150338386144958e-20,Type II fCSA,-0.2741,-0.528,0.0248,0.07183316115083199,44
blue,P51649,ALDH5A1,0.8713,0.7944,0.9207,3.2993096657231125e-20,Type II fCSA,-0.282,-0.5342,0.0162,0.06362288791625016,44
blue,P35914,HMGCL,0.8651,0.785,0.9168,1.2358291234026677e-19,Type II fCSA,-0.4467,-0.6565,-0.1727,0.002370534043458191,44
blue,Q16762,TST,0.8478,0.7587,0.9058,3.558445171208668e-18,Type II fCSA,-0.2693,-0.5242,0.03,0.07715635392292726,44
blue,P07954,FH,0.8445,0.7537,0.9037,6.465486662691339e-18,Type II fCSA,-0.2636,-0.5198,0.0362,0.08388446350091323,44
blue,Q9Y3D2,MSRB2,0.8433,0.7519,0.9029,8.00318860330492e-18,Type II fCSA,-0.3747,-0.6043,-0.0875,0.012218985794938271,44
blue,Q9P0J1,PDP1,0.8396,0.7464,0.9005,1.51859755371369e-17,Type II fCSA,-0.471,-0.6737,-0.2024,0.0012527497172844836,44
blue,Q99798,ACO2,0.8352,0.7397,0.8977,3.207221656687361e-17,Type II fCSA,-0.2933,-0.5429,0.0039,0.05333167610192222,44
blue,P30405,PPIF,0.8304,0.7325,0.8946,7.077559422036092e-17,Type II fCSA,-0.1308,-0.4117,0.1727,0.39722326003623964,44
blue,Q16595,FXN,0.8187,0.7152,0.8871,4.35752028268234e-16,Type II fCSA,-0.2359,-0.4979,0.0655,0.12311959968303123,44
blue,Q5HYK3,COQ5,0.8159,0.711,0.8853,6.610992968085324e-16,Type II fCSA,-0.1983,-0.4677,0.1047,0.1968932984902198,44
blue,P05166,PCCB,0.8139,0.7081,0.884,8.868706723579748e-16,Type II fCSA,-0.2615,-0.5182,0.0383,0.08638033063669585,44
blue,P30084,ECHS1,0.8085,0.7001,0.8804,1.9345104769207275e-15,Type II fCSA,-0.3813,-0.6092,-0.0952,0.010654697457392368,44
blue,Q99807,COQ7,0.8081,0.6995,0.8802,2.045562506730214e-15,Type II fCSA,-0.4249,-0.6409,-0.1465,0.004038513806609596,44
