fcm_cluster,wgcna_module,n_overlap,odds_ratio,or_ci_lo,or_ci_hi,p_value,p_adj_bh,significant
C1,Black,3,0.058,0.012,0.173,5.6102818410117265e-15,1.063000769875906e-14,TRUE
C1,Blue,32,0.304,0.2,0.448,1.4169596070355539e-11,2.2178498197078237e-11,TRUE
C1,Brown,14,0.134,0.071,0.232,1.747714070235948e-20,5.2431422107078436e-20,TRUE
C1,Green,37,0.756,0.502,1.115,0.17081556571281042,0.18086354016650516,FALSE
C1,Magenta,0,0,0,0.161,5.2222623749351234e-9,7.520057819906577e-9,TRUE
C1,Pink,80,23.271,12.432,47.471,3.600526022871044e-37,2.1603156137226263e-36,TRUE
C1,Red,4,0.07,0.019,0.186,2.3408561383278577e-15,4.957107116458993e-15,TRUE
C1,Turquoise,140,2.718,2.092,3.529,3.669199641058799e-14,6.29005652752937e-14,TRUE
C1,Yellow,135,5.789,4.272,7.875,4.104204976091936e-32,1.8468922392413714e-31,TRUE
C2,Black,1,0.017,0,0.098,4.298397020049287e-19,1.1053020908698167e-18,TRUE
C2,Blue,218,13.227,9.788,18.017,7.028821417263934e-78,1.2651878551075082e-76,TRUE
C2,Brown,3,0.024,0.005,0.072,8.54350909565272e-36,4.393804677764256e-35,TRUE
C2,Green,6,0.083,0.03,0.186,5.245885033625505e-18,1.2590124080701213e-17,TRUE
C2,Magenta,61,46.24,17.01,176.304,5.168252883266849e-31,2.0673011533067396e-30,TRUE
C2,Pink,0,0,0,0.101,1.0184539901235225e-13,1.6665610747475825e-13,TRUE
C2,Red,125,16.948,10.834,27.415,1.2224068806821534e-50,1.1001661926139382e-49,TRUE
C2,Turquoise,48,0.398,0.281,0.555,3.5109455821196353e-9,5.266418373179453e-9,TRUE
C2,Yellow,12,0.128,0.064,0.231,4.1772897589163035e-19,1.1053020908698167e-18,TRUE
C3,Black,36,0.931,0.609,1.398,0.7663096043319475,0.7663096043319475,FALSE
C3,Blue,30,0.257,0.167,0.383,1.5889588467269537e-14,2.860125924108517e-14,TRUE
C3,Brown,241,51.613,33.242,83.608,2.7800764667023904e-129,1.0008275280128606e-127,TRUE
C3,Green,3,0.041,0.008,0.122,2.0669430026631956e-21,7.440994809587504e-21,TRUE
C3,Magenta,4,0.169,0.044,0.458,2.372126800973967e-5,2.9447091322435455e-5,TRUE
C3,Pink,11,0.349,0.166,0.666,4.23783602743953e-4,5.085403232927436e-4,TRUE
C3,Red,1,0.016,0,0.09,9.946834470021811e-21,3.255327644734411e-20,TRUE
C3,Turquoise,105,1.351,1.03,1.766,0.0269447017383283,0.030312789455619337,TRUE
C3,Yellow,40,0.54,0.367,0.78,5.319086837148196e-4,6.177004068946292e-4,TRUE
C4,Black,99,13.661,9.124,20.777,1.1145784675392738e-43,8.024964966282771e-43,TRUE
C4,Blue,14,0.169,0.09,0.293,2.713415785481992e-15,5.426831570963984e-15,TRUE
C4,Brown,8,0.105,0.044,0.213,6.493221486242419e-18,1.4609748344045443e-17,TRUE
C4,Green,129,17.564,12.059,25.962,1.0635982490565703e-61,1.2763178988678842e-60,TRUE
C4,Magenta,0,0,0,0.227,6.515381451422254e-7,8.37691900897147e-7,TRUE
C4,Pink,1,0.042,0.001,0.241,4.441012102578772e-8,6.149093680493684e-8,TRUE
C4,Red,21,0.632,0.372,1.027,0.06847326488359984,0.07469810714574528,FALSE
C4,Turquoise,33,0.399,0.264,0.587,3.0258890552627153e-7,4.034518740350287e-7,TRUE
C4,Yellow,38,0.802,0.538,1.17,0.2815765680260381,0.289621612826782,FALSE
